paragraph,paragraphIndex,section
"Jimmy Ray Johnson (February 4, 1943 – September 5, 2019) was an American session guitarist and record producer. Johnson was a member of the Muscle Shoals Rhythm Section who was attached to FAME Studios in Muscle Shoals, Alabama, for a period in the 1960s. In 1969, with the backing of Atlantic Records executive Jerry Wexler, Johnson became a co-founder of the Muscle Shoals Sound Studio, along with drummer Roger Hawkins, bassist David Hood, and keyboardist Barry Beckett. The studio was originally located at 3614 Jackson Highway in Sheffield and later moved to 1000 Alabama Avenue, also in Sheffield. Johnson performed with Wilson Pickett and Aretha Franklin. He also engineered three tracks on the Rolling Stones' album Sticky Fingers. He died from kidney failure in 2019 at the age of 76.
",0,N/A
"== Discography ==
",1,== Discography ==
"Ronnie Hawkins (LP), Ronnie Hawkins (1970)
",43,== Discography == | === 1970s ===
"Muscle Shoals Nitty Gritty (LP), Herbie Mann (1970)
",44,== Discography == | === 1970s ===
"""A Little Bit of Soap"" (45), Paul Davis (1970)
",45,== Discography == | === 1970s ===
"""This Girl's in Love with You"" (45), Aretha Franklin (1970)
",46,== Discography == | === 1970s ===
"""(There's) Always Something There to Remind Me"" (45), R. B. Greaves (1970)
",47,== Discography == | === 1970s ===
"New Routes (LP), Lulu (1970)
",48,== Discography == | === 1970s ===
"""Oh Me, Oh My"" (45), Lulu (1970)
",49,== Discography == | === 1970s ===
"Right On (LP), Wilson Pickett (1970)
",50,== Discography == | === 1970s ===
"Sugar, Sugar (45) Wilson Pickett (1970)
",51,== Discography == | === 1970s ===
"Southern Fried (LP), John Hammond (1970)
",52,== Discography == | === 1970s ===
"""Stealing in the Name of the Lord"" (45), Paul Kelly (1970)
",53,== Discography == | === 1970s ===
"""Call Me"" (45), Aretha Franklin (1970)
",54,== Discography == | === 1970s ===
"""Eleanor Rigby"" (45), Aretha Franklin (1970)
",55,== Discography == | === 1970s ===
"Five'll Get You Ten (LP), Cowboy (1970)
",56,== Discography == | === 1970s ===
"""High Time We Went"" (45), Joe Cocker (1970)
",57,== Discography == | === 1970s ===
"""Brown Sugar"" (45), Rolling Stones (1971)
",58,== Discography == | === 1970s ===
"Sticky Fingers (LP) Rolling Stones (1971)
",59,== Discography == | === 1970s ===
"""Wild Horses"" (45), Rolling Stones (1971)
",60,== Discography == | === 1970s ===
"""Heavy Makes You Happy"" (45), Staple Singers (1971)
",61,== Discography == | === 1970s ===
"Don't Knock My Love (LP, 45), Wilson Pickett (1971)
",62,== Discography == | === 1970s ===
"""Lies"" (LP, 45), J. J. Cale (1971)
",63,== Discography == | === 1970s ===
"""It Hurts So Good"" (45), Katie Love (1971)
",64,== Discography == | === 1970s ===
"Mary Called Jeanie Greene (LP), Jeanie Greene (1971)
",65,== Discography == | === 1970s ===
"Understanding (LP), Bobby Womack (1971)
",66,== Discography == | === 1970s ===
"""Respect Yourself"" (45), Staple Singers (1971)
",67,== Discography == | === 1970s ===
"""A Very Lovely Lady"" (45). Linda Ronstadt (1971)
",68,== Discography == | === 1970s ===
"""Up on the Roof"" (45), Laura Nyro (1971)
",69,== Discography == | === 1970s ===
"""Dynaflow"" (45), Boz Scaggs (1971)
",70,== Discography == | === 1970s ===
"""That's the Way I Feel About You"" (45), Bobby Womack (1971)
",71,== Discography == | === 1970s ===
"""Alice"" (45), Eddy Mitchell (French) (1971)
",72,== Discography == | === 1970s ===
"The Shelter People (LP), Leon Russell (1971)
",73,== Discography == | === 1970s ===
"Carny (LP), Leon Russell (1972)
",74,== Discography == | === 1970s ===
"""Tightrope"" (45), Leon Russell (1972)
",75,== Discography == | === 1970s ===
"Starting All Over Again (LP, 45), Mel and Tim (1972)
",76,== Discography == | === 1970s ===
"""I'll Take You There"" (45), Staple Singers (1972)
",77,== Discography == | === 1970s ===
"""If Loving You Is Wrong (I Don't Want to Be Right)"" (45), Luther Ingram (1972)
",78,== Discography == | === 1970s ===
"Smokestack Lightning (LP), Mike Harrison (1972)
",79,== Discography == | === 1970s ===
"The Train I'm On (LP), Tony Joe White (1972)
",80,== Discography == | === 1970s ===
"""From the Roots Comes the Rapper"" (45), Joe Tex (1972)
",81,== Discography == | === 1970s ===
"Smith, Perkins, Smith (LP), Smith, Perkins, Smith (1972)
",82,== Discography == | === 1970s ===
"""Baby Ruth"" (45), Sailcat (1972)
",83,== Discography == | === 1970s ===
"""The Harder They Come"" (45), Jimmy Cliff (1972)
",84,== Discography == | === 1970s ===
"""School of Life"" (45), Tommy Tate (1972)
",85,== Discography == | === 1970s ===
"""Eve"" (45), Jim Capaldi (1972)
",86,== Discography == | === 1970s ===
"Barry Goldberg (LP), Barry Goldberg (1972)
",87,== Discography == | === 1970s ===
"""Harry Hippie"" (45), Bobby Womack (1972)
",88,== Discography == | === 1970s ===
"Back in '72 (LP), Bob Seger (1972)
",89,== Discography == | === 1970s ===
"""Get Ready"" (45), King Curtis (1972)
",90,== Discography == | === 1970s ===
"The Percy Sledge Way (LP), Percy Sledge (1972)
",91,== Discography == | === 1970s ===
"""Kodachrome"" (45), Paul Simon (1973)
",92,== Discography == | === 1970s ===
"""Loves Me Like a Rock"" (45), Paul Simon (1973)
",93,== Discography == | === 1970s ===
"There Goes Rhymin' Simon (LP), Paul Simon (1973)
",94,== Discography == | === 1970s ===
"""Hurts So Good"" (45), Millie Jackson (1973)
",95,== Discography == | === 1970s ===
"Cleopatra Jones (LP), soundtrack (1973)
",96,== Discography == | === 1970s ===
"Mel and Tim (LP), Mel and Tim (1973)
",97,== Discography == | === 1970s ===
"""Baby Lay Your Head Down"" (45), Eddie Floyd (1973)
",98,== Discography == | === 1970s ===
"Shoot Out at the Fantasy Factory (LP), Traffic (1973)
",99,== Discography == | === 1970s ===
"""Give Your Baby a Standing Ovation"" (45), the Dells (1973)
",100,== Discography == | === 1970s ===
"Taylored in Silk (LP), Johnnie Taylor (1973)
",101,== Discography == | === 1970s ===
"""I Believe in You (You Believe in Me)"" (45), Johnnie Taylor (1973)
",102,== Discography == | === 1970s ===
"Lookin' for a Love (LP, 45), Bobby Womack (1973)
",103,== Discography == | === 1970s ===
"On the Road (Live In Europe) (LP), Traffic (1973)
",104,== Discography == | === 1970s ===
"Flute of the Loom (LP), Frank Wess (1973)
",105,== Discography == | === 1970s ===
"Oh How We Danced (LP), Jim Capaldi (1973)
",106,== Discography == | === 1970s ===
"""It All Comes Back"" (45), Orleans (1973)
",107,== Discography == | === 1970s ===
"Gypsy Symphony (LP), Wendy Waldman (1973)
",108,== Discography == | === 1970s ===
"One More River to Cross (LP), Canned Heat (1973)
",109,== Discography == | === 1970s ===
"Be What You Are (LP), Staple Singers (1973)
",110,== Discography == | === 1970s ===
"Be Altitude (LP), Staple Singers (1973)
",111,== Discography == | === 1970s ===
"""If You're Ready Come Go With Me"" (45), Staple Singers (1974)
",112,== Discography == | === 1970s ===
"Phases and Stages (LP), Willie Nelson (1974)
",113,== Discography == | === 1970s ===
"""Bloody Mary Morning"" (45), Willie Nelson (1974)
",114,== Discography == | === 1970s ===
"""Still Crazy After All These Years"" (45), Paul Simon (1974)
",115,== Discography == | === 1970s ===
"Prone to Lean (LP), Donnie Fritts (1974)
",116,== Discography == | === 1970s ===
"Long As You Love Me (LP), Betty Crutcher (1974)
",117,== Discography == | === 1970s ===
"""I Was Checkin' Out, She Was Checkin' ln"" (45), Don Covay (1974)
",118,== Discography == | === 1970s ===
"I'll Be Your Everything (LP, 45), Percy Sledge (1974)
",119,== Discography == | === 1970s ===
"""As Long as He Takes Care of Home"" (45), Candi Staton (1974)
",120,== Discography == | === 1970s ===
"Whale Meat Again (LP), Jim Capaldi (1974)
",121,== Discography == | === 1970s ===
"Pickett in the Pocket (LP), Wilson Pickett (1974)
",122,== Discography == | === 1970s ===
"Patchouli (LP), Ben Atkins (1974)
",123,== Discography == | === 1970s ===
"""It's All Right"" (45), Jim Capaldi (1974)
",124,== Discography == | === 1970s ===
"Hobos, Heroes and Street Corner Clowns (LP), Don Nix (1974)
",125,== Discography == | === 1970s ===
"""Been Here All the Time"" (45), Don Preston (1974)
",126,== Discography == | === 1970s ===
"Mood, Heart and Soul (LP), Joe Simon (1974)
",127,== Discography == | === 1970s ===
"Road (LP), Johnny Rivers (1974)
",128,== Discography == | === 1970s ===
"City in the Sky (LP), Staple Singers (1974)
",129,== Discography == | === 1970s ===
"Super Taylor (LP), Johnnie Taylor (1974)
",130,== Discography == | === 1970s ===
"Becky Hobbs (LP),Becky Hobbs (1974)
",131,== Discography == | === 1970s ===
"Millie Jackson (LP),Millie Jackson (1974)
",132,== Discography == | === 1970s ===
"Caught Up (LP, 45), Millie Jackson (1974)
",133,== Discography == | === 1970s ===
"""Katmandu"" (45), Bob Seger (1975)
",134,== Discography == | === 1970s ===
"""Sailing"" (45), Rod Stewart (1975)
",135,== Discography == | === 1970s ===
"Atlantic Crossing (LP), Rod Stewart (1975)
",136,== Discography == | === 1970s ===
"Kazuhiko Kato (LP), Kazuhiko Kato (Japanese) (1975)
",137,== Discography == | === 1970s ===
"One Step Beyond (LP), Johnnie Taylor (1975)
",138,== Discography == | === 1970s ===
"""I Am Somebody"" (45), Johnnie Taylor (1975)
",139,== Discography == | === 1970s ===
"""I Don't Wanna Lose You"" (45), Johnnie Taylor (1975)
",140,== Discography == | === 1970s ===
"Seductive Reasoning (LP), Maggie and Terri Roche (1975)
",141,== Discography == | === 1970s ===
"Short Cut Draw Blood (LP), Jim Capaldi (1975)
",142,== Discography == | === 1970s ===
"No Reservations (LP), Blackfoot (1975)
",143,== Discography == | === 1970s ===
"""My Little Town"" (45), Simon and Garfunkel (1975)
",144,== Discography == | === 1970s ===
"Still Caught Up (LP), Millie Jackson (1975)
",145,== Discography == | === 1970s ===
"""Leftovers"" (45), Millie Jackson (1975)
",146,== Discography == | === 1970s ===
"Feelings (LP), Paul Anka (1975)
",147,== Discography == | === 1970s ===
"""Here I Am Again"" (45), Candi Staton (1975)
",148,== Discography == | === 1970s ===
"Touch Me Baby (45) Tamiko Jones (1975)
",149,== Discography == | === 1970s ===
"Born to Get Down (LP, 45), Muscle Shoals Horns (1975)
",150,== Discography == | === 1970s ===
"Hard Times (LP), Peter Yarrow (1975)
",151,== Discography == | === 1970s ===
"""Thinkin of You"" (45), Paul Davis (1976)
",152,== Discography == | === 1970s ===
"Southern Tracks and Fantasies (LP), Paul Davis (1976)
",153,== Discography == | === 1970s ===
"Sweet Soul Music (LP), Jose Feliciano (1976)
",154,== Discography == | === 1970s ===
"Mike Finnigan (LP), Mike Finnigan (1976)
",155,== Discography == | === 1970s ===
"""Tonight's the Night"" (45), Rod Stewart (1976)
",156,== Discography == | === 1970s ===
"Flying High (LP), Blackfoot (1976)
",157,== Discography == | === 1970s ===
"""Free and in Love"" (45), Millie Jackson (1976)
",158,== Discography == | === 1970s ===
"Raggie (LP), Bjorn Jason Lindh (1976)
",159,== Discography == | === 1970s ===
"""There You Are / Bad Risk"" (45), Millie Jackson (1976)
",160,== Discography == | === 1970s ===
"Music ... Music (LP), Lloyd Price (1976)
",161,== Discography == | === 1970s ===
"""Misty Blue"" (45), Dorothy Moore (1976)
",162,== Discography == | === 1970s ===
"Dee Dee Bridgewater (LP), Dee Dee Bridgewater (1976)
",163,== Discography == | === 1970s ===
"Untouched (LP), the Emotions (1976)
",164,== Discography == | === 1970s ===
"""Open Up Your Heart"" (45), Muscle Shoals Horns (1976)
",165,== Discography == | === 1970s ===
"Boule Noire (LP), Boule Noire (Canadian) (1976)
",166,== Discography == | === 1970s ===
"Home Is Where the Heart Is (LP), Bobby Womack (1976)
",167,== Discography == | === 1970s ===
"""Aimes-tu la Vie Comme"" (45), Boule Noire (1976)
",168,== Discography == | === 1970s ===
"""Les Annees Passent"" (45), Boule Noire (1976)
",169,== Discography == | === 1970s ===
"Toulouse  (LP), Toulouse (1976)
",170,== Discography == | === 1970s ===
"Eargasm (LP), Johnnie Taylor (1976)
",171,== Discography == | === 1970s ===
"Ladies Choice (LP), Bonnie Bramlett (1976)
",172,== Discography == | === 1970s ===
"Torn Between Two Lovers (LP, 45), Mary MacGregor (1976)
",173,== Discography == | === 1970s ===
"Night Moves (LP), Bob Seger (1976)
",174,== Discography == | === 1970s ===
"""Main Street"" (45), Bob Seger (1976)
",175,== Discography == | === 1970s ===
"Love Songs (LP), Peter Yarrow (1976)
",176,== Discography == | === 1970s ===
"Very Extremely Dangerous (LP), Eddie Hinton (1976)
",177,== Discography == | === 1970s ===
"""Crying in My Sleep"" (45), Art Garfunkel (1977)
",178,== Discography == | === 1970s ===
"Watermark (LP), Art Garfunkel (1977)
",179,== Discography == | === 1970s ===
"Street Survivors (LP), Lynyrd Skynyrd (1977)
",180,== Discography == | === 1970s ===
"Feelin' Bitchy (LP), Millie Jackson (1977)
",181,== Discography == | === 1970s ===
"A Moment's Pleasure (LP, 45), Millie Jackson (1977)
",182,== Discography == | === 1970s ===
"Four (LP), Billy Swan (1977)
",183,== Discography == | === 1970s ===
"Izitso (LP), Cat Stevens (1977)
",184,== Discography == | === 1970s ===
"Only the Lonely (LP), Mavis Staples (1977)
",185,== Discography == | === 1970s ===
"""Easy to Love"" (45), Ola Magnell (Swedish) (1977)
",186,== Discography == | === 1970s ===
"Hostkanning (LP), Ola Magnell (Swedish) (1977)
",187,== Discography == | === 1970s ===
"Bamalama (LP), Pugh Rogefeldt (Swedish) (1977)
",188,== Discography == | === 1970s ===
"""Smoke from a Distant Fire"" (45), Sanford-Townsend (1977)
",189,== Discography == | === 1970s ===
"Sanford-Townsend (LP), Sandford-Townsend (1977)
",190,== Discography == | === 1970s ===
"Dorothy Moore (LP), Dorothy Moore (1977)
",191,== Discography == | === 1970s ===
"Edwards and Ralph (LP), Edwards and Ralph (1977)
",192,== Discography == | === 1970s ===
"Potion Magique (LP), Boule Noire (1977)
",193,== Discography == | === 1970s ===
"Motivation (LP), Bob Crewe
",194,== Discography == | === 1970s ===
"Sometimes (LP), the Facts of Life (1977)
",195,== Discography == | === 1970s ===
"Sailin' (LP), Kim Carnes (1977)
",196,== Discography == | === 1970s ===
"""If We're Not Back in Love by Monday"" (45), Millie Jackson (1978)
",197,== Discography == | === 1970s ===
"Get It Out Cha System (LP), Millie Jackson (1978)
",198,== Discography == | === 1970s ===
"Gotham Flasher (LP), Gotham Flasher (1978)
",199,== Discography == | === 1970s ===
"Taxi Pour Une Nuit Blanche (LP), Boule Noire (Canadian) (1978)
",200,== Discography == | === 1970s ===
"Unlock Your Mind (LP, 45), Staple Singers (1978)
",201,== Discography == | === 1970s ===
"Don't Let Go (LP), Tony Orlando (1978)
",202,== Discography == | === 1970s ===
"""I Just Wanna Turn You On"" (45), Staple Singers (1978)
",203,== Discography == | === 1970s ===
"""When You're in Love with a Beautiful Woman"" (45), Dr. Hook (1978)
",204,== Discography == | === 1970s ===
"""Sharing the Night Together"" (45), Dr. Hook (1978)
",205,== Discography == | === 1970s ===
"Pleasure and Pain (LP), Dr. Hook (1978)
",206,== Discography == | === 1970s ===
"Second Wind (LP), Delbert McClinton (1978)
",207,== Discography == | === 1970s ===
"Against the Grain (LP), Phoebe Snow (1978)
",208,== Discography == | === 1970s ===
"""Fun Time"" (45), Joe Cocker (1978)
",209,== Discography == | === 1970s ===
"Luxury You Can Afford (LP), Joe Cocker (1978)
",210,== Discography == | === 1970s ===
"""Down South Jukin'"" (45), Lynyrd Skynyrd (1978)
",211,== Discography == | === 1970s ===
"Skynyrd's First...and Last (LP), Lynyrd Skynyrd (1978)
",212,== Discography == | === 1970s ===
"""We've Got Tonight"" (45), Bob Seger (1978)
",213,== Discography == | === 1970s ===
"Stranger in Town (LP), Bob Seger (1978)
",214,== Discography == | === 1970s ===
"""Old Time Rock and Roll"" (45), Bob Seger (1978)
",215,== Discography == | === 1970s ===
"Dig a Little Deeper (LP), Latimore (1978)
",216,== Discography == | === 1970s ===
"Make It Good (LP), Prince Phillip Mitchell (1978)
",217,== Discography == | === 1970s ===
"Roads of Life (LP), Bobby Womack (1978)
",218,== Discography == | === 1970s ===
"Pieces (LP), Bobby Womack (1978)
",219,== Discography == | === 1970s ===
"""Dark Eyed Lady"", Donna Fargo (1978)
",220,== Discography == | === 1970s ===
"""Ain't No Way to Forget You"" (45), Levon Helm (1978)
",221,== Discography == | === 1970s ===
"Levon Helm (LP), Levon Helm (1978)
",222,== Discography == | === 1970s ===
"Slow Train Coming (LP, 45), Bob Dylan (1979)
",223,== Discography == | === 1970s ===
"""Gotta Serve Somebody"" (45), Bob Dylan (1979)
",224,== Discography == | === 1970s ===
"Tonight, I Feel Like Dancing (LP, 45), Mavis Staples (1979)
",225,== Discography == | === 1970s ===
"Platinum and Gold (LP), Lynyrd Skynyrd (1979)
",226,== Discography == | === 1970s ===
"Loveline (LP), Eddie Rabbitt (1979)
",227,== Discography == | === 1970s ===
"""Pour Me Another Tequila"" (45), Eddie Rabbitt (1979)
",228,== Discography == | === 1970s ===
"""Suspicions"" (45), Eddie Rabbitt (1979)
",229,== Discography == | === 1970s ===
"4x4 (LP), Starland Vocal Band (1979)
",230,== Discography == | === 1970s ===
"The Original Disco Man (LP), James Brown (1979)
",231,== Discography == | === 1970s ===
"""It's Too Funky in Here"" (45), James Brown (1979)
",232,== Discography == | === 1970s ===
"Royal Rapper (LP), Millie Jackson and Isaac Hayes (1979)
",233,== Discography == | === 1970s ===
"Coconut Telegraph (LP), Jimmy Buffett (1979)
",234,== Discography == | === 1970s ===
"Honest Lullaby (LP), Joan Baez (1979)
",235,== Discography == | === 1970s ===
"The Jukes (LP), Southside Johnny and the Asbury Jukes (1979)
",236,== Discography == | === 1970s ===
"""Ooh Wee She's Killing Me"" (45), Johnnie Taylor (1979)
",237,== Discography == | === 1970s ===
"Burnin' the Ballroom Down (LP), Amazing Rhythm Aces (1979)
",238,== Discography == | === 1970s ===
"The Amazing Rhythm Aces (LP), Amazing Rhythm Aces (1979)
",239,== Discography == | === 1970s ===
"Against the Wind (LP), Bob Seger (1979)
",240,== Discography == | === 1970s ===
"""Fire Lake"" (45), Bob Seger (1979)
",241,== Discography == | === 1970s ===
"Runaway Dreams (LP), Greg Adams (Canadian) (1979)
",242,== Discography == | === 1970s ===
"Sometimes You Win (LP), Dr. Hook (1979)
",243,== Discography == | === 1970s ===
"""Better Love Next Time"" (45), Dr. Hook (1979)
",244,== Discography == | === 1970s ===
"""Bang a Gong"" (45), Witch Queen (1979)
",245,== Discography == | === 1970s ===
"It's in There and It's Got to Come Out (LP), Kate Taylor (1979)
",246,== Discography == | === 1970s ===
"=== 1980s ===
",247,== Discography == | === 1980s ===
"Changes (LP), Billy ""Crash"" Craddock (1980)
",248,== Discography == | === 1980s ===
"Body Language (LP), Patti Austin (1980)
",249,== Discography == | === 1980s ===
"Saved (LP), Bob Dylan (1980)
",250,== Discography == | === 1980s ===
"The Jealous Kind (LP), Delbert McClinton (1980)
",251,== Discography == | === 1980s ===
"Giving It Up for Your Love (45) Delbert McClinton (1980)
",252,== Discography == | === 1980s ===
"People (LP), James Brown (1980)
",253,== Discography == | === 1980s ===
"""Sexy Eyes"" (45), Dr. Hook (1980)
",254,== Discography == | === 1980s ===
"""Gone Too Far"" (45), Eddie Rabbitt (1980)
",255,== Discography == | === 1980s ===
"""Happy Birthday"" (45), Eddy Mitchell (French) (1980)
",256,== Discography == | === 1980s ===
"Take What You Find (LP), Helen Reddy (1980)
",257,== Discography == | === 1980s ===
"Storm Windows (LP), John Prine (1980)
",258,== Discography == | === 1980s ===
"McGuinn-Hillman (LP), McGuinn-Hillman (1980)
",259,== Discography == | === 1980s ===
"Borrowed Time (LP), Johnny Rivers (1980)
",260,== Discography == | === 1980s ===
"Jackson Highway (LP), Jackson Highway (1980)
",261,== Discography == | === 1980s ===
"How the Hell Do You Spell Rhythum (LP), Amazing Rhythm Aces (1980)
",262,== Discography == | === 1980s ===
"Gimme You (LP), Billy Burnette (1981)
",263,== Discography == | === 1980s ===
"I Had to Say It (LP), Millie Jackson (1981)
",264,== Discography == | === 1980s ===
"Reunion (LP), Jerry Jeff Walker (1981)
",265,== Discography == | === 1980s ===
"Fancy Free (LP), Oak Ridge Boys (1981)
",266,== Discography == | === 1980s ===
"Full House–Aces High (LP), Amazing Rhythm Aces (1981)
",267,== Discography == | === 1980s ===
"Plain' from the Heart (LP), Delbert McClinton (1981)
",268,== Discography == | === 1980s ===
"Breakthrough (LP), Lenny LeBlanc (1981)
",269,== Discography == | === 1980s ===
"Billy Vera (LP), Billy Vera (1982)
",270,== Discography == | === 1980s ===
"Russell Smith (LP), Russell Smith (1982)
",271,== Discography == | === 1980s ===
"Comin Home (LP), Bob Seger (1982)
",272,== Discography == | === 1980s ===
"Bobbie Sue (LP), Oak Ridge Boys (1982)
",273,== Discography == | === 1980s ===
"Christmas (LP), Oak Ridge Boys (1982)
",274,== Discography == | === 1980s ===
"Thank God for Kids, Oak Ridge Boys (1982)
",275,== Discography == | === 1980s ===
"Standing on the Edge (LP), Frankie Miller (1982)
",276,== Discography == | === 1980s ===
"Levon Helm (LP), Levon Helm (1982)
",277,== Discography == | === 1980s ===
"Old Enough (LP), Lou Ann Barton (1982)
",278,== Discography == | === 1980s ===
"The Rhythm and the Blues, Z. Z. Hill (1982)
",279,== Discography == | === 1980s ===
"Night After Night (LP) Steve Cropper (1982)
",280,== Discography == | === 1980s ===
"Right from the Start (LP), Will McFarlane (1982)
",281,== Discography == | === 1980s ===
"E.S.P. (LP), Millie Jackson (1983)
",282,== Discography == | === 1980s ===
"Shine On (LP), Muscle Shoals Horns (1983)
",283,== Discography == | === 1980s ===
"American Made (LP), Oak Ridge Boys (1983)
",284,== Discography == | === 1980s ===
"Deliver (LP), Oak Ridge Boys (1983)
",285,== Discography == | === 1980s ===
"""Ozark Mountain Jubilee"" (45), Oak Ridge Boys (1983)
",286,== Discography == | === 1980s ===
"""I Guess It Never Hurts to Hurt Sometimes"" (45), Oak Ridge Boys (1983)
",287,== Discography == | === 1980s ===
"Money and Cigarettes (LP), Eric Clapton (1983)
",288,== Discography == | === 1980s ===
"Knockout (LP), Margie Joseph (1983)
",289,== Discography == | === 1980s ===
"Say a Prayer (LP), Lenny LeBlanc (1983)
",290,== Discography == | === 1980s ===
"Michele Pillar (LP), Michele Pillar (1983)
",291,== Discography == | === 1980s ===
"I'm a Bluesman (LP), Z. Z. Hill (1983)
",292,== Discography == | === 1980s ===
"The Thrasher Brothers (LP), Thrasher Brothers (1983)
",293,== Discography == | === 1980s ===
"Greatest Hits (LP), Billy ""Crash"" Craddock (1983)
",294,== Discography == | === 1980s ===
"No Fun Aloud (LP), Glenn Frey (1983)
",295,== Discography == | === 1980s ===
"Steve Bassett (LP), Steve Bassett (1984)
",296,== Discography == | === 1980s ===
"Fantasies (LP), Peter Pringle (Canadian) (1984)
",297,== Discography == | === 1980s ===
"Playing for Keeps (LP), Little Milton (1984)
",298,== Discography == | === 1980s ===
"""Uphill Climb"" (45), James Govan (1984)
",299,== Discography == | === 1980s ===
"Donna Fargo (LP), Donna Fargo (1984)
",300,== Discography == | === 1980s ===
"Bluesmaster (LP), Z. Z. Hill (1984)
",301,== Discography == | === 1980s ===
"Valotte (LP, 45), Julian Lennon (1984)
",302,== Discography == | === 1980s ===
"Havana Moon (LP), Carlos Santana (1984)
",303,== Discography == | === 1980s ===
"The Allnighter (LP), Glenn Frey (1984)
",304,== Discography == | === 1980s ===
"The Convertibles (LP), the Convertibles (1984)
",305,== Discography == | === 1980s ===
"Colony of Heaven (LP), Will McFarlane (1984)
",306,== Discography == | === 1980s ===
