paragraph,paragraphIndex,section
"Yui Sakakibara (Japanese: 榊原ゆい, Hepburn: Sakakibara Yui, born October 13) is a Japanese voice actress, choreographer, dancer and singer from Hyōgo Prefecture. She appeared on Kōhaku Uta Gassen as background dancer behind Ami Suzuki in 1999 and 2000. She used the name Mayo Hinano (雛野 真代(まよ), Hinano Mayo) and others in her previous roles. She is also credited as FES from the band ""Phantasm"" (ファンタズム) in the Science Adventure visual novel series, which is a stage name of her character Ayase Kishimoto from Chaos;Head.
",0,N/A
"== Filmography ==
",1,== Filmography ==
"Chocolate♪Kiss (2002), Natsuki Tachibana
",26,== Filmography == | === Console games ===
"Jockey's Road (2002), Hikaru Kamiya
",27,== Filmography == | === Console games ===
"Konohana 2: Todokanai Requiem (2002), Mayumi Shiina, Yuko Oomi and Masami Kitayama
",28,== Filmography == | === Console games ===
"Konohana 3: Itsuwari no Kage no Mukō ni (2003), Mayumi Shiina, Yuko Oomi, Masami Kitayama
",29,== Filmography == | === Console games ===
"Fu-un Shinsengumi (2004), Ikumatsu
",30,== Filmography == | === Console games ===
"Tokyo Majin Gakuen Gehouchou Keppuuroku (2004), Fureiya
",31,== Filmography == | === Console games ===
"Fu-un Bakumatsu-den (2005), Ikumatsu
",32,== Filmography == | === Console games ===
"Konohana 4: Yami o Harau Inori (2006), Mayumi Shiina, Yuko Oomi
",33,== Filmography == | === Console games ===
"Kūron Yōma Gakuenki re:charge (2006), Itsuha Hibiki, Mayuko
",34,== Filmography == | === Console games ===
"Mutsuboshi☆Kirari: Hoshifuru Miyako (2006), Hokuto, Araki Miyako
",35,== Filmography == | === Console games ===
"Happiness! De:Luxe (2007), Haruhi Kamisaka
",36,== Filmography == | === Console games ===
"Nitro Royale (2007), Natsumi Aihara
",37,== Filmography == | === Console games ===
"Ojousama Kumikyoku -SweetConcert- (2007), Nanase Iwamoto
",38,== Filmography == | === Console games ===
"Saishū Shiken Kujira Alive (2007), Niina Mikage
",39,== Filmography == | === Console games ===
"Super Robot Wars OG: Original Generations (2007), Leona Garstein
",40,== Filmography == | === Console games ===
"Super Robot Wars OG Gaiden (2007), Leona Garstein
",41,== Filmography == | === Console games ===
"H2O + (2008), Hamaji Yakumo
",42,== Filmography == | === Console games ===
"Kanokon Esuii (2008), Shirane Kamura
",43,== Filmography == | === Console games ===
"Prism Ark -Awake- (2008), Priecia
",44,== Filmography == | === Console games ===
"The Amazon Road (2008), Johnny
",45,== Filmography == | === Console games ===
"Yotsunoha: A Journey of Sincerity (2008), Nono Nekomiya
",46,== Filmography == | === Console games ===
"Yggdra Union (2008), Kylier, Monica
",47,== Filmography == | === Console games ===
"Chaos;Head Noah (2009), Ayase Kishimoto
",48,== Filmography == | === Console games ===
"Pia Carrot e Yokoso!! G.P.: Gakuen Princess (2009), Hina Satō
",49,== Filmography == | === Console games ===
"Pia Carrot e Yokoso!! G.P.: Gakuen Princess Portable (2009), Hina Satō
",50,== Filmography == | === Console games ===
"Solfège: Sweet harmony (2009), Kagura Fujimiya
",51,== Filmography == | === Console games ===
"Time Leap (2009), Ayumu
",52,== Filmography == | === Console games ===
"77: beyond the Milky Way (2010), Kuu
",53,== Filmography == | === Console games ===
"Chaos;Head Love Chu Chu! (2010), Ayase Kishimoto
",54,== Filmography == | === Console games ===
"Game Book DS: Aquarian Age Perpetual Period (2010), Ai Amane
",55,== Filmography == | === Console games ===
"Record of Agarest War 2 (2010), Figline
",56,== Filmography == | === Console games ===
"Sakura Sakura: Haru Urara (2010), Kurumi Tachibana
",57,== Filmography == | === Console games ===
"Tenshinranman Happy Go Lucky!! (2010), Kotaro Asagi
",58,== Filmography == | === Console games ===
"Otome wa Boku ni Koishiteru: Futari no Elder Portable (2011), Utano Sasou
",59,== Filmography == | === Console games ===
"Stella Glow (2015), Sakuya
",60,== Filmography == | === Console games ===
"=== PC game ===
",61,== Filmography == | === PC game ===
"Album no Naka no Hohoemi (1999), Yuzuko Sugadaira
",62,== Filmography == | === PC game ===
"Heart de Network (2000), Mari Tsudanuma, Mūchan, Marine
",63,== Filmography == | === PC game ===
"Sukidayo! (2000), Rina Shimbashi
",64,== Filmography == | === PC game ===
"Memories Zero: Aoi Hikari no Yakusoku (2001), Yuumi Futaba
",65,== Filmography == | === PC game ===
"Gakuen Counsellor (2002), Akiko Oodate
",66,== Filmography == | === PC game ===
"""Hello, world."" (2002), Natsumi Aibara
",67,== Filmography == | === PC game ===
"Mayonaka wa Ware no Mono (2002), May
",68,== Filmography == | === PC game ===
"Motto Muriyari! (2002), Moemi Asagi
",69,== Filmography == | === PC game ===
"Sī Sī Syndrome (2002), Badrinath Silva
",70,== Filmography == | === PC game ===
"Ane mo ne (2003), Futaba Shingūji
",71,== Filmography == | === PC game ===
"Blaze of Destiny (2003), Lena Raputohōn
",72,== Filmography == | === PC game ===
"Kakoi: Zetsubō no Shojo Kangokutō (2003), Kaede Kurata, Reika
",73,== Filmography == | === PC game ===
"Oshikake Harem (2003), Excel Bouquet
",74,== Filmography == | === PC game ===
"Sefure☆Syndrome (2003), Badrinard Silva
",75,== Filmography == | === PC game ===
"to... (2003), Miho Ogasawara
",76,== Filmography == | === PC game ===
"Chijoku Hitozuma Jogakuin (2004), Kaoru Mitone
",77,== Filmography == | === PC game ===
"Kao no nai Tsuki: Suzuna Nikki (limited edition for fan club) (2004), Suzuna Kuraki
",78,== Filmography == | === PC game ===
"Mutsuboshi Kirari (2004), Hokuto, Araki Miyako
",79,== Filmography == | === PC game ===
"Oshikake Harem Hard Party (2004), Excel Bouquet
",80,== Filmography == | === PC game ===
"Puni Puni Handmade (2004), Pochiko, Bochiko
",81,== Filmography == | === PC game ===
"Saishū Shiken Kujira ~Departures~ (2004), Niina Mikage
",82,== Filmography == | === PC game ===
"Akanaeru Sekai no Owari ni (2005), Chifuyu Oumi
",83,== Filmography == | === PC game ===
"Gift (2005), Kirino Konosaka
",84,== Filmography == | === PC game ===
"Gunjō no Sora o koete: Glas Auszeichnung (2005), Wakana Mizuki
",85,== Filmography == | === PC game ===
"Hajimete no Otetsudai (2005), Yuuki Momono
",86,== Filmography == | === PC game ===
"Happiness! (2005), Haruhi Kamisaka
",87,== Filmography == | === PC game ===
"Bra-ban! -The bonds of melody- (2006), Tae Nakanoshima
",88,== Filmography == | === PC game ===
"Gift: Nijiiro Stories (2006), Kirino Konosaka
",89,== Filmography == | === PC game ===
"H2O: Footprints in the Sand (2006), Hamaji Yakumo
",90,== Filmography == | === PC game ===
"Happiness! Re:Lucks (2006), Haruhi Kamisaka
",91,== Filmography == | === PC game ===
"Harukoi Otome: Otome no Sono de Gokigen'yō (2006), Umi Hayasaka
",92,== Filmography == | === PC game ===
"Himesama Ririshiku! (2006), Atirene
",93,== Filmography == | === PC game ===
"Koiotome (2006), Misora Yamato
",94,== Filmography == | === PC game ===
"Osananajimi tono Kurashikata (2006), Nono Nekomiya
",95,== Filmography == | === PC game ===
"Otaku☆Masshigura (2006), Yoshitsuki Fukushima
",96,== Filmography == | === PC game ===
"Potto -Rondo for Dears- (2006), Kimika Ogata
",97,== Filmography == | === PC game ===
"Prism Ark (2006), Priecia
",98,== Filmography == | === PC game ===
"Spitan: Spirits Expedition -in the Phantasmagoria- (2006), Zena Clousy
",99,== Filmography == | === PC game ===
"Yotsunoha (2006), Nono Nekomiya
",100,== Filmography == | === PC game ===
"Ah! Ojousama (2007), Kaori Shihou
",101,== Filmography == | === PC game ===
"Alpeggio: Kimiiro no Melody (2007), Chisato Kitami
",102,== Filmography == | === PC game ===
"Chu×Chu Idol -The idol is a Vampire?- (2007), Chuchu Astram, Chiyu Nakauchi, Chua Churam
",103,== Filmography == | === PC game ===
"Chu×Chu Paradise (2007), Chuchu Astram, Chiyu Nakauchi, Chua Churam
",104,== Filmography == | === PC game ===
"Dies irae -Also sprach Zarathustra- (2007), Marie
",105,== Filmography == | === PC game ===
"eXceed3rd-Jade Penetrate- (2007), Sariabell Orphannights
",106,== Filmography == | === PC game ===
"E×E (2007), Madoka Kamigoryou
",107,== Filmography == | === PC game ===
"FairChild (2007), Kotori Hazumi
",108,== Filmography == | === PC game ===
"Figurehead (2007), Eolie
",109,== Filmography == | === PC game ===
"Happy☆Marguerite! (2007), Karin Hortensia Minahase
",110,== Filmography == | === PC game ===
"Kannabi (2007), May
",111,== Filmography == | === PC game ===
"Maid to Majutsushi (2007), Hondou Crimean Ōki
",112,== Filmography == | === PC game ===
"Nagagutsu o Haita Deko (2007), Kasane Aifuri
",113,== Filmography == | === PC game ===
"Nono to Kuraso! (2007), Nono Nekomiya
",114,== Filmography == | === PC game ===
"Pastel (2007), Mio Momose
",115,== Filmography == | === PC game ===
"Pia-jong (2007), Reona Kinoshita
",116,== Filmography == | === PC game ===
"Piano no Mori no Mankai no Shita (2007), Kamimori Sakurano, Konohana
",117,== Filmography == | === PC game ===
"Root after and another (2007), Hamaji Yakumo
",118,== Filmography == | === PC game ===
"Sweet! (2007), Haori Midou
",119,== Filmography == | === PC game ===
"Time Leap (2007), Ayumu
",120,== Filmography == | === PC game ===
"Akatsuki no Goei (2008), Aya Nikaido
",121,== Filmography == | === PC game ===
"Akatsuki no Goei: Principal tachi no Kyujitsu (2008), Aya Nikaidou
",122,== Filmography == | === PC game ===
"Asanagi no Aquanauts (2008), Mio Asanagi
",123,== Filmography == | === PC game ===
"Chaos;Head (2008), Ayase Kishimoto
",124,== Filmography == | === PC game ===
"Chest Chase (2008), Nishiki Kiri
",125,== Filmography == | === PC game ===
"Concerto Note (2008), Seika Nanagi
",126,== Filmography == | === PC game ===
"D.C.P.K.: Da Capoker (2008), Siiren
",127,== Filmography == | === PC game ===
"Furufuru Full Moon (2008), Noa Ninamori
",128,== Filmography == | === PC game ===
"Konboku Mahjong: Konna Mahjong ga Attara Boku wa Ron! (2008), Ayumu (Ericia Quintaine de Yggdrasil)
",129,== Filmography == | === PC game ===
"Pia Carrot e Yokoso!! G.P. (2008), Hina Satō
",130,== Filmography == | === PC game ===
"Prism Ark Love Love Maxim! (2008), Priecia
",131,== Filmography == | === PC game ===
"Sumaga (2008), Amaho Kusakabe
",132,== Filmography == | === PC game ===
"77: And, two stars meet again (2009), Kuu
",133,== Filmography == | === PC game ===
"Koko yori, Haruka -Surrounded sea in the world- (2009), Anna Hoshino
",134,== Filmography == | === PC game ===
"Memoria (2009), Yuuki Hanks
",135,== Filmography == | === PC game ===
"Midarete Majiwaru Ore to Hime: Hime to Shitsuji Utahime to Sonota Oozei to (2009), Hondou Crimean Ōki
",136,== Filmography == | === PC game ===
"Reincarnation☆Shinsengumi' (2009), Yue Kondo
",137,== Filmography == | === PC game ===
"Sakura Sakura (2009), Kurumi Tachibana
",138,== Filmography == | === PC game ===
"Signal Heart (2009), Kokone Amami
",139,== Filmography == | === PC game ===
"Signal Heart Plus (2009), Kokone Amami
",140,== Filmography == | === PC game ===
"Skyprythem (2009), Nanami Suzushiro
",141,== Filmography == | === PC game ===
"Sumaga Special (2009), Amaho Kusakabe
",142,== Filmography == | === PC game ===
"Tenshinranman -Lucky or Unlucky!?- (2009), Kotaro Asagi
",143,== Filmography == | === PC game ===
"Tiara (2009), Claire Dorner
",144,== Filmography == | === PC game ===
"Time Leap Paradise (2009), Ayumu
",145,== Filmography == | === PC game ===
"Zettai Karen! Ojōsama' (2009), Nanase Kinosaki
",146,== Filmography == | === PC game ===
"Akatsuki no Goei: Tsumibukaki Shūmatsuron (2010), Aya Nikaidou
",147,== Filmography == | === PC game ===
"Azanaeru (2010), Ena Fujimi
",148,== Filmography == | === PC game ===
"Melclear: Mizu no Miyako ni Koi no Hanataba o (2010), Himiko Takamori
",149,== Filmography == | === PC game ===
"Orange Memories (2010), Kokoro Akashi
",150,== Filmography == | === PC game ===
"Otome wa Boku ni Koishiteru: Futari no Elder (2010), Utano Sasou
",151,== Filmography == | === PC game ===
"Sora o Aogite Kumo Takaku (2010), Mint
",152,== Filmography == | === PC game ===
"Koi to Senkyo to Chocolate (2010), Mieru Ariake
",153,== Filmography == | === PC game ===
"Kimi to Boku to Eden no Ringo (2011), Karen Asakura
",154,== Filmography == | === PC game ===
"Sakura Sakura Festival! (2011), Kurumi Tachibana
",155,== Filmography == | === PC game ===
"Hatsukoi Time Capsule (2011), Mio Kiwada
",156,== Filmography == | === PC game ===
"=== Mobile games ===
",157,== Filmography == | === Mobile games ===
"Azur Lane (2017), HMS Aurora (12)
",158,== Filmography == | === Mobile games ===
"=== Drama CDs ===
",159,== Filmography == | === Drama CDs ===
"Akanaeru Sekai no Owari ni (yyyy), Chifuyu Oumi
",160,== Filmography == | === Drama CDs ===
"Asanagi no Aquanauts (yyyy), Mio Asanagi
",161,== Filmography == | === Drama CDs ===
"Chaos;Head Drama CD:The parallel bootleg (yyyy), Ayase Kishimoto
",162,== Filmography == | === Drama CDs ===
"Dies irae Drama CD Wehrwolf (yyyy), Marie
",163,== Filmography == | === Drama CDs ===
"Gift Drama CD (series) (yyyy), Kirino Konosaka
",164,== Filmography == | === Drama CDs ===
"Happiness! Yuki no Valentine's Day (yyyy), Haruhi Kamisaka
",165,== Filmography == | === Drama CDs ===
"""Hello, world."": Butchake Hello, world. (yyyy), Hatsumi Aihara
",166,== Filmography == | === Drama CDs ===
"Himesama Ririshiku! (yyyy), Atirene
",167,== Filmography == | === Drama CDs ===
"Hoshi no Kioku (yyyy), Kaguya Houraisan
",168,== Filmography == | === Drama CDs ===
"Koi no Hibiscus (yyyy), Nono Nekomiya, Takada-san
",169,== Filmography == | === Drama CDs ===
"Magical☆Drama CD: Bust to Bust to Prelude (yyyy), Ibuki
",170,== Filmography == | === Drama CDs ===
"Otome wa Boku ni Koishiteru: Natsu no Cosmos, Aki no Matsurika (yyyy), Nao Sakurai
",171,== Filmography == | === Drama CDs ===
"Otome wa Boku ni Koishiteru (yyyy), Hirako Kajiura
",172,== Filmography == | === Drama CDs ===
"Play☆Stationery (yyyy), Harumi
",173,== Filmography == | === Drama CDs ===
"Prism Ark (series) (yyyy), Priecia
",174,== Filmography == | === Drama CDs ===
"Solfège (series) (yyyy), Kagura Fujimiya
",175,== Filmography == | === Drama CDs ===
"Sukidayo! (yyyy), Rina Shimbashi
",176,== Filmography == | === Drama CDs ===
"Sakura Sakura: Sōshisōai (yyyy), Kurumi Tachibana
",177,== Filmography == | === Drama CDs ===
"Bi -vi-: #1 Ten to Chi to (yyyy), Sanada Yukimura
",178,== Filmography == | === Drama CDs ===
"Yggdra Unison: Seiken Buyūden (yyyy), Kylier
",179,== Filmography == | === Drama CDs ===
"Yotsunoha (series) (yyyy), Nono Nekomiya
",180,== Filmography == | === Drama CDs ===
"=== Dubbing ===
",181,== Filmography == | === Dubbing ===
"Over the Hedge (2006), Stella
",182,== Filmography == | === Dubbing ===
"=== Other ===
",183,== Filmography == | === Other ===
"Voiceroid+ Kotonoha Akane & Aoi (April 2014)
",184,== Filmography == | === Other ===
"Voiceroid2 Kotonoha Akane & Aoi (June 2017)
",185,== Filmography == | === Other ===
"Synthesizer V Kotonoha Akane & Aoi (July 2020)
",186,== Filmography == | === Other ===
"== Discography ==
",187,== Discography ==
"=== Albums ===
",188,== Discography == | === Albums ===
"yuithmReleased by LOVE×TRAX on January 27, 2006
",189,== Discography == | === Albums ===
"Realythm
",190,== Discography == | === Albums ===
"jewelry days - August Fan Box main theme
",191,== Discography == | === Albums ===
"Egao o oikakete (笑顔を追いかけて) - Konneko opening theme
",192,== Discography == | === Albums ===
"Maboroshi (幻影～まぼろし～) - Mozu no Nie... ~Hayanie no Sho~ opening theme
",193,== Discography == | === Albums ===
"Haru ni saku Omoi (春に咲く想い) - Ane mo ne opening theme
",194,== Discography == | === Albums ===
"Kirari☆Natsu (キラリ☆夏) - to... opening theme
",195,== Discography == | === Albums ===
"It's just love - Sukidayo! ending theme
",196,== Discography == | === Albums ===
"Kooru Tsuki no Yoru (凍る月の夜) - UNDER GROUND endingtheme
",197,== Discography == | === Albums ===
"Ibarahime (棘姫) - Papillon Rose G opening theme
",198,== Discography == | === Albums ===
"Hōyō (抱擁) - Nukumori no naka de opening theme
",199,== Discography == | === Albums ===
"Takaramono (タカラモノ) - Motto! Ojamajo Doremi ending theme
",200,== Discography == | === Albums ===
"school meet you - Sukumizu Police opening theme
",201,== Discography == | === Albums ===
"Rin (凛～りん～) - Ane mo ne ending theme
",202,== Discography == | === Albums ===
"Traveling - Blaze of Destiny ending theme
",203,== Discography == | === Albums ===
"melody
",204,== Discography == | === Albums ===
"Ai no Gush! (愛のGUSH!) (secret track)HONEYReleased by LOVE×TRAX on September 22, 2006
",205,== Discography == | === Albums ===
"HONEY
",206,== Discography == | === Albums ===
"refrain - Blaze of Destiny opening theme
",207,== Discography == | === Albums ===
"Favorite Love - Otaku☆Masshigura opening theme
",208,== Discography == | === Albums ===
"Doki Doki ga Tomaranai (Doki Dokiが止まらない) - Mirorama opening theme
",209,== Discography == | === Albums ===
"Yoru ga kuru tabi (夜がくるたび) - Mirorama ending theme
",210,== Discography == | === Albums ===
"You make me! - Yu Me Ku Me! ~Wakeari Bukken, Yōsei Tsuki~ opening theme
",211,== Discography == | === Albums ===
"Wake me up! - Koiotome opening theme
",212,== Discography == | === Albums ===
"Kanata (彼方) - Papillon Rose G ending theme
",213,== Discography == | === Albums ===
"Beautiful Harmony - Bra-ban! -The bonds of melody- opening theme
",214,== Discography == | === Albums ===
"Koisuru Tokei (恋するとけい) - Konneko ending theme
",215,== Discography == | === Albums ===
"Shining Orange - Yotsunoha ending theme
",216,== Discography == | === Albums ===
"Happy Birthday
",217,== Discography == | === Albums ===
"ONE DAY - Akanaeru Sekai no Owari ni insert song
",218,== Discography == | === Albums ===
"Kono Hana Saku Koro (此の花咲ク頃) - Piano no Mori no Mankai no Shita opening theme
",219,== Discography == | === Albums ===
"Love×2♪song -English Version-princessReleased by LOVE×TRAX on September 21, 2007
",220,== Discography == | === Albums ===
"princess
",221,== Discography == | === Albums ===
"Chu×Chu!! - Chu×Chu Idol -The idol is a Vampire? opening theme
",222,== Discography == | === Albums ===
"I Will...! -  Utsurigi Nanakoi Tenkiame opening theme
",223,== Discography == | === Albums ===
"Just I wish -  Utsurigi Nanakoi Tenkiame insert song
",224,== Discography == | === Albums ===
"Darling (ダーリン) - Osananajimi tono Kurashikata opening theme
",225,== Discography == | === Albums ===
"VOYAGEURS - NEO STEAM image song
",226,== Discography == | === Albums ===
"Hapiday♪ (はぴでい♪) - Happiness! Re:Lucks opening theme
",227,== Discography == | === Albums ===
"SINCLAIR - Shūmatsu Shōjo Gensō Alicematic opening theme
",228,== Discography == | === Albums ===
"core - Shūmatsu Shōjo Gensō Alicematic insert theme
",229,== Discography == | === Albums ===
"SHOOTING STAR - Itsuka, Todoku, Anosorani. opening theme
",230,== Discography == | === Albums ===
"Trust in me - EXE opening theme
",231,== Discography == | === Albums ===
"Eternal Destiny - Yoake Mae yori Ruri Iro na opening theme
",232,== Discography == | === Albums ===
"LOVEclick☆ - LOVE×Radio theme song
",233,== Discography == | === Albums ===
"dreaming - Hobi Radi theme songJokerReleased by LOVE×TRAX☆Records on September 10, 2008
",234,== Discography == | === Albums ===
"Love Game (JOKER prelude)
",235,== Discography == | === Albums ===
"JOKER - G-Taste OVA theme song
",236,== Discography == | === Albums ===
"Einsatz - Dies irae opening theme
",237,== Discography == | === Albums ===
"Believe
",238,== Discography == | === Albums ===
"Happy Leap - Time Leap opening theme
",239,== Discography == | === Albums ===
"Over the Light - Nanairo Kanata insert song
",240,== Discography == | === Albums ===
"Together - Akatsuki no Goei opening theme
",241,== Discography == | === Albums ===
"Furu Furu☆ (ふるふるっ☆) - Furufuru☆Fullmoon opening theme
",242,== Discography == | === Albums ===
"Till I can see you again - Chu x Chu Paradise ending theme
",243,== Discography == | === Albums ===
"Get Love Power - Konboku Mahjong: Konna Mahjong ga Attara Boku wa Ron! opening theme
",244,== Discography == | === Albums ===
"Aqua Voice - Asanagi no Aquanauts opening theme
",245,== Discography == | === Albums ===
"Ready Go!! - Fate/Tiger Colosseum opening theme
",246,== Discography == | === Albums ===
"Imitation - Imitation Lover opening theme
",247,== Discography == | === Albums ===
"Girl meets Boy - Tokimeki Fantasy Latale image song
",248,== Discography == | === Albums ===
"message!~PHANTASM~ End Prophecy as FES (PHANTASM 1st album)Compilation album of songs from Chaos;Head; Released by Media Factory on May 6, 2009 
",249,== Discography == | === Albums ===
"Mikkyō no Kubikazari (密教の首飾り) （Black Mass Ver.）
",250,== Discography == | === Albums ===
"Shokuzai no Erotika (贖罪のエロティカ)
",251,== Discography == | === Albums ===
"Zaika ni Keiyaku no Chi o (罪過に契約の血を)
",252,== Discography == | === Albums ===
"Yami ni Hikari o Tomosu Mono (闇に光を灯す者)
",253,== Discography == | === Albums ===
"Haritsuke no Misa (磔のミサ) (To the distance Ver.)
",254,== Discography == | === Albums ===
"Haruka Naru Idiyona (遙かなるイディヨナ) (Heavy Generation Ver.)
",255,== Discography == | === Albums ===
"Hallelujah no Fukuin (アレルイヤの福音, Areruiya no Fukuin) (Extra Solo Ver.)
",256,== Discography == | === Albums ===
"Gladiale (グラジオール, Gurajiōru)
",257,== Discography == | === Albums ===
"Nageki no Arabesque (嘆きのアラベスク, Nageki no Arabesuku)Dream Party Memorial AlbumReleased by DreamParty Secretariat on June 30, 2009
",258,== Discography == | === Albums ===
"Brightness
",259,== Discography == | === Albums ===
"Dream a go!go!（ArrangementVersion）
",260,== Discography == | === Albums ===
"Motto, Yume, Miyō!! (もっと、夢、見よう!!) (CoverVersion)
",261,== Discography == | === Albums ===
"Premonition Dream（ArrangementVersion）
",262,== Discography == | === Albums ===
"Shiny Road
",263,== Discography == | === Albums ===
"Rose quartz（ArrangementVersion）
",264,== Discography == | === Albums ===
"Summer Angel☆
",265,== Discography == | === Albums ===
"To be continued...
",266,== Discography == | === Albums ===
"Happy Day☆（ArrangementVersion）
",267,== Discography == | === Albums ===
"The desert of time
",268,== Discography == | === Albums ===
"Thank you for us（ArrangementVersion）
",269,== Discography == | === Albums ===
"SignLOVE×singlesReleased by LOVE×TRAX on July 3, 2009
",270,== Discography == | === Albums ===
"Jewelry days - August Fan Box theme song
",271,== Discography == | === Albums ===
"Love×2♪song - LOVE×Radio theme song
",272,== Discography == | === Albums ===
"Kono Hana Haku Koro (此の花咲ク頃) - Piano no Mori no Mankai no Shita opening theme
",273,== Discography == | === Albums ===
"Chiru Hana Sakura (ちるはなさくら) - Piano no Mori no Mankai no Shita ending theme
",274,== Discography == | === Albums ===
"Eternal Destiny - Yoake Mae yori Ruri Iro na opening theme
",275,== Discography == | === Albums ===
"Love☆Emergency - LOVE×Radio theme song
",276,== Discography == | === Albums ===
"Imitation - Imitation Lover opening theme
",277,== Discography == | === Albums ===
"feel - Imitation Lover ending theme
",278,== Discography == | === Albums ===
"Jewelry days（Instrumental）
",279,== Discography == | === Albums ===
"Love×2♪song（Instrumental）
",280,== Discography == | === Albums ===
"Kono Hana Haku Koro (此の花咲ク頃)（Instrumental）
",281,== Discography == | === Albums ===
"Chiru Hana Sakura (ちるはなさくら)（Instrumental）
",282,== Discography == | === Albums ===
"Eternal Destiny（Instrumental）
",283,== Discography == | === Albums ===
"Love☆Emergency（Instrumental）
",284,== Discography == | === Albums ===
"Imitation（Instrumental）
",285,== Discography == | === Albums ===
"feel（Instrumental）Yeeeeell!Released by LOVE×TRAX on August 26, 2009
",286,== Discography == | === Albums ===
"Yeeeeell!
",287,== Discography == | === Albums ===
"It's show time - Time Leap Paradise opening theme
",288,== Discography == | === Albums ===
"Mecha Koi Ranman☆ (メチャ恋らんまん☆) - Tenshinranman -LUCKY or UNLUCKY!?- opening theme
",289,== Discography == | === Albums ===
"Boku no Sekai (ボクノセカイ) - ''Alpeggio: Kimiiro no Melody opening theme
",290,== Discography == | === Albums ===
"ACTION!
",291,== Discography == | === Albums ===
"warmth
",292,== Discography == | === Albums ===
"Eternal Ring - Unity Marriage: Futari no Hanayome opening theme
",293,== Discography == | === Albums ===
"Taiyou no Saku Hoshi de (太陽の咲く星で) - Himawari no Chapel de Kimi to opening theme
",294,== Discography == | === Albums ===
"Festivity - Chu×Chu Paradise theme song
",295,== Discography == | === Albums ===
"Blue eyes - Asanagi no Aquanauts enging theme
",296,== Discography == | === Albums ===
"Try Real! - Fate/tiger Colosseum UPPER theme song
",297,== Discography == | === Albums ===
"selfish
",298,== Discography == | === Albums ===
"Yume no Tsume -End in childhood- (夢の罪 -End in childhood-) - Potto -Rondo for Dears- opening theme
",299,== Discography == | === Albums ===
"Shinju no Uta (真珠のうた) - ""Hello, world."" ending theme
",300,== Discography == | === Albums ===
"Kiseki no Kizuna (2009 mix) (奇跡の絆(2009mix)) - Meguri, Hitohira opening themeEVERGREENReleased by b-fairy records on November 26, 2009
",301,== Discography == | === Albums ===
"Jōnetsu no partita (情熱のpartita)
",302,== Discography == | === Albums ===
"Gessei no Kanon (月聖ノ蒼炎曲) - Galaxy Angel II Eigō Kaiki no Toki opening theme
",303,== Discography == | === Albums ===
"Aqua Voice - Asanagi no Aquanauts opening theme
",304,== Discography == | === Albums ===
"Sakura Philosophy (さくらフィロソフィー) - Sakura Tail opening theme
",305,== Discography == | === Albums ===
