time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 23 , 1964","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Eizo Sakamoto (坂本 英三, Sakamoto Eizō, also credited as さかもと えいぞう Sakamoto Eizō, born February 23, 1964) is a Japanese musician, singer and songwriter who was born in Nishinomiya, Hyōgo Prefecture.",0,0,,11348105,1964-02-23,1964-02-23,ML
the 1990s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,In the 1990s he started up the band Animetal which performed heavy metal covers of anime and tokusatsu opening and closing themes.,2,0,,11348105,1990-01-01,1999-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"[2000] Metal Itchokusen (メタル一直線, Metaru Itchokusen)",0,3,== Discography == | === Albums ===,11348105,2000-01-01,2000-12-31,ML
'90,POS,YEAR_REGEX_2,TIME,,"[2010.10.23] Super Animesong: Legend of 1990s (スーパーアニソン レジェンド オブ’90, Sūpā Anison Rejendo Obu '90)",0,12,== Discography == | === Eizo Japan ===,11348105,,,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,[1985] Anthem,0,14,== Discography == | === Anthem ===,11348105,1985-01-01,1985-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,[1985] Ready To Ride,0,15,== Discography == | === Anthem ===,11348105,1985-01-01,1985-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,[1986] Tightrope,0,16,== Discography == | === Anthem ===,11348105,1986-01-01,1986-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,[1986] Xanadu (Promotional Single For The 1985 Video Game Xanadu: Dragon Slayer II),0,17,== Discography == | === Anthem ===,11348105,1986-01-01,1986-12-31,ML
The 1985,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,[1986] Xanadu (Promotional Single For The 1985 Video Game Xanadu: Dragon Slayer II),0,17,== Discography == | === Anthem ===,11348105,1985-01-01,1985-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,[1987] Bound To Break,0,18,== Discography == | === Anthem ===,11348105,1987-01-01,1987-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,[2001] Seven Hills,0,19,== Discography == | === Anthem ===,11348105,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,[2002] Overload,0,20,== Discography == | === Anthem ===,11348105,2002-01-01,2002-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,[2004] Eternal Warrior,0,21,== Discography == | === Anthem ===,11348105,2004-01-01,2004-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,[2006] Immortal,0,22,== Discography == | === Anthem ===,11348105,2006-01-01,2006-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,[2008] Black Empire,0,23,== Discography == | === Anthem ===,11348105,2008-01-01,2008-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,[2011] Heraldic Device,0,24,== Discography == | === Anthem ===,11348105,2011-01-01,2011-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,[2012] Burning Oath,0,25,== Discography == | === Anthem ===,11348105,2012-01-01,2012-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,[1998] Another Face,0,30,== Discography == | === Miscellaneous ===,11348105,1998-01-01,1998-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,[2010] CRYING STARS - ~STAND PROUD!~,0,32,== Discography == | === Miscellaneous ===,11348105,2010-01-01,2010-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,[2020] Tatakae Otaking!,0,34,== Discography == | === Miscellaneous ===,11348105,2020-01-01,2020-12-31,ML
