time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1975,CD,YEAR_REGEX_1,TIME,time_reference,"Endsley was born in 1975 in Denver, Colorado, and studied trumpet, percussion, and composition at the Eastman School of Music, where he met the other members of Kneebody.",0,2,== Background ==,34132820,1975-01-01,1975-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"2nd Guess (Endsley Music, 2002)",0,5,== Discography == | === As leader ===,34132820,2002-01-01,2002-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Low Electrical Worker (Jazz Engine, 2007)",0,18,== Discography == | === As sideman ===,34132820,2007-01-01,2007-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"The Line (Concord, 2013)",0,20,== Discography == | === As sideman ===,34132820,2013-01-01,2013-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Kneedelus (Beat, 2016)",0,21,== Discography == | === As sideman ===,34132820,2016-01-01,2016-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"Anti-Hero (Motema, 2017)",0,22,== Discography == | === As sideman ===,34132820,2017-01-01,2017-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Chapters (Edition, 2019)With others",0,23,== Discography == | === As sideman ===,34132820,2019-01-01,2019-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Ben Allison, Think Free (Palmetto, 2009)",0,24,== Discography == | === As sideman ===,34132820,2009-01-01,2009-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Asphalt Orchestra, Asphalt Orchestra (Cantaloupe Music, 2010)",0,25,== Discography == | === As sideman ===,34132820,2010-01-01,2010-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Au Revoir Simone, The Bird of Music (Our Secret, 2007)",0,26,== Discography == | === As sideman ===,34132820,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Jamie Baum, Solace (Sunnyside, 2008)",0,27,== Discography == | === As sideman ===,34132820,2008-01-01,2008-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"David Binney, Oceanos (Criss Cross, 2007)",0,28,== Discography == | === As sideman ===,34132820,2007-01-01,2007-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Michael Cain, Indira (ONOFF, 2005)",0,30,== Discography == | === As sideman ===,34132820,2005-01-01,2005-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Steve Cardenas, Melody in a Dream (Sunnyside, 2013)",0,31,== Discography == | === As sideman ===,34132820,2013-01-01,2013-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Ana Egge, Out Past the Lights (Grace, 2004)",0,32,== Discography == | === As sideman ===,34132820,2004-01-01,2004-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Ana Egge, Road to My Love (Grace, 2009)",0,33,== Discography == | === As sideman ===,34132820,2009-01-01,2009-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"John Ellis, Mobro (Parade Light, 2014)",0,34,== Discography == | === As sideman ===,34132820,2014-01-01,2014-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"John Escreet, Sabotage and Celebration (Whirlwind, 2013)",0,35,== Discography == | === As sideman ===,34132820,2013-01-01,2013-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Michael Formanek, The Distance (ECM, 2016)",0,36,== Discography == | === As sideman ===,34132820,2016-01-01,2016-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Joel Harrison, Passing Train (Tuition, 2008)",0,37,== Discography == | === As sideman ===,34132820,2008-01-01,2008-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Matt Keating, Wrong Way Home (Sojourn, 2011)",0,38,== Discography == | === As sideman ===,34132820,2011-01-01,2011-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Donny McCaslin, Soar (Sunnyside, 2006)",0,39,== Discography == | === As sideman ===,34132820,2006-01-01,2006-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Michael McGinnis, Tangents (RKM Music, 2001)",0,40,== Discography == | === As sideman ===,34132820,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Jason Mraz, Waiting for My Rocket to Come (Elektra, 2002)",0,41,== Discography == | === As sideman ===,34132820,2002-01-01,2002-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Todd Sickafoose, Tiny Resistors (Cryptogramophone 2008)",0,42,== Discography == | === As sideman ===,34132820,2008-01-01,2008-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Ohad Talmor, Newsreel (Auand, 2011)",0,43,== Discography == | === As sideman ===,34132820,2011-01-01,2011-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,"Ohad Talmor, Long Forms (Intakt, 2020)",0,44,== Discography == | === As sideman ===,34132820,2020-01-01,2020-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Kate Schutt, Telephone Game (ArtistShare, 2008)",0,45,== Discography == | === As sideman ===,34132820,2008-01-01,2008-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Slavic Soul Party!, Bigger (Barbes, 2005)",0,46,== Discography == | === As sideman ===,34132820,2005-01-01,2005-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Slavic Soul Party!, Taketron (Barbes, 2009)",0,47,== Discography == | === As sideman ===,34132820,2009-01-01,2009-12-31,ML
Winter,NNP,SEASON_REGEX,TIME,time_reference,"Theo Bleckmann, Kneebody, Twelve Songs by Charles Ives (Winter & Winter, 2008)",0,29,== Discography == | === As sideman ===,34132820,2008-12-21,2009-03-19,LLM
Moment,NNP,TIMELINE_REGEX,TIME,time_reference,"You Can Have Your Moment (Winter & Winter, 2010)",0,19,== Discography == | === As sideman ===,34132820,,,ML
Past,NNP,TIMELINE_REGEX,TIME,time_reference,"Ana Egge, Out Past the Lights (Grace, 2004)",0,32,== Discography == | === As sideman ===,34132820,,,ML
