time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
23 June 1989,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Lauren Diane Bennett (born 23 June 1989) is an English singer, songwriter, dancer, and model who is known for being a member of the girl group G.R.L. Bennett has also worked with the Paradiso Girls, CeeLo Green, Robin Antin, The Pussycat Dolls, and LMFAO.",0,0,,31590880,1989-06-23,1989-06-23,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"She was featured on the lattermost's 2011 track ""Party Rock Anthem,"" which became her first number one single in the United Kingdom and United States.",1,0,,31590880,2011-01-01,2011-12-31,ML
2007–2010,CD,YEAR_REGEX_1,TIME,time_reference,2007–2010:,1,2,== Career == | === 2007–2010: Paradiso Girls ===,31590880,2007-01-01,2010-12-31,ML
January 2015,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In January 2015, the group released a single in honor of Battle titled ""Lighthouse"", and dedicated themselves to raising awareness for mental health issues.",3,8,== Career == | === 2013–15: G.R.L. ===,31590880,2015-01-01,2015-01-31,ML
2 June 2015,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 2 June 2015, the group officially disbanded.",4,8,== Career == | === 2013–15: G.R.L. ===,31590880,2015-06-02,2015-06-02,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"2016: Continued solo career, Hurricane and G.R.L. reformation =",1,9,"== Career == | === 2016: Continued solo career, Hurricane and G.R.L. reformation ===",31590880,2016-01-01,2016-12-31,ML
8 April 2016,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 8 April 2016, a dance track featuring Bennett and produced by Greek DJ Nick Martin titled ""Reality"" was released.",0,10,"== Career == | === 2016: Continued solo career, Hurricane and G.R.L. reformation ===",31590880,2016-04-08,2016-04-08,ML
8 May 2016,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 8 May 2016, Bennett announced and released her new single ""Hurricane"" via her Instagram, adding ""After G.R.L. ended I had no idea what was going to happen next, everything fell apart pretty fast.",1,10,"== Career == | === 2016: Continued solo career, Hurricane and G.R.L. reformation ===",31590880,2016-05-08,2016-05-08,ML
15 June 2016,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 15 June 2016, over a year after G.R.L. announced their breakup, it was reported that the group has plans to reform under new representation with UK based agency Loco Talent.",8,10,"== Career == | === 2016: Continued solo career, Hurricane and G.R.L. reformation ===",31590880,2016-06-15,2016-06-15,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,2017:,1,12,== Career == | === 2017: BENNETT ===,31590880,2017-01-01,2017-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"In 2017 along with her brother Ryan, the siblings formed BENNETT, a folk, country, blues and rock duo.",0,13,== Career == | === 2017: BENNETT ===,31590880,2017-01-01,2017-12-31,ML
2 June 2017,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Their debut single ""It's All Good"" was released on 2 June 2017.",1,13,== Career == | === 2017: BENNETT ===,31590880,2017-06-02,2017-06-02,ML
June,NNP,MONTH_REGEX,TIME,time_reference,"In June, the group's new agent, Matt Wynter, stated that the G.R.L. is back via Loco Talent's website.",0,11,"== Career == | === 2016: Continued solo career, Hurricane and G.R.L. reformation ===",31590880,2022-06-01,2022-06-30,LLM
Later that year,RB IN NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"Later that year, she met CeeLo Green and was featured on his album The Lady Killer on the song ""Love Gun"".",3,5,== Career == | === 2010–2013: Solo career ===,31590880,,,ML
The following year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The following year, she was featured on LMFAO's international hit ""Party Rock Anthem"", which sold over 5,000,000 digital downloads in the United States and reached No. 1 in the United States for six weeks, becoming Bennett's first number one single on the US Billboard Hot 100.",4,5,== Career == | === 2010–2013: Solo career ===,31590880,,,ML
currently,RB,TIMELINE_REGEX,TIME,time_reference,"""We're currently figuring out who's in the group and we're working on an album,"" Bennett says of the new group, which at the time was slated to be the revamped Pussycat Dolls.",2,7,== Career == | === 2013–15: G.R.L. ===,31590880,,,ML
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,After seeing my mother suffer with mental struggles for years I then lost a friend to this.,3,10,"== Career == | === 2016: Continued solo career, Hurricane and G.R.L. reformation ===",31590880,,,ML
a year,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"On 15 June 2016, over a year after G.R.L. announced their breakup, it was reported that the group has plans to reform under new representation with UK based agency Loco Talent.",8,10,"== Career == | === 2016: Continued solo career, Hurricane and G.R.L. reformation ===",31590880,,,ML
9 December,CD NNP,DIGIT_REGEX_1 MONTH_REGEX,NUMERAL TIME,,"The group's lead single ""Are We Good"" was released on 9 December.",2,11,"== Career == | === 2016: Continued solo career, Hurricane and G.R.L. reformation ===",31590880,,,ML
