time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Tell-Tale Signs (Windham Hill, 1991)",0,4,== Discography == | === As leader ===,4356014,1991-01-01,1991-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Kenny Barron, Table for Two Menus and Music Volume XIX (2004)",0,45,== Discography == | === As sideman ===,4356014,2004-01-01,2004-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"Jeff Beal, Objects in the Mirror (Triloka, 1990)",0,46,== Discography == | === As sideman ===,4356014,1990-01-01,1990-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Walter Becker, 11 Tracks of Whack (Giant, 1994)",0,47,== Discography == | === As sideman ===,4356014,1994-01-01,1994-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Cheryl Bentyne, the Book of Love (Telarc, 2006)",0,48,== Discography == | === As sideman ===,4356014,2006-01-01,2006-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"Michael Bolton, (Timeless, (the Classics) 1992)",0,49,== Discography == | === As sideman ===,4356014,1992-01-01,1992-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Wayne Bergeron, Plays Well with Others (Concord Jazz, 2007)",0,50,== Discography == | === As sideman ===,4356014,2007-01-01,2007-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,"Gordon Brisker, New Beginning (Discovery, 1987)",0,51,== Discography == | === As sideman ===,4356014,1987-01-01,1987-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Michael Buble, Michael Buble (143/Reprise, 2003)",0,52,== Discography == | === As sideman ===,4356014,2003-01-01,2003-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Clifford Carter, Walkin' into the Sun (Soul Coast/Nova, 1994)",0,53,== Discography == | === As sideman ===,4356014,1994-01-01,1994-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Ray Charles, Genius Loves Company (2004)",0,54,== Discography == | === As sideman ===,4356014,2004-01-01,2004-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Stanley Clarke, The Stanley Clarke Band (Heads Up, 2010)",0,55,== Discography == | === As sideman ===,4356014,2010-01-01,2010-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Alf Clausen, Swing Can Really Hang You Up the Most (NoDak, 2005)",0,56,== Discography == | === As sideman ===,4356014,2005-01-01,2005-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Ryan Cohan, One Sky (Motema, 2007)",0,57,== Discography == | === As sideman ===,4356014,2007-01-01,2007-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Leonard Cohen, Dear Heather (Columbia, 2004)",0,58,== Discography == | === As sideman ===,4356014,2004-01-01,2004-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Bob Curnow, The Music of Pat Metheny & Lyle Mays (MAMA, 1994)",0,59,== Discography == | === As sideman ===,4356014,1994-01-01,1994-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Denise Donatelli, What Lies Within (Savant, 2008)",0,60,== Discography == | === As sideman ===,4356014,2008-01-01,2008-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Denise Donatelli, Find a Heart (Savant, 2015)",0,61,== Discography == | === As sideman ===,4356014,2015-01-01,2015-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"George Duke, Deja Vu (Heads Up, 2010)",0,62,== Discography == | === As sideman ===,4356014,2010-01-01,2010-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"Sheena Easton, No Strings (MCA, 1993)",0,63,== Discography == | === As sideman ===,4356014,1993-01-01,1993-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Kurt Elling, Flirting with Twilight (Blue Note, 2001)",0,64,== Discography == | === As sideman ===,4356014,2001-01-01,2001-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Peter Erskine, Dr. Um (Fuzzy Music, 2016)",0,65,== Discography == | === As sideman ===,4356014,2016-01-01,2016-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Peter Erskine, Second Opinion (Fuzzy Music, 2016)",0,66,== Discography == | === As sideman ===,4356014,2016-01-01,2016-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"Brandon Fields, Other Places (Nova, 1990)",0,67,== Discography == | === As sideman ===,4356014,1990-01-01,1990-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Julia Fordham, China Blue (Little Boo 2008)",0,68,== Discography == | === As sideman ===,4356014,2008-01-01,2008-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"David Garfield, Tribute to Jeff (Intercord 1997)",0,69,== Discography == | === As sideman ===,4356014,1997-01-01,1997-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Elliot Goldenthal, Public Enemies (Decca, 2009)",0,70,== Discography == | === As sideman ===,4356014,2009-01-01,2009-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Rita Coolidge, And So Is Love (King 2005)",0,71,== Discography == | === As sideman ===,4356014,2005-01-01,2005-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"Mike Garson, The Oxnard Sessions Volume One (Reference 1990)",0,72,== Discography == | === As sideman ===,4356014,1990-01-01,1990-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"Grant Geissman, Take Another Look (Bluemoon, 1990)",0,73,== Discography == | === As sideman ===,4356014,1990-01-01,1990-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Grant Geissman, Business As Usual (Positive Music 1995)",0,74,== Discography == | === As sideman ===,4356014,1995-01-01,1995-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Billy Griffin, Like Water (Expansion, 2006)",0,75,== Discography == | === As sideman ===,4356014,2006-01-01,2006-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Herbie Hancock, Then and Now (Verve, 2008)",0,76,== Discography == | === As sideman ===,4356014,2008-01-01,2008-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,"Scott Henderson, Spears (Passport, 1985)",0,77,== Discography == | === As sideman ===,4356014,1985-01-01,1985-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Freddie Hubbard, Live (Just Jazz 1995)",0,78,== Discography == | === As sideman ===,4356014,1995-01-01,1995-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Justin Hurwitz, La La Land (Interscope, 2016)",0,79,== Discography == | === As sideman ===,4356014,2016-01-01,2016-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Mark Isham, Little Man Tate (Varese Sarabande, 1991)",0,80,== Discography == | === As sideman ===,4356014,1991-01-01,1991-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Mark Isaacs, Resurgence (ABC Jazz 2007",0,81,== Discography == | === As sideman ===,4356014,2007-01-01,2007-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"Molly Johnson, Meaning to Tell Ya (Belle 2018)",0,82,== Discography == | === As sideman ===,4356014,2018-01-01,2018-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Rickie Lee Jones, Flying Cowboys (Geffen, 1989)",0,83,== Discography == | === As sideman ===,4356014,1989-01-01,1989-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Rickie Lee Jones, Pop Pop (Geffen, 1991)",0,84,== Discography == | === As sideman ===,4356014,1991-01-01,1991-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Kristin Korb, In the Meantime (Double K Music, 2009)",0,85,== Discography == | === As sideman ===,4356014,2009-01-01,2009-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"(Jazz Compass, 2001)",1,86,== Discography == | === As sideman ===,4356014,2001-01-01,2001-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"John LaBarbera, On the Wild Side (Jazz Compass, 2003)",0,87,== Discography == | === As sideman ===,4356014,2003-01-01,2003-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"John LaBarbera, Fantazm (Jazz Compass, 2005)",0,88,== Discography == | === As sideman ===,4356014,2005-01-01,2005-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Andy LaVerne, PleasureSeekers (Triloka, 1991)",0,89,== Discography == | === As sideman ===,4356014,1991-01-01,1991-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Jeff Lorber, He Had a Hat (Blue Note, 2007)",0,90,== Discography == | === As sideman ===,4356014,2007-01-01,2007-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Kevin Mahogany, Big Band Zebra  (Mahogany Jazz, Lightyear 2005)",0,91,== Discography == | === As sideman ===,4356014,2005-01-01,2005-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"The Manhattan Transfer, The Offbeat of Avenues (1991)",0,92,== Discography == | === As sideman ===,4356014,1991-01-01,1991-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Barry Manilow, The Greatest Love Songs of All Time (Arista, 2010)",0,93,== Discography == | === As sideman ===,4356014,2010-01-01,2010-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Lyle Mays, The Ludwigsburg Concert (Jazzhaus, 2015)",0,94,== Discography == | === As sideman ===,4356014,2015-01-01,2015-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Joni Mitchell, Shine (Hear Music, 2007)",0,96,== Discography == | === As sideman ===,4356014,2007-01-01,2007-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Laura Pausini, Laura XMas (Atlantic, 2016)",0,97,== Discography == | === As sideman ===,4356014,2016-01-01,2016-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Dianne Reeves, That Day (Blue Note/EMI 1997)",0,98,== Discography == | === As sideman ===,4356014,1997-01-01,1997-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Rick Rhodes, Indian Summer (Beverly, 1995)",0,99,== Discography == | === As sideman ===,4356014,1995-01-01,1995-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Lee Ritenour, A Twist of Rit (Concord/Universal, 2015)",0,100,== Discography == | === As sideman ===,4356014,2015-01-01,2015-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"John ""JR"" Robinson, Platinum (Home Court 2010)",0,101,== Discography == | === As sideman ===,4356014,2010-01-01,2010-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Dennis Rowland, Get Here (Concord Vista 1996)",0,102,== Discography == | === As sideman ===,4356014,1996-01-01,1996-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Arturo Sandoval, Dear Diz (Concord Jazz, 2012)",0,103,== Discography == | === As sideman ===,4356014,2012-01-01,2012-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Boz Scaggs, Speak Low (Decca, 2008)",0,104,== Discography == | === As sideman ===,4356014,2008-01-01,2008-12-31,ML
1979,CD,YEAR_REGEX_1,TIME,time_reference,"John Serry Jr., Exhibition (Chrysalis, 1979)",0,105,== Discography == | === As sideman ===,4356014,1979-01-01,1979-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"David Sanborn, Closer (Verve, 2005)",0,106,== Discography == | === As sideman ===,4356014,2005-01-01,2005-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Sister Cristina, Sister Cristina (Universal, 2014)",0,107,== Discography == | === As sideman ===,4356014,2014-01-01,2014-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"The Great American Songbook Volume IV (Sony BMG, 2005)",1,109,== Discography == | === As sideman ===,4356014,2005-01-01,2005-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Steely Dan, Alive in America (Giant, 1995)",0,110,== Discography == | === As sideman ===,4356014,1995-01-01,1995-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,"Tribal Tech, Dr. Hee (Passport, 1987)",0,111,== Discography == | === As sideman ===,4356014,1987-01-01,1987-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Steve Tyrell, A New Standard (Atlantic, 1999)",0,112,== Discography == | === As sideman ===,4356014,1999-01-01,1999-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Johnnie Valentino, Stingy Brim (OmniTone, 2006)",0,113,== Discography == | === As sideman ===,4356014,2006-01-01,2006-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Chris Walden, Full-On! (Origin, 2014)",0,114,== Discography == | === As sideman ===,4356014,2014-01-01,2014-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Chris Walden, Home of My Heart (Origin, 2005)",0,115,== Discography == | === As sideman ===,4356014,2005-01-01,2005-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Neil Young, Storytone (Reprise, 2014)",0,116,== Discography == | === As sideman ===,4356014,2014-01-01,2014-12-31,ML
Mays,NNP,MONTH_REGEX,TIME,time_reference,"He has worked with Billy Childs, Chick Corea, Leonard Cohen, Herbie Hancock, Freddie Hubbard, Steely Dan, Mike Stern, Randy Brecker, Michael Brecker, Scott Henderson, Lyle Mays, Peter Erskine, John Beasley, Bob Mintzer, and Joni Mitchell.",0,1,,4356014,,,ML
the Now,DT RB,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,"In the Now (Sirocco Jazz, 2002)",0,6,== Discography == | === As leader ===,4356014,,,ML
Presents,NNP,TIMELINE_REGEX,TIME,time_reference,"John Beasley Presents MONK'estra Vol. 1 (Mack Avenue, 2016)",0,15,== Discography == | === As sideman ===,4356014,,,ML
Presents,NNP,TIMELINE_REGEX,TIME,time_reference,"John Beasley Presents MONK'estra Vol. 2 (Mack Avenue, 2017)With Chris Botti",0,16,== Discography == | === As sideman ===,4356014,,,ML
December,NNP,MONTH_REGEX,TIME,time_reference,"December (Columbia, 2002)",0,17,== Discography == | === As sideman ===,4356014,,,ML
Twilight,NN,DAY_TIME_REGEX,TIME,time_reference,"Twilight Is Upon Us (Windham Hill, 1989)",0,22,== Discography == | === As sideman ===,4356014,,,ML
April,NNP,MONTH_REGEX,TIME,time_reference,"His April Touch (Windham Hill, 1991)",0,23,== Discography == | === As sideman ===,4356014,,,ML
Midnight,NNP,DAY_TIME_REGEX,TIME,time_reference,"Karrin Allyson,  'Round Midnight (Concord Jazz, 2011)",0,42,== Discography == | === As sideman ===,4356014,,,ML
the Sun,DT NNP,PREFIX_REGEX_1 WEEK_ABBR_REGEX,MODIFIER TIME,time_reference,"Clifford Carter, Walkin' into the Sun (Soul Coast/Nova, 1994)",0,53,== Discography == | === As sideman ===,4356014,,,ML
Mays,NNP,MONTH_REGEX,TIME,time_reference,"Bob Curnow, The Music of Pat Metheny & Lyle Mays (MAMA, 1994)",0,59,== Discography == | === As sideman ===,4356014,,,ML
Twilight,NNP,DAY_TIME_REGEX,TIME,time_reference,"Kurt Elling, Flirting with Twilight (Blue Note, 2001)",0,64,== Discography == | === As sideman ===,4356014,,,ML
Now,RB,TIMELINE_REGEX,TIME,time_reference,"Herbie Hancock, Then and Now (Verve, 2008)",0,76,== Discography == | === As sideman ===,4356014,,,ML
Mays,NNP,MONTH_REGEX,TIME,time_reference,"Lyle Mays, The Ludwigsburg Concert (Jazzhaus, 2015)",0,94,== Discography == | === As sideman ===,4356014,,,ML
XMas,NNP,HOLIDAY_REGEX,TIME,time_reference,"Laura Pausini, Laura XMas (Atlantic, 2016)",0,97,== Discography == | === As sideman ===,4356014,,,ML
That Day,DT NNP,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Dianne Reeves, That Day (Blue Note/EMI 1997)",0,98,== Discography == | === As sideman ===,4356014,,,ML
Summer,NNP,SEASON_REGEX,TIME,time_reference,"Rick Rhodes, Indian Summer (Beverly, 1995)",0,99,== Discography == | === As sideman ===,4356014,,,ML
