time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"March 8 , 1957","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Mitsuko Horie (堀江 美都子, Horie Mitsuko, born March 8, 1957 in Yamato, Kanagawa) is a Japanese actress, voice actress and singer.",0,0,,3634002,1957-03-08,1957-03-08,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,Akko in Himitsu no Akko-chan (1988),0,4,== Filmography == | === Anime ===,3634002,1988-01-01,1988-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,"""Kerokko Demetan"" Kerokko Demetan (1973; also known as The Brave Frog)",0,30,== Theme songs == | === Opening themes ===,3634002,1973-01-01,1973-12-31,ML
1974,CD,YEAR_REGEX_1,TIME,time_reference,"""Bokura Kyōdai Tentō Mushi"" The Song of Tentomushi (1974)",0,31,== Theme songs == | === Opening themes ===,3634002,1974-01-01,1974-12-31,ML
1975–77,CD,YEAR_REGEX_1,TIME,time_reference,"Gorenger"" with Isao Sasaki Himitsu Sentai Gorenger (1975–77)",1,32,== Theme songs == | === Opening themes ===,3634002,1975-01-01,1977-12-31,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,"""Kum Kum's Song"" Wanpaku Omukashi Kum Kum (1975)",0,33,== Theme songs == | === Opening themes ===,3634002,1975-01-01,1975-12-31,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,"""La Seine no Hoshi"" La Seine no Hoshi (1975)",0,34,== Theme songs == | === Opening themes ===,3634002,1975-01-01,1975-12-31,ML
Nights,NNS,DAY_TIME_REGEX,TIME,time_reference,"""Sinbad's Adventures"" Arabian Nights: Sindbad no Boken (1975)",0,35,== Theme songs == | === Opening themes ===,3634002,,,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,"""Sinbad's Adventures"" Arabian Nights: Sindbad no Boken (1975)",0,35,== Theme songs == | === Opening themes ===,3634002,1975-01-01,1975-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"""Watashi wa Candy"" Candy Candy (1976)",0,36,== Theme songs == | === Opening themes ===,3634002,1976-01-01,1976-12-31,ML
1976–77,CD,YEAR_REGEX_1,TIME,time_reference,"""Magne Robo Gakeen"" with Ichirou Mizuki Magne Robo Gakeen (1976–77)",0,37,== Theme songs == | === Opening themes ===,3634002,1976-01-01,1977-12-31,ML
1976–1977,CD,YEAR_REGEX_1,TIME,time_reference,with Ichirou Mizuki Ninja Captor (1976–1977),2,38,== Theme songs == | === Opening themes ===,3634002,1976-01-01,1977-12-31,ML
1976–77,CD,YEAR_REGEX_1,TIME,time_reference,"""Voltes V no Uta"" Voltes V 1976–77",0,39,== Theme songs == | === Opening themes ===,3634002,1976-01-01,1977-12-31,ML
1976–1977,CD,YEAR_REGEX_1,TIME,time_reference,"""Little Lulu and Her Little Friends"" ""Little Lulu and Her Little Friends"" (1976–1977)",0,40,== Theme songs == | === Opening themes ===,3634002,1976-01-01,1977-12-31,ML
Tomorrow,NNP,TIMELINE_REGEX,TIME,time_reference,Attack on Tomorrow (1977),1,41,== Theme songs == | === Opening themes ===,3634002,,,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,Attack on Tomorrow (1977),1,41,== Theme songs == | === Opening themes ===,3634002,1977-01-01,1977-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,"""Yakukyou no Uta"" Song of Baseball Enthusiasts (1977)",0,42,== Theme songs == | === Opening themes ===,3634002,1977-01-01,1977-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,"""Majokko Tickle"" Majokko Tickle (1978)",0,43,== Theme songs == | === Opening themes ===,3634002,1978-01-01,1978-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,Uchū Majin Daikengo (1978),0,44,== Theme songs == | === Opening themes ===,3634002,1978-01-01,1978-12-31,ML
1979,CD,YEAR_REGEX_1,TIME,time_reference,"""Hana no Ko Lunlun"" Hana no Ko Lunlun (1979)",0,45,== Theme songs == | === Opening themes ===,3634002,1979-01-01,1979-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,"""Hello Lalabel"" Lalabel (1980)",0,46,== Theme songs == | === Opening themes ===,3634002,1980-01-01,1980-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,Sandybell (1981),1,47,== Theme songs == | === Opening themes ===,3634002,1981-01-01,1981-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,"Jolie"" Meiken Jolie (also known as Belle and Sebastian) (1981)",1,48,== Theme songs == | === Opening themes ===,3634002,1981-01-01,1981-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,"""Dare ka Watashi wo Matte iru"" The Wizard of Oz (1982)",0,49,== Theme songs == | === Opening themes ===,3634002,1982-01-01,1982-12-31,ML
1983,CD,YEAR_REGEX_1,TIME,time_reference,"""Koi wa Totsuzen"" Ai shite Knight(1983)",0,50,== Theme songs == | === Opening themes ===,3634002,1983-01-01,1983-12-31,ML
1987–89,CD,YEAR_REGEX_1,TIME,time_reference,with Ichirou Mizuki Dangaioh (1987–89),1,51,== Theme songs == | === Opening themes ===,3634002,1987-01-01,1989-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"""Himitsu no Akko-chan"" Himitsu no Akko-chan (1st remake)(1988)",0,52,== Theme songs == | === Opening themes ===,3634002,1988-01-01,1988-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,Dagon in the Lands of Weeds (1988),0,53,== Theme songs == | === Opening themes ===,3634002,1988-01-01,1988-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"""Growing Up"" My Daddy Long Legs (1990)",0,54,== Theme songs == | === Opening themes ===,3634002,1990-01-01,1990-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"""Taiyō o Oikakete"" Jeanie with the Light Brown Hair (1992)",0,55,== Theme songs == | === Opening themes ===,3634002,1992-01-01,1992-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,SPARK (2007),3,56,== Theme songs == | === Opening themes ===,3634002,2007-01-01,2007-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"""New Moon ni Koishite"" Sailor Moon Crystal (2016)",0,57,== Theme songs == | === Opening themes ===,3634002,2016-01-01,2016-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,"""Akubi Musume"" Hakushon Daimaou (1969)",0,59,== Theme songs == | === Ending themes ===,3634002,1969-01-01,1969-12-31,ML
1971,CD,YEAR_REGEX_1,TIME,time_reference,"""Ran no Uta"" Genshi Shonen Ryu (1971)",0,60,== Theme songs == | === Ending themes ===,3634002,1971-01-01,1971-12-31,ML
Sun,NNP,WEEK_ABBR_REGEX,TIME,time_reference,"""Kokoro no Uta"" Wandering Sun (1971)",0,61,== Theme songs == | === Ending themes ===,3634002,,,ML
1971,CD,YEAR_REGEX_1,TIME,time_reference,"""Kokoro no Uta"" Wandering Sun (1971)",0,61,== Theme songs == | === Ending themes ===,3634002,1971-01-01,1971-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,"""Makeru na Demetan"" Kerokko Demetan (1973)",0,62,== Theme songs == | === Ending themes ===,3634002,1973-01-01,1973-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,"""Rocky and Polly"" Yamanezumi Rocky Chuck (1973)",0,63,== Theme songs == | === Ending themes ===,3634002,1973-01-01,1973-12-31,ML
1974,CD,YEAR_REGEX_1,TIME,time_reference,"""Hiyoko de Shura"" The Song of Tentomushi (1974)",0,64,== Theme songs == | === Ending themes ===,3634002,1974-01-01,1974-12-31,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,"""Saurus-kun"" Wanpaku Omukashi Kum Kum (1975)",0,65,== Theme songs == | === Ending themes ===,3634002,1975-01-01,1975-12-31,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,"""Watashi wa Simone"" La Seine no Hoshi (1975)",0,66,== Theme songs == | === Ending themes ===,3634002,1975-01-01,1975-12-31,ML
Nights,NNS,DAY_TIME_REGEX,TIME,time_reference,"""Sinbad's Song"" Arabian Nights: Sindbad no Boken (1975)",0,67,== Theme songs == | === Ending themes ===,3634002,,,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,"""Sinbad's Song"" Arabian Nights: Sindbad no Boken (1975)",0,67,== Theme songs == | === Ending themes ===,3634002,1975-01-01,1975-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"""Ashita ga Suki"" Candy Candy (1976)",0,68,== Theme songs == | === Ending themes ===,3634002,1976-01-01,1976-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"""Kawa no Uta"" Huckleberry no Bouken (1976)",0,69,== Theme songs == | === Ending themes ===,3634002,1976-01-01,1976-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,Chojin Sentai Baratack (1977),0,70,== Theme songs == | === Ending themes ===,3634002,1977-01-01,1977-12-31,ML
Tomorrow,NNP,TIMELINE_REGEX,TIME,time_reference,"""Volleyball ga suki"" Attack on Tomorrow (1977)",0,71,== Theme songs == | === Ending themes ===,3634002,,,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,"""Volleyball ga suki"" Attack on Tomorrow (1977)",0,71,== Theme songs == | === Ending themes ===,3634002,1977-01-01,1977-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,"""Yuuki no Theme"" Song of Baseball Enthusiasts (1977)",0,72,== Theme songs == | === Ending themes ===,3634002,1977-01-01,1977-12-31,ML
1976–1977,CD,YEAR_REGEX_1,TIME,time_reference,"""Little Lulu and Her Little Friends"" (1976–1977)",1,73,== Theme songs == | === Ending themes ===,3634002,1976-01-01,1977-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,"""Tickle and Tiko's Cha-Cha-Cha"" Majokko Tickle (1978)",0,74,== Theme songs == | === Ending themes ===,3634002,1978-01-01,1978-12-31,ML
1979–2005,CD,YEAR_REGEX_1,TIME,time_reference,"""Aozora-tte Iina"" Doraemon (1979–2005) (Ending #7)",0,75,== Theme songs == | === Ending themes ===,3634002,1979-01-01,2005-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,"""Mahou Shoujo Lalabel"" Mahou Shoujo Lalabelle (1980)",0,76,== Theme songs == | === Ending themes ===,3634002,1980-01-01,1980-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,Sandybell (1981),1,77,== Theme songs == | === Ending themes ===,3634002,1981-01-01,1981-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,"""Futari de Hanbunko"" Meiken Jolie (1981)",0,78,== Theme songs == | === Ending themes ===,3634002,1981-01-01,1981-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,"""Anata ni Shinjitsuichiro"" Dr. Slump (1986)",0,79,== Theme songs == | === Ending themes ===,3634002,1986-01-01,1986-12-31,ML
1987–89,CD,YEAR_REGEX_1,TIME,time_reference,"""Kokoro no Honesty"" Dangaioh (1987–89)",0,80,== Theme songs == | === Ending themes ===,3634002,1987-01-01,1989-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"""DON'T YOU"" Himitsu no Akko-chan (1988)",0,81,== Theme songs == | === Ending themes ===,3634002,1988-01-01,1988-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"""Kimi no Kaze"" My Daddy Long Legs (1990)",0,82,== Theme songs == | === Ending themes ===,3634002,1990-01-01,1990-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"""Omoide no Kagami"" Jeanie with the Light Brown Hair (1992)",0,83,== Theme songs == | === Ending themes ===,3634002,1992-01-01,1992-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"""Egao no Loop"" Jewelpet (2009)",0,84,== Theme songs == | === Ending themes ===,3634002,2009-01-01,2009-12-31,ML
1979–80,CD,YEAR_REGEX_1,TIME,time_reference,"""Daltanius no Uta"" (for Daltanius 1979–80)",0,86,== Theme songs == | === Insert songs ===,3634002,1979-01-01,1980-12-31,ML
1979,CD,YEAR_REGEX_1,TIME,time_reference,"""Koi no Hana Uranai"" Hana no Ko Lunlun (1979)",0,87,== Theme songs == | === Insert songs ===,3634002,1979-01-01,1979-12-31,ML
1979,CD,YEAR_REGEX_1,TIME,time_reference,"""Lilac no Hanakotoba"" Hana no Ko Lunlun (1979)",0,88,== Theme songs == | === Insert songs ===,3634002,1979-01-01,1979-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,"""My Beautiful Town"" Mahou Shoujo Lalabelle (1980)""Ashiato March""",0,89,== Theme songs == | === Insert songs ===,3634002,1980-01-01,1980-12-31,ML
March,NNP,MONTH_REGEX,TIME,time_reference,"""My Beautiful Town"" Mahou Shoujo Lalabelle (1980)""Ashiato March""",0,89,== Theme songs == | === Insert songs ===,3634002,,,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,The Wizard of Oz (1981),1,93,== Theme songs == | === Insert songs ===,3634002,1981-01-01,1981-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"""Athena no Komoriuta ~Lullaby~"" (for Saint Seiya 1988)",0,94,== Theme songs == | === Insert songs ===,3634002,1988-01-01,1988-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"""Time"" with Hironobu Kageyama (for Saint Seiya 1988)",0,95,== Theme songs == | === Insert songs ===,3634002,1988-01-01,1988-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"""Shine On ~Eien no Yume~"" (for Saint Seiya 1990)",0,96,== Theme songs == | === Insert songs ===,3634002,1990-01-01,1990-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,(for Mr. Driller G 2001),2,97,== Theme songs == | === Insert songs ===,3634002,2001-01-01,2001-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"""Golden Queen Galaxia"" (Character song for Sailor Moon Sailor Stars 1996)",0,98,== Theme songs == | === Insert songs ===,3634002,1996-01-01,1996-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,EMOTION (1980),0,101,== Discography == | === Original albums ===,3634002,1980-01-01,1980-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,IMAGE (1981),0,102,== Discography == | === Original albums ===,3634002,1981-01-01,1981-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,Ready MADONNA (1982),0,103,== Discography == | === Original albums ===,3634002,1982-01-01,1982-12-31,ML
Weekend,NNP,TIME_UNIT_REGEX,TIME,time_reference,Weekend (1983),0,104,== Discography == | === Original albums ===,3634002,,,ML
1983,CD,YEAR_REGEX_1,TIME,time_reference,Weekend (1983),0,104,== Discography == | === Original albums ===,3634002,1983-01-01,1983-12-31,ML
1983,CD,YEAR_REGEX_1,TIME,time_reference,Sunao ni nare Nakute (1983),0,105,== Discography == | === Original albums ===,3634002,1983-01-01,1983-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,Live in Egg-man (1985),0,106,== Discography == | === Original albums ===,3634002,1985-01-01,1985-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,IN MY HEART (1986),0,107,== Discography == | === Original albums ===,3634002,1986-01-01,1986-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,(1986),1,108,== Discography == | === Original albums ===,3634002,1986-01-01,1986-12-31,ML
1971,CD,YEAR_REGEX_1,TIME,time_reference,TV Shudaika Hit Album Mitsuko Horie to Tomi ni (1971),0,110,== Discography == | === Best albums ===,3634002,1971-01-01,1971-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,Mitsuko Horie : TV Animation no Sekai (1977),0,111,== Discography == | === Best albums ===,3634002,1977-01-01,1977-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,Mitsuko Horie : Anime Roman no Sekai (1978),0,112,== Discography == | === Best albums ===,3634002,1978-01-01,1978-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,Mitsuko Horie Best 24 (1978),0,113,== Discography == | === Best albums ===,3634002,1978-01-01,1978-12-31,ML
1979,CD,YEAR_REGEX_1,TIME,time_reference,Mitsuko Horie New Hit Best 16 (1979),0,114,== Discography == | === Best albums ===,3634002,1979-01-01,1979-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,Micchi no Heya (1980),0,115,== Discography == | === Best albums ===,3634002,1980-01-01,1980-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,Mitsuko Horie : Anime Best Hit (1981),0,116,== Discography == | === Best albums ===,3634002,1981-01-01,1981-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,Anime Heroine : Mitsuko Horie Action Anime wo Utau (1982),0,117,== Discography == | === Best albums ===,3634002,1982-01-01,1982-12-31,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,Mitsuko Horie Original Best 12 (1984),0,118,== Discography == | === Best albums ===,3634002,1984-01-01,1984-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,Debut (1989),0,119,== Discography == | === Best albums ===,3634002,1989-01-01,1989-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,1-2 (1989),1,120,== Discography == | === Best albums ===,3634002,1989-01-01,1989-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,Mitsuko Horie Original Best Album (1993),0,121,== Discography == | === Best albums ===,3634002,1993-01-01,1993-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,Mitsuko Horie : Best & Best (1995),0,122,== Discography == | === Best albums ===,3634002,1995-01-01,1995-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,Mitsuko Horie : Heartful Concert (1996),0,123,== Discography == | === Best albums ===,3634002,1996-01-01,1996-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,Kaiki Kottou Ongaku-bako (1997),0,124,== Discography == | === Best albums ===,3634002,1997-01-01,1997-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,ga Suki~ (1999),1,125,== Discography == | === Best albums ===,3634002,1999-01-01,1999-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,Kokoro no Uta~Iyashi no Uta goe~ Mitsuko Horie Best (2004),0,126,== Discography == | === Best albums ===,3634002,2004-01-01,2004-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Mitsuko Horie 40th Anniversary (2009),0,127,== Discography == | === Best albums ===,3634002,2009-01-01,2009-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,Mitsuko Horie Rare Groove Tracks (2014),0,131,== Discography == | === Best albums ===,3634002,2014-01-01,2014-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,Best of Best : Mitsuko Horie (2015),0,132,== Discography == | === Best albums ===,3634002,2015-01-01,2015-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,Heisei no Mitsuko Horie (2019),0,133,== Discography == | === Best albums ===,3634002,2019-01-01,2019-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,Mitsuko Horie 50th Anniversary Best Album : One Girl BEST (2020),0,134,== Discography == | === Best albums ===,3634002,2020-01-01,2020-12-31,ML
