time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"May 27 , 1988","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Oh Ji-Min (born May 27, 1988), known professionally as J-Min, is a South Korean singer, songwriter and musical actress.",0,0,,34169196,1988-05-27,1988-05-27,ML
2007–2009,CD,YEAR_REGEX_1,TIME,time_reference,2007–2009:,1,2,== Career == | === 2007–2009: Debut ===,34169196,2007-01-01,2009-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Her last soundtrack in 2012, titled ""Beautiful Days"", was released for KBS2's drama School 2013 on December 11.",12,7,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2013-01-01,2013-12-31,ML
June 2012,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In June 2012, J-Min started her musical career with the role of Gloria in the musical 'Jack the Ripper'.",0,8,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2012-06-01,2012-06-30,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,J-Min signed a contract with Nayutawave Records (now also known EMI Records) in 2012.,0,9,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2012-01-01,2012-12-31,ML
"November 21 , 2012","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"She later released the digital single If You Want on November 21, 2012.",1,9,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2012-11-21,2012-11-21,ML
"March 13 , 2013","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"A few months later, her new digital single title Heart Theater was released on March 13, 2013.",2,9,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2013-03-13,2013-03-13,ML
February 2013,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In February 2013, J-Min starred in the musical 'The Three Musketeers' as Constance.",0,10,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2013-02-01,2013-02-28,ML
2014–present,CD,YEAR_REGEX_1,TIME,time_reference,"2014–present: Cross The Border, domestic debut,",1,11,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2014-01-01,,ML
"January 22 , 2014","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"J-Min released her first Japanese album, Cross The Border on January 22, 2014.",0,12,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2014-01-22,2014-01-22,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"In 2015, J-Min played Vanessa in the musical In The Heights.",0,13,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2015-01-01,2015-12-31,ML
December 2015,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In December 2015, J-Min confirmed that she would be playing Yitzhak in the musical Hedwig: New Makeup.",3,13,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2015-12-01,2015-12-31,ML
"March 1 , 2016","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The musical ran from March 1, 2016, to May 29, 2016, at Hongik University Art Center.",4,13,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2016-03-01,2016-03-01,ML
"May 29 , 2016","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The musical ran from March 1, 2016, to May 29, 2016, at Hongik University Art Center.",4,13,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2016-05-29,2016-05-29,ML
"July 8 , 2016","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"J-Min released the digital single Way Back Home on July 8, 2016, as part of SM Entertainment's project SM Station.",5,13,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2016-07-08,2016-07-08,ML
"August 5 , 2016","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On August 5, 2016, it was announced that she would release her digital single Ready For Your Love on August 9.",0,14,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2016-08-05,2016-08-05,ML
February 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In February 2017, J-Min was confirmed to cast in the musical drama entitled Boys Over Flowers: The Musical.",0,15,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2017-02-01,2017-02-28,ML
"February 24 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The musical will run from February 24, 2017, to May 7, 2017, in Seoul.",3,15,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2017-02-24,2017-02-24,ML
"May 7 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The musical will run from February 24, 2017, to May 7, 2017, in Seoul.",3,15,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2017-05-07,2017-05-07,ML
2010–11,CD,YEAR_REGEX_1,TIME,time_reference,SMTown Live '10 World Tour (2010–11),0,28,== Concerts == | === Concert participation ===,34169196,2010-01-01,2023-12-31,ML
2012–13,CD,YEAR_REGEX_1,TIME,time_reference,SMTown Live World Tour III (2012–13),0,29,== Concerts == | === Concert participation ===,34169196,2012-01-01,2023-12-31,ML
2014–15,CD,YEAR_REGEX_1,TIME,time_reference,SM Town Live World Tour IV (2014–15),0,30,== Concerts == | === Concert participation ===,34169196,2014-01-01,2023-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,SM Town Live World Tour V (2016),0,31,== Concerts == | === Concert participation ===,34169196,2016-01-01,2016-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,SM Town Live World Tour VI (2017),0,32,== Concerts == | === Concert participation ===,34169196,2017-01-01,2017-12-31,ML
October 15,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On October 15, J-Min was confirmed to become radio host on Arirang Radio's SoundK for ""musictomusic"" corner.",2,14,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2022-10-15,2022-10-15,LLM
July 18,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"Following pre-released single, her extended play title Shine was digitally released on July 18 and physically on July 21.",5,12,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2022-07-18,2022-07-18,LLM
June 24,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,Her pre-released single Hoo was digitally released on June 24.,3,12,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2022-06-24,2022-06-24,LLM
June 19,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On June 19, J-Min made her official debut stage, performing Hoo on the music program M Countdown and various weekly music programs.",2,12,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,2022-06-19,2022-06-19,LLM
January 30,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"She released the first soundtrack, titled ""Hello, Love"", for KBS2's drama Wild Romance on January 30.",1,7,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2022-01-30,2022-01-30,LLM
2008~2009,CD,YEAR_REGEX_1,TIME,time_reference,2008~2009 JAPAN Live Concert [J-Min Acoustic Live: The Singer],0,26,== Concerts == | === Headlining ===,34169196,2008-01-01,2009-12-31,LLM
November 19,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"Following the release of her second extended play, her cover album title ""The Singer"" was released on November 19.",1,4,== Career == | === 2007–2009: Debut ===,34169196,,,ML
previously,RB,TIMELINE_REGEX,TIME,time_reference,The album included cover songs from several Japanese songs previously released.,2,4,== Career == | === 2007–2009: Debut ===,34169196,,,ML
April 13,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"The second soundtrack, titled ""시공천 애"", was released for MBC's drama God of War on April 13.",2,7,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,,,ML
April 27,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"The third soundtrack, titled  ""Can't Say It"", was released for MBC's drama The King 2 Hearts on April 27.",3,7,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,,,ML
July 2,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"The fourth soundtrack, titled ""Story"", was released for KBS2's drama Sent from Heaven on July 2.",4,7,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,,,ML
August 15,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"The fifth soundtrack, titled ""Stand Up"", was released for SBS's drama To the Beautiful You on August 15.",5,7,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,,,ML
Days,NNPS,TIME_UNIT_REGEX,TIME,time_reference,"Her last soundtrack in 2012, titled ""Beautiful Days"", was released for KBS2's drama School 2013 on December 11.",12,7,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,,,ML
"June 1 to August 18 , 2012","NNP CD TO NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"The musical ran from June 1 to August 18, 2012, at Chungmu Art Hall in Seoul.",1,8,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,,,ML
now,RB,TIMELINE_REGEX,TIME,time_reference,J-Min signed a contract with Nayutawave Records (now also known EMI Records) in 2012.,0,9,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,,,ML
A few months,DT JJ NNS,INARTICLE_REGEX PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"A few months later, her new digital single title Heart Theater was released on March 13, 2013.",2,9,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,,,ML
"February 20 to April 21 , 2013","NNP CD TO NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"It ran from February 20 to April 21, 2013, at Chungmu Art Hall in Seoul.",1,10,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,,,ML
September 4 to November 22,NNP CD TO NNP CD,MONTH_REGEX DIGIT_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL MODIFIER TIME NUMERAL,time_reference,"The musical was produced by SM C&C, a subsidiary of S.M. Entertainment, and ran from September 4 to November 22 at 'Blue Square'.",2,13,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,,,ML
August 9,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On August 5, 2016, it was announced that she would release her digital single Ready For Your Love on August 9.",0,14,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,,,ML
August 9,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"The music video for Ready For Your Love, starring J-Min and NCT's Johnny, was released on August 9, along with the digital single.",1,14,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,,,ML
previously,RB,TIMELINE_REGEX,TIME,time_reference,A musical version has previously been performed in Japan.,1,15,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,,,ML
Jan,NNP,MONTH_ABBR_REGEX,TIME,time_reference,She will be playing role as Tsukushi (or Geum Jan Di).,2,15,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,,,ML
March 17,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On March 17, she announced the release of a digital single, Alive on March 20.",4,15,"== Career == | === 2014–present: Cross The Border, domestic debut, musical ===",34169196,,,ML
'10,POS,YEAR_REGEX_2,TIME,,SMTown Live '10 World Tour (2010–11),0,28,== Concerts == | === Concert participation ===,34169196,,,ML
