time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1982 to 1991,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"Onslaught are a British thrash metal band from Bristol, England, active from 1982 to 1991 and again since 2005.",0,0,,4272959,1982-01-01,1991-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Onslaught are a British thrash metal band from Bristol, England, active from 1982 to 1991 and again since 2005.",0,0,,4272959,2005-01-01,2005-12-31,ML
1982–1985,CD,YEAR_REGEX_1,TIME,time_reference,Origins and Power from Hell (1982–1985),1,2,== History == | === Origins and Power from Hell (1982–1985) ===,4272959,1982-01-01,1985-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"This line-up recorded a live DVD in Club Stodola, Warsaw, Poland, which was released in 2007 by Metal Mind Productions under the title Live Polish Assault.",4,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"In 2008, Jordan left the band and was replaced by guitarist Andy Rosser-Davies.",5,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2008-01-01,2008-12-31,ML
August 2009,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In November of that year, the band recorded their live performance at the Damnation Festival in Leeds resulting in a live album (Dual Disc CD / DVD), Live Damnation; mixed by Andy Sneap, it was released in August 2009 by Candlelight Records.",6,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2009-08-01,2009-08-31,ML
June 2010,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In June 2010, the band signed to the German metal label AFM Records to record their fifth studio album, Sounds of Violence, released in January 2011.",7,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2010-06-01,2010-06-30,ML
January 2011,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In June 2010, the band signed to the German metal label AFM Records to record their fifth studio album, Sounds of Violence, released in January 2011.",7,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2011-01-01,2011-01-31,ML
25 March 2011,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 25 March 2011, Steve Grice decided to leave the band on the eve of a major European tour.",8,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2011-03-25,2011-03-25,ML
November 2011,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,Michael Hourihan (Extreme Noise Terror / Desecration) replaced him for the tour and in November 2011 became a full member of the band.,9,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2011-11-01,2011-11-30,ML
20 September 2013,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Onslaught recorded their sixth studio album, VI, from April to May and released it on 20 September 2013.",10,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2013-09-20,2013-09-20,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Former Anthrax singer Neil Turbin joined the band for their Thrash Invasion tour of US and Canada, Brazil and Chile, North and South America in 2014 as Sy Keeler was unable to take part due to family problems.",11,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2014-01-01,2014-12-31,ML
24 November 2014,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"He left the tour for the last week of shows after performing at The Music Hall, Anaheim, California, on 24 November 2014, only two days before the tour ended.",12,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2014-11-24,2014-11-24,ML
June 2015,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,The band played the 10th edition of Hellfest in June 2015.,13,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2015-06-01,2015-06-30,ML
14 September 2015,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 14 September 2015, Onslaught announced that they had recruited Iain GT Davies as a full-time replacement for Andy Rosser Davies.",14,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2015-09-14,2015-09-14,ML
27 March 2018,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 27 March 2018, guitarist Iain GT Davies and drummer Mic Hourihan parted ways with Onslaught, to focus on other bands and projects.",16,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2018-03-27,2018-03-27,ML
16 July 2018,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 16 July 2018, it was announced that guitarist Wayne Dorman and Drummer James Perry had joined the band.",19,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2018-07-16,2018-07-16,ML
2018–present,CD,YEAR_REGEX_1,TIME,time_reference,"Generation Antichrist, split with Sy Keeler and next album (2018–present)",1,8,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,2018-01-01,,ML
18 November 2018,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 18 November 2018, Onslaught posted a teaser video on Facebook, confirming that they were recording their seventh studio album at Grindstone Studios.",0,9,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,2018-11-18,2018-11-18,ML
March 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"The band released the video for their first song in six years ""A Perfect Day to Die"" in March 2019, which is ""a nod to [their] sadly departed friends from Motörhead who were a major influence for Onslaught over the years.",1,9,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,2019-03-01,2019-03-31,ML
29 April 2020,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"""On 29 April 2020, Onslaught announced that vocalist",2,9,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,2020-04-29,2020-04-29,ML
12 May 2020,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 12 May 2020, Onslaught announced that their seventh studio album, titled Generation Antichrist, would be released on 7 August.",5,9,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,2020-05-12,2020-05-12,ML
March 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In March 2021, about seven months after the release of Generation Antichrist, Rockett announced that Onslaught have been working on their eighth studio album, which is currently in pre-production and planned for release in 2022.",6,9,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,2021-03-01,2021-03-31,ML
2022,CD,YEAR_REGEX_1,TIME,time_reference,"In March 2021, about seven months after the release of Generation Antichrist, Rockett announced that Onslaught have been working on their eighth studio album, which is currently in pre-production and planned for release in 2022.",6,9,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,2022-01-01,2022-12-31,ML
December 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,Guitarist Wayne Dorman confirmed in a post on Facebook in December 2021 that he has begun writing new material for the band's new album.,7,9,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,2021-12-01,2021-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,Power from Hell (1985),0,14,== Discography == | === Studio albums ===,4272959,1985-01-01,1985-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,The Force (1986),0,15,== Discography == | === Studio albums ===,4272959,1986-01-01,1986-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,In Search of Sanity (1989) – UK No. 46,0,16,== Discography == | === Studio albums ===,4272959,1989-01-01,1989-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Killing Peace (2007),0,17,== Discography == | === Studio albums ===,4272959,2007-01-01,2007-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,Sounds of Violence (2011),0,18,== Discography == | === Studio albums ===,4272959,2011-01-01,2011-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,VI (2013),0,19,== Discography == | === Studio albums ===,4272959,2013-01-01,2013-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,Generation Antichrist (2020),0,20,== Discography == | === Studio albums ===,4272959,2020-01-01,2020-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Shadow of Death (2008, compilation of early demos)",0,22,== Discography == | === Compilation albums ===,4272959,2008-01-01,2008-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,"""Let There Be Rock"" (AC/DC cover, 1987, originally released on Music for Nations)",0,24,== Discography == | === Singles ===,4272959,1987-01-01,1987-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"""Let There Be Rock"" (AC/DC cover, 1989, re-recorded and released on London Records) – UK No. 50",0,25,== Discography == | === Singles ===,4272959,1989-01-01,1989-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"""Welcome to Dying"" (1989, London Records)",0,26,== Discography == | === Singles ===,4272959,1989-01-01,1989-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"""Shellshock"" (1989, London Records)",0,27,== Discography == | === Singles ===,4272959,1989-01-01,1989-12-31,ML
17 December 2010,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"""Bomber"" (Motörhead cover)/""The Sound of Violence"" (17 December 2010) – ""Bomber"" features Phil Campbell from Motörhead on guitar and Tom Angelripper from Sodom on vocals.",0,28,== Discography == | === Singles ===,4272959,2010-12-17,2010-12-17,ML
8 March 2019,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"""A Perfect Day to Die"" (8 March 2019)",0,29,== Discography == | === Singles ===,4272959,2019-03-08,2019-03-08,ML
29 May 2020,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"""Religiousuicide"" (29 May 2020)",0,30,== Discography == | === Singles ===,4272959,2020-05-29,2020-05-29,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Live Damnation (2009),0,32,== Discography == | === Live albums ===,4272959,2009-01-01,2009-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,Onslaught LIVE at SLAUGHTERHOUSE  Recorded at London O2 ACADEMY Islington (2014),0,33,== Discography == | === Live albums ===,4272959,2014-01-01,2014-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Live Polish Assault 2007 (2007),0,35,== Discography == | ==== DVDs ====,4272959,2007-01-01,2007-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,And the O2 ACADEMY Islington (London) 20th July (2014),1,36,== Discography == | ==== DVDs ====,4272959,2014-01-01,2014-12-31,ML
the days,DT NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"The two musicians were working to forge an ultra-aggressive, speed metal sound that was becoming more popular in the days of early Slayer and Metallica.",1,3,== History == | === Origins and Power from Hell (1982–1985) ===,4272959,,,ML
later that year,RB IN NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The quartet quickly worked up enough material for a record and later that year, the debut album, Power from Hell, was recorded and released on the British independent record label, Cor.",3,3,== History == | === Origins and Power from Hell (1982–1985) ===,4272959,,,ML
the first months,DT JJ NNS,PREFIX_REGEX_1 ORDINAL_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,"During the first months of 1986, the new line-up was ready to record their second album, The Force, in a recording studio in London.",1,5,"== History == | === The Force, In Search of Sanity and breakup (1985–1991) ===",4272959,,,ML
early that year,RB IN NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The album was released early that year through the label Under One Flag, and Onslaught toured for about two-and-a-half years in support of it, playing with bands such as Motörhead, Exciter, Girlschool, Kreator, Nuclear Assault, Agent Steel, the Crumbsuckers, Angel Dust, Exumer, Messiah, Sabbat and a then-still unknown Anthrax.",2,5,"== History == | === The Force, In Search of Sanity and breakup (1985–1991) ===",4272959,,,ML
a year,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Onslaught toured for over a year in support of In Search of Sanity, playing alongside Annihilator, Xentrix, Slammer, the Crumbsuckers, Horse (not to be confused with the metalcore band from California), Drunken State, Sabbat and Dead On.",17,5,"== History == | === The Force, In Search of Sanity and breakup (1985–1991) ===",4272959,,,ML
November,NNP,MONTH_REGEX,TIME,time_reference,"In November of that year, the band recorded their live performance at the Damnation Festival in Leeds resulting in a live album (Dual Disc CD / DVD), Live Damnation; mixed by Andy Sneap, it was released in August 2009 by Candlelight Records.",6,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,,,ML
Hourihan,NNP,TIME_UNIT_REGEX,TIME,time_reference,Michael Hourihan (Extreme Noise Terror / Desecration) replaced him for the tour and in November 2011 became a full member of the band.,9,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,,,ML
April to May,NNP TO NNP,MONTH_REGEX LINKAGE_REGEX MONTH_REGEX,TIME MODIFIER TIME,time_reference,"Onslaught recorded their sixth studio album, VI, from April to May and released it on 20 September 2013.",10,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,,,ML
the last week,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"He left the tour for the last week of shows after performing at The Music Hall, Anaheim, California, on 24 November 2014, only two days before the tour ended.",12,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,,,ML
Hourihan,NNP,TIME_UNIT_REGEX,TIME,time_reference,"On 27 March 2018, guitarist Iain GT Davies and drummer Mic Hourihan parted ways with Onslaught, to focus on other bands and projects.",16,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,,,ML
six years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"The band released the video for their first song in six years ""A Perfect Day to Die"" in March 2019, which is ""a nod to [their] sadly departed friends from Motörhead who were a major influence for Onslaught over the years.",1,9,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,,,ML
year,NN,TIME_UNIT_REGEX,TIME,time_reference,"Sy Keeler had once again parted ways with the band, citing his reason as, ""Due to the nature of the modern-day music industry, some things simply aren't sustainable year after year and Sy has now taken a different full-time career path.""",3,9,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,,,ML
A few days,DT JJ NNS,INARTICLE_REGEX PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"A few days later, it was announced that Keeler was replaced by Dave Garnett, who had previously performed in Onslaught by filling in for him the House of Metal festival in Umeå, Sweden that past February.",4,9,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,,,ML
7 August,CD NNP,DIGIT_REGEX_1 MONTH_REGEX,NUMERAL TIME,,"On 12 May 2020, Onslaught announced that their seventh studio album, titled Generation Antichrist, would be released on 7 August.",5,9,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,,,ML
about seven months,RB CD NNS,PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,"In March 2021, about seven months after the release of Generation Antichrist, Rockett announced that Onslaught have been working on their eighth studio album, which is currently in pre-production and planned for release in 2022.",6,9,"== History == | === Generation Antichrist, split with Sy Keeler and next album (2018–present) ===",4272959,,,ML
Day,NNP,TIME_UNIT_REGEX,TIME,time_reference,"""A Perfect Day to Die"" (8 March 2019)",0,29,== Discography == | === Singles ===,4272959,,,ML
19th July,CD NNP,DIGIT_REGEX_1 MONTH_REGEX,NUMERAL TIME,,Onslaught LIVE at SLAUGHTERHOUSE Filmed at O2 ACADEMY Bristol (Bristol) SAT 19th July,0,36,== Discography == | ==== DVDs ====,4272959,,,ML
20th July,CD NNP,DIGIT_REGEX_1 MONTH_REGEX,NUMERAL TIME,,And the O2 ACADEMY Islington (London) 20th July (2014),1,36,== Discography == | ==== DVDs ====,4272959,,,ML
