time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2 May 1950,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Alan Reid (born 2 May 1950, Glasgow, Scotland) is a Scottish folk multi-instrumentalist and songwriter.",0,0,,31376078,1950-05-02,1950-05-02,ML
1969–2010,CD,YEAR_REGEX_1,TIME,time_reference,1969–2010: the Battlefield Band years =,1,2,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,1969-01-01,2010-12-31,ML
2010–present,CD,YEAR_REGEX_1,TIME,time_reference,=== 2010–present: Battlefield Band departure and duo with van Sante ===,0,5,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,2010-01-01,,ML
1969 to 2010,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"After four decades (from 1969 to 2010) as an ever-present member of Battlefield Band, Reid decided that it was time to bow out in order to develop his writing and to follow other musical paths and partnerships.",0,6,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,1969-01-01,2010-12-31,ML
early 2011,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In early 2011, the duo undertook a tour of Australia and New Zealand, guesting at Australia's National Folk Festival.",0,7,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,2011-01-01,2011-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"In 2013, the duo embarked on several tours of Scotland, Germany and the United States and made some festival appearances in the UK and Europe.",2,7,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,2013-01-01,2013-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011, Reid released Recollection, a compilation album of the finest songs he wrote during his forty years with Battlefield Band.",0,8,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,2011-01-01,2011-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"In 2012, the duo released a third album The Adventures of John Paul Jones and in 2014 a fourth album Rough Diamonds .",0,9,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,2012-01-01,2012-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"In 2012, the duo released a third album The Adventures of John Paul Jones and in 2014 a fourth album Rough Diamonds .",0,9,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,2014-01-01,2014-12-31,ML
January 2015,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In January 2015, the duo embarked on a US tour which ended on 1 February 2015.",0,10,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,2015-01-01,2015-01-31,ML
1 February 2015,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"In January 2015, the duo embarked on a US tour which ended on 1 February 2015.",0,10,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,2015-02-01,2015-02-01,ML
29 March 2015,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"A North-America tour followed from 13 till 29 March 2015, visiting mainly Canada.",1,10,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,2015-03-29,2015-03-29,ML
15 January 2016,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 15 January 2016, the duo embarked on a 16-date US tour due to end on 7 February 2016.",0,11,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,2016-01-15,2016-01-15,ML
7 February 2016,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 15 January 2016, the duo embarked on a 16-date US tour due to end on 7 February 2016.",0,11,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,2016-02-07,2016-02-07,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,All the Battlefield Band albums from 1976's Scottish Folk (Arfolk SB349) (re-released as Farewell to Nova Scotia on Escalibur Records) up to 2009's Zama Zama...,0,14,== Discography == | === Battlefield Band ===,31376078,1976-01-01,1976-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,All the Battlefield Band albums from 1976's Scottish Folk (Arfolk SB349) (re-released as Farewell to Nova Scotia on Escalibur Records) up to 2009's Zama Zama...,0,14,== Discography == | === Battlefield Band ===,31376078,2009-01-01,2009-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997,0,16,== Discography == | === Solo ===,31376078,1997-01-01,1997-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011 Recollection (Temple Records) (compilation),0,17,== Discography == | === Solo ===,31376078,2011-01-01,2011-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,1981 Sidetracks,0,19,== Discography == | === Alan Reid and Brian McNeill Duo albums ===,31376078,1981-01-01,1981-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001,0,21,== Discography == | === Alan Reid and Rob van Sante Duo albums ===,31376078,2001-01-01,2001-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009,0,22,== Discography == | === Alan Reid and Rob van Sante Duo albums ===,31376078,2009-01-01,2009-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012,0,23,== Discography == | === Alan Reid and Rob van Sante Duo albums ===,31376078,2012-01-01,2012-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014 Rough Diamonds  (Red Sands Records RSCD 004),0,24,== Discography == | === Alan Reid and Rob van Sante Duo albums ===,31376078,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,Tuomas Holopainen – Music Inspired by the Life and Times of Scrooge (2014),0,26,== Discography == | === Guest appearances ===,31376078,2014-01-01,2014-12-31,ML
the end of 2010,DT NN IN CD,PREFIX_REGEX_1 PREFIX_REGEX_2 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER MODIFIER TIME,time_reference,He left the band at the end of 2010 to concentrate on his musical duo with Rob van Sante who had also been Battlefield Band's sound engineer for a number of years.,1,6,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,2010-12-31,2010-12-31,LLM
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,1969–2010: the Battlefield Band years =,1,2,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,,,ML
today,NN,TIMELINE_REGEX,TIME,time_reference,"From 1973, Battlefield Band quickly became pre-eminent in the emerging Scottish Traditional music scene, becoming established firmly at the forefront where they remain today.",1,3,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,,,ML
"1977 , 1978","CD , CD",YEAR_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,,"Battlefield Band made two albums with the Breton label Arfolk (released in 1976 & 1978) and three albums with the Topic label (released in 1977, 1978 & 1979) but since 1980 have recorded exclusively with Temple Records.",2,3,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,,,ML
of the Year,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"In 2009, he was nominated at the Scots Traditional Awards in the Composer of the Year category.",6,4,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,,,ML
four decades,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"After four decades (from 1969 to 2010) as an ever-present member of Battlefield Band, Reid decided that it was time to bow out in order to develop his writing and to follow other musical paths and partnerships.",0,6,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,,,ML
forty years,JJ NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"In 2011, Reid released Recollection, a compilation album of the finest songs he wrote during his forty years with Battlefield Band.",0,8,== Biography == | === 2010–present: Battlefield Band departure and duo with van Sante ===,31376078,,,ML
Fall,NNP,SEASON_REGEX,TIME,time_reference,The Rise and Fall o' Charlie (Red Sands Records RSCD 002),1,22,== Discography == | === Alan Reid and Rob van Sante Duo albums ===,31376078,,,ML
