time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
22 September 1959 – 16 November 2008,CD NNP CD NNP CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,Tony Reedus (22 September 1959 – 16 November 2008) was an American jazz drummer.,0,0,,22318124,,,ML
the 1980s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,Reedus first gained attention performing in Woody Shaw's band during the 1980s.,0,1,,22318124,1980-01-01,1989-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"The Far Side (Jazz City, 1988)",0,5,== Discography == | === As leader ===,22318124,1988-01-01,1988-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,Benny Golson Quartet (LRC Ltd. 1990),0,17,== Discography == | === As sideman ===,22318124,1990-01-01,1990-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"Domingo (Dreyfus, 1992)",0,18,== Discography == | === As sideman ===,22318124,1992-01-01,1992-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"I Remember Miles (Alfa Jazz, 1993)With Benny Green",0,19,== Discography == | === As sideman ===,22318124,1993-01-01,1993-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"Prelude (Criss Cross, 1988)With Geoff Keezer",0,20,== Discography == | === As sideman ===,22318124,1988-01-01,1988-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Waiting in the Wings (Sunnyside, 1989)",0,21,== Discography == | === As sideman ===,22318124,1989-01-01,1989-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"With Our Own Eyes (Novus, 1993)With Harold Mabern",0,22,== Discography == | === As sideman ===,22318124,1993-01-01,1993-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Mabern's Grooveyard (DIW, 1996)",0,23,== Discography == | === As sideman ===,22318124,1996-01-01,1996-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Maya with Love (DIW, 2000)With Ronnie Mathews",0,24,== Discography == | === As sideman ===,22318124,2000-01-01,2000-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"Selena's Dance (Timeless, 1988)With Mulgrew Miller",0,25,== Discography == | === As sideman ===,22318124,1988-01-01,1988-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,"Wingspan (Landmark, 1987)",0,26,== Discography == | === As sideman ===,22318124,1987-01-01,1987-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Time and Again (Landmark, 1991)With Dick Oatts",0,27,== Discography == | === As sideman ===,22318124,1991-01-01,1991-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Gratitude (Steeplechase 2007)With Woody Shaw,0,28,== Discography == | === As sideman ===,22318124,2007-01-01,2007-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,"United (Columbia, 1981)",0,29,== Discography == | === As sideman ===,22318124,1981-01-01,1981-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,"Lotus Flower (Enja, 1982)",0,30,== Discography == | === As sideman ===,22318124,1982-01-01,1982-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,"Master of the Art (Elektra Musicia, 1982)",0,31,== Discography == | === As sideman ===,22318124,1982-01-01,1982-12-31,ML
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,"Night Music (Elektra Musicia, 1982)",0,32,== Discography == | === As sideman ===,22318124,,,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,"Night Music (Elektra Musicia, 1982)",0,32,== Discography == | === As sideman ===,22318124,1982-01-01,1982-12-31,ML
1983,CD,YEAR_REGEX_1,TIME,time_reference,"The Time Is Right (Red, 1983)With Jim Snidero",0,33,== Discography == | === As sideman ===,22318124,1983-01-01,1983-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Tippin' (Savant, 2007)With James Spaulding",0,34,== Discography == | === As sideman ===,22318124,2007-01-01,2007-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"The Smile of the Snake (HighNote, 1997)With Walt Weiskopf Quintet",0,35,== Discography == | === As sideman ===,22318124,1997-01-01,1997-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Anytown (Criss Cross Jazz, 1998)With Anthony Wonsey",0,36,== Discography == | === As sideman ===,22318124,1998-01-01,1998-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Blues for Hiroshi (Sharp Nine, 2004)",0,37,== Discography == | === As sideman ===,22318124,2004-01-01,2004-12-31,ML
