time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003: Beginnings and To Proto Vima,1,4,== Biography == | === 2003: Beginnings and To Proto Vima ===,15780584,2003-01-01,2003-12-31,ML
the winter,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"For the winter season of 2007-2008, Zoi sang at ""Kendro Athinon"" with  Giannis Ploutarhos, Tamta, and Giannis Vardis.",4,9,== Biography == | === 2006–present: Th' Afisei Epohi and Me To Heri Stin Kardia ===,15780584,2007-12-01,2008-02-29,LLM
the winter,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"In the winter season of 2005-2006 she continued her collaboration with Petrelis, and was also joined by Katerina Stanisi at club ""Apollon"".",6,7,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,2005-12-21,2006-03-20,LLM
One night,CD NN,BASIC_NUMBER_REGEX_1 DAY_TIME_REGEX,NUMERAL TIME,,"One night, while out on the town with friends, a singer at a popular club gave her the microphone and Zoi started to sing.",1,3,== Biography == | === Early life ===,15780584,,,ML
last year,JJ NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Zoi performed the duet ""Maskes"" with famed singer Peggy Zina at the club in her last year while living in Thessaloniki and soon left for Athens to further her career.",5,3,== Biography == | === Early life ===,15780584,,,ML
first year,JJ NN,ORDINAL_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"In Athens, her first year of singing in the Athenian music clubs was with Peggy Zina.",0,5,== Biography == | === 2003: Beginnings and To Proto Vima ===,15780584,,,ML
the summer,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"In the summer of 2004, she started appearances at popular club ""Thalassa"" with Elena Paparizou, Thanos Petrelis, and Nino where she further showcased her vocal abilities.",4,5,== Biography == | === 2003: Beginnings and To Proto Vima ===,15780584,,,ML
the summer,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"After the summer of 2004, she left Minos EMI and signed with the newly created imprint Virus Music of the Greek independent record company Legend Recordings.",0,7,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,,,ML
the fall,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"In the fall of 2004, she started appearances at the club ""Gazi"" with Nikos Kourkoulis and Andreas Stamos.",1,7,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,,,ML
the summer,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"In the summer of 2005, she once again appeared at club ""Thalassa"", but this time with Thanos Petrelis and Kostas Karafotis.",5,7,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,,,ML
the Christmas,DT NNP,PREFIX_REGEX_1 HOLIDAY_REGEX,MODIFIER TIME,time_reference,"During the Christmas season of 2005, Apostolia released a Christmas themed CD Single along with boyband 4Play under Virus Music titled ""To Kalytero Doro"" (The best gift).",7,7,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,,,ML
the spring,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"After her shows at club ""Apollon"" finished in the spring, she started singing at the club ""Rodon!""",9,7,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,,,ML
the summer,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,with Andreas Stamos in Thessaloniki until the summer.,10,7,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,,,ML
June 23,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On June 9, 2008, Zoi released the first single ""Ti stis 8, Ti stis 7"" exclusively on Rythmos FM which was followed by the release of her fourth studio album Me To Heri Stin Kardia on June 23.",7,9,== Biography == | === 2006–present: Th' Afisei Epohi and Me To Heri Stin Kardia ===,15780584,,,ML
