time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 22 , 1988","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"(Korean: 고우리; born February 22, 1988), better known by the mononym Woori or as Go Na-eun is a South Korean singer, rapper and actress.",1,0,,41692522,1988-02-22,1988-02-22,ML
"February 22 , 1988","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Go Woo-ri was born in Jeonju, South Korea on February 22, 1988.",0,2,== Early life ==,41692522,1988-02-22,1988-02-22,ML
2009–2016,CD,YEAR_REGEX_1,TIME,time_reference,2009–2016:,1,4,== Career == | === 2009–2016: Rainbow and Rainbow Blaxx ===,41692522,2009-01-01,2016-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,She was then cast as a supporting role in the drama Glorious Day (2014) and Flower of Queen (2015).,6,8,== Career == | === 2010–present: Solo activities ===,41692522,2015-01-01,2015-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"In 2016, she was cast with her first main role in Start Again.",7,8,== Career == | === 2010–present: Solo activities ===,41692522,2016-01-01,2016-12-31,ML
"January 10 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On January 10, 2018, it was announced that Woori changed her stage name to Go Na-eun.",8,8,== Career == | === 2010–present: Solo activities ===,41692522,2018-01-10,2018-01-10,ML
January 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In January 2018, she was cast in Yeonnam-dong 539.",9,8,== Career == | === 2010–present: Solo activities ===,41692522,2018-01-01,2018-01-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"In 2019, she was cast in Love in Sadness.",12,8,== Career == | === 2010–present: Solo activities ===,41692522,2019-01-01,2019-12-31,ML
"November 3 , 2019","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On November 3, 2019, it was announced that she changed her stage name back to Go Woo-ri.",13,8,== Career == | === 2010–present: Solo activities ===,41692522,2019-11-03,2019-11-03,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,"In 2020, she was cast in True Beauty.",14,8,== Career == | === 2010–present: Solo activities ===,41692522,2020-01-01,2020-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,"In 2021, she was cast in Hello, Me!.",15,8,== Career == | === 2010–present: Solo activities ===,41692522,2021-01-01,2021-12-31,ML
November 12,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On October 27, 2016, DSP announced Rainbow would disband on November 12 as the members contract were to expired.",2,6,== Career == | === 2009–2016: Rainbow and Rainbow Blaxx ===,41692522,,,ML
Day,NNP,TIME_UNIT_REGEX,TIME,time_reference,She was then cast as a supporting role in the drama Glorious Day (2014) and Flower of Queen (2015).,6,8,== Career == | === 2010–present: Solo activities ===,41692522,,,ML
July,NNP,MONTH_REGEX,TIME,time_reference,"In July, she was cast in My Only One.",11,8,== Career == | === 2010–present: Solo activities ===,41692522,,,ML
