time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1996–2000,CD,YEAR_REGEX_1,TIME,time_reference,=== 1996–2000:,0,4,== Life and career == | === 1996–2000: Career launch ===,1855711,1996-01-01,2000-12-31,ML
"March 12 , 2010","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Her debut comedy special, Melissa Peterman: Am I The Only One?, premiered March 12, 2010 on CMT.",7,15,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,2010-03-12,2010-03-12,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011:,1,16,== Life and career == | === 2011: Working Class ===,1855711,2011-01-01,2011-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Peterman had revealed, in 2010, she was starring in another pilot.",0,17,== Life and career == | === 2011: Working Class ===,1855711,2010-01-01,2010-12-31,ML
2012–17,CD,YEAR_REGEX_1,TIME,time_reference,2012–17,1,18,== Life and career == | === 2012–17: Baby Daddy and other shows ===,1855711,2012-01-01,2023-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"In 2012, Peterman announced she was appearing in an upcoming ABC Family sitcom, Baby Daddy.",0,19,== Life and career == | === 2012–17: Baby Daddy and other shows ===,1855711,2012-01-01,2012-12-31,ML
"Wednesday , May 29","NNP , NNP CD",WEEK_REGEX COMMA_REGEX MONTH_REGEX DIGIT_REGEX_1,TIME MODIFIER TIME NUMERAL,time_reference,"The show has been renewed for a second season, returning Wednesday, May 29.",4,19,== Life and career == | === 2012–17: Baby Daddy and other shows ===,1855711,2023-05-29,2023-05-29,ML
"May 22 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The show ended on May 22, 2017, after six seasons.",5,19,== Life and career == | === 2012–17: Baby Daddy and other shows ===,1855711,2017-05-22,2017-05-22,ML
January 2013,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In January 2013, ABC ordered Bet",0,20,== Life and career == | === 2012–17: Baby Daddy and other shows ===,1855711,2013-01-01,2013-01-31,ML
"Saturday , April 6","NNP , NNP CD",WEEK_REGEX COMMA_REGEX MONTH_REGEX DIGIT_REGEX_1,TIME MODIFIER TIME NUMERAL,time_reference,"The competition series debuts Saturday, April 6.",2,20,== Life and career == | === 2012–17: Baby Daddy and other shows ===,1855711,2023-04-06,2023-04-06,ML
February 2013,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In February 2013, ABC Family announced Peterman was also the host of another upcoming competition, Dancing Fools.",3,20,== Life and career == | === 2012–17: Baby Daddy and other shows ===,1855711,2013-02-01,2013-02-28,ML
"Wednesday , May 29","NNP , NNP CD",WEEK_REGEX COMMA_REGEX MONTH_REGEX DIGIT_REGEX_1,TIME MODIFIER TIME NUMERAL,time_reference,"The series debuts Wednesday, May 29, immediately following Baby Daddy.",4,20,== Life and career == | === 2012–17: Baby Daddy and other shows ===,1855711,2023-05-29,2023-05-29,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Since 2019, Peterman hosts the comedy game show Punch Line, where two teams of comedians try to supply punchlines to various headlines.",1,21,== Life and career == | === 2012–17: Baby Daddy and other shows ===,1855711,2019-01-01,2019-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,"In 2020, Peterman began co-hosting with her former Reba co-star Reba McEntire on a new podcast titled Living & Learning.",0,22,== Life and career == | === 2012–17: Baby Daddy and other shows ===,1855711,2020-01-01,2020-12-31,ML
Mo,NNP,TIME_UNIT_REGEX,TIME,time_reference,"The theater boasts such alumni as Pat Proft, Louie Anderson, Cedric Yarbrough, Mo Collins, and Al Franken.",2,5,== Life and career == | === 1996–2000: Career launch ===,1855711,,,ML
of 15 Minutes,IN CD NNS,PREFIX_REGEX_1 DIGIT_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,"Peterman remained loyal to her comic roots, too, as the host of 15 Minutes of Fem, a comedy showcase for women presented at the Egyptian Theatre.",6,8,== Life and career == | === 2001–06: Reba and other appearances ===,1855711,,,ML
summer,NN,SEASON_REGEX,TIME,time_reference,"During her summer hiatus from Reba, Peterman hosted The Sound of Music Sing-a-Long, reprising her hosting gig the previous summer's The Wizard of Oz Sing-a-Long, at the Hollywood Bowl in Los Angeles.",0,9,== Life and career == | === 2001–06: Reba and other appearances ===,1855711,,,ML
October,NNP,MONTH_REGEX,TIME,time_reference,"In October, ABC announced Peterman had been cast in an untitled comedy pilot starring Cedric the Entertainer.",0,11,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,,,ML
December,NNP,MONTH_REGEX,TIME,time_reference,"In December, the network announced they had secured the actors, indicating they were interested in the project.",2,11,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,,,ML
presentation,NN,TIMELINE_REGEX,TIME,time_reference,"During the annual upfront presentation on May 13, 2008, ABC confirmed they did not order the pilot to series.",3,11,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,,,ML
the following year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,Peterman returned the following year when McEntire toured with Kelly Clarkson.,1,12,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,,,ML
The next year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The next year, she hosted a special, Redneck Dreams, for the network.",2,13,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,,,ML
that year,IN NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"In February 2010, Big Machine Records announced that they signed Peterman to a recording contract, and she was to release her debut comedy album that year.",4,15,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,,,ML
Am,VBP,HALFDAY_REGEX_1,TIME,,"Her debut comedy special, Melissa Peterman: Am I The Only One?, premiered March 12, 2010 on CMT.",7,15,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,,,ML
that year,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Also that year, Peterman hosted the CMT Music Awards red carpet.",9,15,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,,,ML
March,NNP,MONTH_REGEX,TIME,time_reference,"In March, the network announced Peterman, originally only appearing in one episode, had been upgraded to series regular.",1,19,== Life and career == | === 2012–17: Baby Daddy and other shows ===,1855711,,,ML
