time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1999,CD,YEAR_REGEX_1,TIME,time_reference,"He is the innovator of breakstep music which is bass-heavy, breakbeat-infused 2-step, first characterised in his 1999 hit ""I Don't Smoke"", which reached No. 11 on the UK charts.",1,0,,36892727,1999-01-01,1999-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011, he opened up his online clothing store, Bass Boutique.",4,0,,36892727,2011-01-01,2011-12-31,ML
1998–2000,CD,YEAR_REGEX_1,TIME,time_reference,=== 1998–2000:,0,3,"== Biography == | === 1998–2000: Flex FM and ""I Don't Smoke"" ===",36892727,1998-01-01,2000-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,12,"== Discography == | === Singles, EPs and remixes ===",36892727,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,13,"== Discography == | === Singles, EPs and remixes ===",36892727,2002-01-01,2002-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,14,"== Discography == | === Singles, EPs and remixes ===",36892727,2004-01-01,2004-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"2006: ""Outta Space"" (Super Star)",0,15,"== Discography == | === Singles, EPs and remixes ===",36892727,2006-01-01,2006-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"2007: ""Boomblast"" (Remix) –",0,16,"== Discography == | === Singles, EPs and remixes ===",36892727,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"2007: ""Steam (Rock Out)"" (DJ Fresh vs DJ Deekline & Wizard on Breakbeat Kaos)",0,17,"== Discography == | === Singles, EPs and remixes ===",36892727,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"2008: ""Hands Up"" (with Flipside)",0,18,"== Discography == | === Singles, EPs and remixes ===",36892727,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"2008: ""Fame and the Money"" (with Wiley, Skinnyman and Hyperactive, Booty Bouncers)",0,19,"== Discography == | === Singles, EPs and remixes ===",36892727,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"2009: ""Back Up Coming Through"" (with Against the Grain, licensed by DJ Craze to Fabric Live, also remixed by Bassnectar and Krafty Kuts)",0,20,"== Discography == | === Singles, EPs and remixes ===",36892727,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,21,"== Discography == | === Singles, EPs and remixes ===",36892727,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"2009: ""Dip and Get Low"" – Stanton Warriors",0,22,"== Discography == | === Singles, EPs and remixes ===",36892727,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"2009: ""Touch Your Toes"" (featuring MC Darrison, Southern Fried)",0,23,"== Discography == | === Singles, EPs and remixes ===",36892727,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"2009: ""One in the Front"" (with DJ Assault)",0,24,"== Discography == | === Singles, EPs and remixes ===",36892727,2009-01-01,2009-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"2010: ""The Mexican"" (with Tim Healey)",0,25,"== Discography == | === Singles, EPs and remixes ===",36892727,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"2010: ""Yo Yo Get Funky"" (Remix) – Fast Eddie (with Tim Healey)",0,26,"== Discography == | === Singles, EPs and remixes ===",36892727,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"2010: ""My My My"" (Remix) – Armand van Helden",0,27,"== Discography == | === Singles, EPs and remixes ===",36892727,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"2010: ""Sound Clash"" (Remix) – Jessie Ware (with Ed Solo, Rack and Ruin)",0,28,"== Discography == | === Singles, EPs and remixes ===",36892727,2010-01-01,2010-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"2011: ""The Bomb"" (with DJ Fresh, Ivory and Wizard)",0,29,"== Discography == | === Singles, EPs and remixes ===",36892727,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"2011: ""Shake the Pressure"" (with Ed Solo featuring Splack Pack & Kidd Money on Central Station)",0,30,"== Discography == | === Singles, EPs and remixes ===",36892727,2011-01-01,2011-12-31,ML
