time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1968,CD,YEAR_REGEX_1,TIME,time_reference,"Ron was born in 1968, in London.",0,3,== Biography == | === Early life ===,60132300,1968-01-01,1968-12-31,ML
1991–1996,CD,YEAR_REGEX_1,TIME,time_reference,"He then became a resident DJ at various rave organisations such as; Telepathy (1991–1995), Pirate Club (1992–1994), Desert Storm (1993–1995), Sunday Roast (1991–1996), VIP Champagne Bash (1994–1996), and Jungle Fever 1993–1996).",4,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,1991-01-01,1996-12-31,ML
1994–1996,CD,YEAR_REGEX_1,TIME,time_reference,"He then became a resident DJ at various rave organisations such as; Telepathy (1991–1995), Pirate Club (1992–1994), Desert Storm (1993–1995), Sunday Roast (1991–1996), VIP Champagne Bash (1994–1996), and Jungle Fever 1993–1996).",4,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,1994-01-01,1996-12-31,ML
1993–1996,CD,YEAR_REGEX_1,TIME,time_reference,"He then became a resident DJ at various rave organisations such as; Telepathy (1991–1995), Pirate Club (1992–1994), Desert Storm (1993–1995), Sunday Roast (1991–1996), VIP Champagne Bash (1994–1996), and Jungle Fever 1993–1996).",4,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,1993-01-01,1996-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Ron launched a record label, London Some 'Ting Records in 1994, which to date, combined with subsidiary labels formed under the 'LSR' banner, have released close to 100 tracks.",5,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,1994-01-01,1994-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"In 1994, Ron became musical director for seminal documentary A London Some 'Ting Dis.",6,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,1994-01-01,1994-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"In 1994, Ron was selected amongst a group of five other DJs to perform on a tour around four North American states, starting with three shows at the Winter Music Conference in Miami.",8,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,1994-01-01,1994-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"The mix was named ""The Circumstances of Jungle Music"" and was aired on Pete Tong’s Essential Mix show in 1995.",11,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,1995-01-01,1995-12-31,ML
1996–2012,CD,YEAR_REGEX_1,TIME,time_reference,1996–2012: hiatus and creative return =,1,9,== Career == | === 1996–2012: hiatus and creative return ===,60132300,1996-01-01,2012-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"In 1996, Ron was signed by a major record label, RCA Records.",0,10,== Career == | === 1996–2012: hiatus and creative return ===,60132300,1996-01-01,1996-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Later, after a decade and a half of a hiatus in his musical career, in 2012 Ron studied and achieved a BA Honours in Practical Film Making at the Met Film School University in Ealing Film Studios.",0,12,== Career == | === 1996–2012: hiatus and creative return ===,60132300,2012-01-01,2012-12-31,ML
2013–present,CD,YEAR_REGEX_1,TIME,time_reference,2013–present: musical return =,1,13,== Career == | === 2013–present: musical return ===,60132300,2013-01-01,,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"In 2015, having been head of TV at Rinse FM for three years and having produced music videos for Rinse FM's musicians, Ron habitually focuses on his independent production company London Something.",0,14,== Career == | === 2013–present: musical return ===,60132300,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Since 2015, Ron has also had a Rinse FM show, currently biweekly.",2,14,== Career == | === 2013–present: musical return ===,60132300,2015-01-01,2015-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"In 2018, Ron appeared at Notting Hill Carnival as part of the announcement of the Chase & Status RTRN II Jungle album.",0,15,== Career == | === 2013–present: musical return ===,60132300,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,Also in 2018 Mixmag featured Ron's as one of the best Jungle mixes you can hear online.,1,15,== Career == | === 2013–present: musical return ===,60132300,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,DJ Ron also performed several times on the official Chase & Status RTRN II Jungle 2018 tour.,2,15,== Career == | === 2013–present: musical return ===,60132300,2018-01-01,2018-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Quintessence (Parousia/Sony Music, 1997)",0,18,== Discography == | === Albums ===,60132300,1997-01-01,1997-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Re:Code (Knowledge, 2003)",0,20,== Discography == | === Mixes/compilations ===,60132300,2003-01-01,2003-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"Crackman The Return (Rough Tone, 1993)",0,22,== Discography == | === Selected singles/EPs ===,60132300,1993-01-01,1993-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Mo Musik (Rough Tone, 1994)",0,23,== Discography == | === Selected singles/EPs ===,60132300,1994-01-01,1994-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Dangerous/Cannan Land (London Some'ting, 1994)",0,24,== Discography == | === Selected singles/EPs ===,60132300,1994-01-01,1994-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Crackman (Last Chapter)/African Chant (London Some'ting, 1995)",0,25,== Discography == | === Selected singles/EPs ===,60132300,1995-01-01,1995-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"River Nile (Remix)/Jekyll & Hide (Lush Recordings, 1996)",0,26,== Discography == | === Selected singles/EPs ===,60132300,1996-01-01,1996-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Benjamin Franklins/Rockers (London Some'ting, 1997)",0,27,== Discography == | === Selected singles/EPs ===,60132300,1997-01-01,1997-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Subconscious/Creativity (Pimp, 1997)",0,28,== Discography == | === Selected singles/EPs ===,60132300,1997-01-01,1997-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"(London Some'ting, 1998)",1,29,== Discography == | === Selected singles/EPs ===,60132300,1998-01-01,1998-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Industrial Dubwise (London Some'ting, 1998)",0,30,== Discography == | === Selected singles/EPs ===,60132300,1998-01-01,1998-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Belly (No Frills, 2002)",0,31,== Discography == | === Selected singles/EPs ===,60132300,2002-01-01,2002-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"African Chant (No Frills, 2003)",0,32,== Discography == | === Selected singles/EPs ===,60132300,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Touch The Sky/Arabian Knights (DNA Recordings, 2003)",0,33,== Discography == | === Selected singles/EPs ===,60132300,2003-01-01,2003-12-31,ML
the early 1980s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,"In the early 1980s, he began his career in music culture starting with his involvement in the body popping crew, Popping Wizards.",1,3,== Biography == | === Early life ===,60132300,1980-01-01,1983-12-31,LLM
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,"In his adolescent years, Ron practised DJing and scratching in his bedroom, with his friends Rodney P and MC Mell’O’.",3,3,== Biography == | === Early life ===,60132300,,,ML
Dayer,NNP,TIME_UNIT_REGEX,TIME,time_reference,"With his time with TNT and additionally playing at two key events, one being a sound clash at Acton Town Hall, ‘Soul All Dayer of the Century’ (1987) and the other being an event at Loyola Hall, Ron's public appearance grew.",1,6,== Career == | === 1982–1992: Early projects and success ===,60132300,,,ML
Weekend,NNP,TIME_UNIT_REGEX,TIME,time_reference,He also hosted radio shows on Weekend Rush FM and Centreforce intermittently.,2,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,,,ML
Sunday,NNP,WEEK_REGEX,TIME,time_reference,"He then became a resident DJ at various rave organisations such as; Telepathy (1991–1995), Pirate Club (1992–1994), Desert Storm (1993–1995), Sunday Roast (1991–1996), VIP Champagne Bash (1994–1996), and Jungle Fever 1993–1996).",4,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,,,ML
the Winter,DT NNP,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"In 1994, Ron was selected amongst a group of five other DJs to perform on a tour around four North American states, starting with three shows at the Winter Music Conference in Miami.",8,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,,,ML
The following year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The following year, DJ Ron was chosen to be the first DJ to play a jungle DJ set on BBC Radio 1.",10,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,,,ML
a decade,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"For over a decade, Ron continued to release music under different pseudonyms and different musical genres.",0,11,== Career == | === 1996–2012: hiatus and creative return ===,60132300,,,ML
a decade,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Later, after a decade and a half of a hiatus in his musical career, in 2012 Ron studied and achieved a BA Honours in Practical Film Making at the Met Film School University in Ealing Film Studios.",0,12,== Career == | === 1996–2012: hiatus and creative return ===,60132300,,,ML
three years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"In 2015, having been head of TV at Rinse FM for three years and having produced music videos for Rinse FM's musicians, Ron habitually focuses on his independent production company London Something.",0,14,== Career == | === 2013–present: musical return ===,60132300,,,ML
currently,RB,TIMELINE_REGEX,TIME,time_reference,"London Something is currently in collaboration with a number of acts, artists and organisations, working on film and music productions.",1,14,== Career == | === 2013–present: musical return ===,60132300,,,ML
currently,RB,TIMELINE_REGEX,TIME,time_reference,"Since 2015, Ron has also had a Rinse FM show, currently biweekly.",2,14,== Career == | === 2013–present: musical return ===,60132300,,,ML
Mo,NNP,TIME_UNIT_REGEX,TIME,time_reference,"Mo Musik (Rough Tone, 1994)",0,23,== Discography == | === Selected singles/EPs ===,60132300,,,ML
