time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"August 30 , 1956","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Rodney Jones (born August 30, 1956) is an American jazz guitarist who worked with Jaki Byard, Chico Hamilton, Dizzy Gillespie, and Lena Horne and as a bandleader.",0,0,,30518067,1956-08-30,1956-08-30,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,"The Liberation of Contemporary Jazz Guitar (Strata-East, 1977)",0,4,== Discography == | === As leader ===,30518067,1977-01-01,1977-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Organ Soul Sessions: The Music Is the Magic (Universal/EmArcy, 2009)",0,38,== Discography == | === As sideman ===,30518067,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Organ Soul Sessions (Universal/EmArcy, 2009)With others",0,39,== Discography == | === As sideman ===,30518067,2009-01-01,2009-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Carl Allen & Rodney Whitaker, Get Ready (Mack Avenue, 2007)",0,40,== Discography == | === As sideman ===,30518067,2007-01-01,2007-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Carl Allen & Rodney Whitaker, Work to Do (Mack Avenue, 2009)",0,41,== Discography == | === As sideman ===,30518067,2009-01-01,2009-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Ernestine Anderson, Love Makes the Changes (HighNote, 2003)",0,42,== Discography == | === As sideman ===,30518067,2003-01-01,2003-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Victor Bailey, Bottom's Up (Atlantic, 1989)",0,43,== Discography == | === As sideman ===,30518067,1989-01-01,1989-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Hamiet Bluiett, Makin' Whoopee (Mapleshade, 1997)",0,44,== Discography == | === As sideman ===,30518067,1997-01-01,1997-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Ray Brown, Blues for Jazzo (Prevue, 1998)",0,45,== Discography == | === As sideman ===,30518067,1998-01-01,1998-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Ray Brown, Moonlight in Vermont (Prevue, 1998)",0,46,== Discography == | === As sideman ===,30518067,1998-01-01,1998-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,"Kenny Burrell, Generation (Blue Note, 1987)",0,47,== Discography == | === As sideman ===,30518067,1987-01-01,1987-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"Kenny Burrell, Pieces of Blue and the Blues (Blue Note, 1988)",0,48,== Discography == | === As sideman ===,30518067,1988-01-01,1988-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Ann Hampton Callaway, Signature (N-Coded Music, 2002)",0,49,== Discography == | === As sideman ===,30518067,2002-01-01,2002-12-31,ML
Present Tense,NNP NNP,TIMELINE_REGEX BASIC_NUMBER_REGEX_1,TIME NUMERAL,time_reference,"James Carter, Present Tense (EmArcy, 2008)",0,50,== Discography == | === As sideman ===,30518067,,,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"James Carter, Present Tense (EmArcy, 2008)",0,50,== Discography == | === As sideman ===,30518067,2008-01-01,2008-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Regina Carter, Rhythms of the Heart (Verve, 1999)",0,51,== Discography == | === As sideman ===,30518067,1999-01-01,1999-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"Keyshia Cole, 11:11 Reset (Epic, 2017)",0,52,== Discography == | === As sideman ===,30518067,2017-01-01,2017-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Larry Coryell, Sketches of Coryell (Shanachie, 1996)",0,53,== Discography == | === As sideman ===,30518067,1996-01-01,1996-12-31,ML
The Twilight,DT NNP,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,"Noah Creshevsky, The Twilight of the Gods (Tzadik, 2010)",0,54,== Discography == | === As sideman ===,30518067,,,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Noah Creshevsky, The Twilight of the Gods (Tzadik, 2010)",0,54,== Discography == | === As sideman ===,30518067,2010-01-01,2010-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Noah Creshevsky, The Four Seasons (Tzadik, 2013)",0,55,== Discography == | === As sideman ===,30518067,2013-01-01,2013-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,"Charles Earland, Coming to You Live (Columbia, 1980)",0,56,== Discography == | === As sideman ===,30518067,1980-01-01,1980-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Eliane Elias, Everything I Love (Blue Note, 1999)",0,57,== Discography == | === As sideman ===,30518067,1999-01-01,1999-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Pee Wee Ellis, Sepia Tonality (Minor Music, 1994)",0,58,== Discography == | === As sideman ===,30518067,1994-01-01,1994-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"Dizzy Gillespie, Dizzy's Party (Pablo, 1976)",0,59,== Discography == | === As sideman ===,30518067,1976-01-01,1976-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"Chico Hamilton, Chico Hamilton and the Players (Blue Note, 1976)",0,60,== Discography == | === As sideman ===,30518067,1976-01-01,1976-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Donald Harrison, Free to Be (Impulse!, 1999)",0,61,== Discography == | === As sideman ===,30518067,1999-01-01,1999-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"Vincent Herring, American Experience (MusicMasters, 1990)",0,62,== Discography == | === As sideman ===,30518067,1990-01-01,1990-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Jennifer Holliday, The Song Is You (Shanachie, 2013)",0,63,== Discography == | === As sideman ===,30518067,2013-01-01,2013-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Dave Koz, At the Movies (Capitol, 2007)",0,64,== Discography == | === As sideman ===,30518067,2007-01-01,2007-12-31,ML
Night and Day,NNP CC NNP,DAY_TIME_REGEX LINKAGE_REGEX TIME_UNIT_REGEX,TIME MODIFIER TIME,time_reference,"Carmen Lundy, Night and Day (CBS/Sony, 1987)",0,65,== Discography == | === As sideman ===,30518067,,,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,"Carmen Lundy, Night and Day (CBS/Sony, 1987)",0,65,== Discography == | === As sideman ===,30518067,1987-01-01,1987-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Gloria Lynne, This One's On Me (HighNote, 1998)",0,66,== Discography == | === As sideman ===,30518067,1998-01-01,1998-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"Christian McBride, Bringin' It (Mack Avenue, 2017)",0,67,== Discography == | === As sideman ===,30518067,2017-01-01,2017-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Houston Person, The Opening Round (Savant, 1997)",0,68,== Discography == | === As sideman ===,30518067,1997-01-01,1997-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"and So (HighNote, 2019)",1,69,== Discography == | === As sideman ===,30518067,2019-01-01,2019-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Irene Reid, Movin' Out (Savant, 2003)",0,70,== Discography == | === As sideman ===,30518067,2003-01-01,2003-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Irene Reid, Thanks to You (Savant, 2004)",0,71,== Discography == | === As sideman ===,30518067,2004-01-01,2004-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"Hilton Ruiz, El Camino (Novus, 1988)",0,72,== Discography == | === As sideman ===,30518067,1988-01-01,1988-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Hilton Ruiz, Strut (Novus, 1989)",0,73,== Discography == | === As sideman ===,30518067,1989-01-01,1989-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Lonnie Smith, Too Damn Hot (Palmetto, 2004)",0,74,== Discography == | === As sideman ===,30518067,2004-01-01,2004-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Billy Strayhorn, Lush Life (Blue Note, 2007)",0,75,== Discography == | === As sideman ===,30518067,2007-01-01,2007-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Akira Tana, Secret Agent Men (Sons of Sound, 2002)",0,76,== Discography == | === As sideman ===,30518067,2002-01-01,2002-12-31,ML
the '60s,DT NNP,PREFIX_REGEX_1 YEAR_REGEX_2,MODIFIER TIME,time_reference,"Frankie Valli, Romancing the '60s (Universal Motown, 2007)",0,77,== Discography == | === As sideman ===,30518067,,,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Frankie Valli, Romancing the '60s (Universal Motown, 2007)",0,77,== Discography == | === As sideman ===,30518067,2007-01-01,2007-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Fred Wesley, Comme Ci Comme Ca (Minor Music, 1991)",0,78,== Discography == | === As sideman ===,30518067,1991-01-01,1991-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Reuben Wilson, Azure Te (18th & Vine, 2009)",0,79,== Discography == | === As sideman ===,30518067,2009-01-01,2009-12-31,ML
