time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
3 February 1967,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Børge Petersen-Øverleir (born 3 February 1967 in Hemnesberget, Norway) is a Norwegian guitarist, raised in Bergen and Bodø, early active in heavy rock, autodidact in jazz centered around in Bodø.",0,0,,51191611,1967-02-03,1967-02-03,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,7,== Discography == | === Solo album ===,51191611,2007-01-01,2007-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,23,== Discography == | === Collaborations ===,51191611,2009-01-01,2009-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,1992:,0,24,== Discography == | === Collaborations ===,51191611,1992-01-01,1992-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,25,== Discography == | === Collaborations ===,51191611,1999-01-01,1999-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,26,== Discography == | === Collaborations ===,51191611,2000-01-01,2000-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,27,== Discography == | === Collaborations ===,51191611,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,28,== Discography == | === Collaborations ===,51191611,2002-01-01,2002-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,29,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,30,== Discography == | === Collaborations ===,51191611,2006-01-01,2006-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,31,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,32,== Discography == | === Collaborations ===,51191611,2009-01-01,2009-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997:,0,33,== Discography == | === Collaborations ===,51191611,1997-01-01,1997-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998:,0,34,== Discography == | === Collaborations ===,51191611,1998-01-01,1998-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000: Norwegian Mood (Kirkelig Kulturverksted),0,35,== Discography == | === Collaborations ===,51191611,2000-01-01,2000-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002: 11 Ubesvarte Anrop (Kirkelig Kulturverksted),0,36,== Discography == | === Collaborations ===,51191611,2002-01-01,2002-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003: You'd Have To Be Here (Kirkelig Kulturverksted),0,37,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,38,== Discography == | === Collaborations ===,51191611,2006-01-01,2006-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998:,0,39,== Discography == | === Collaborations ===,51191611,1998-01-01,1998-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,40,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,41,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"2007: Meditatus (), with Bodø Domkor",0,42,== Discography == | === Collaborations ===,51191611,2007-01-01,2007-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,43,== Discography == | === Collaborations ===,51191611,2012-01-01,2012-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"2003: False Smiles (19 Recordings, Polydor)",0,44,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"2003: Misfit (Polydor)With 'Northern Arc'2012: Northern Arc (Curling Legs)With other projects1989: Tang Mellom Tærn, Himmel I Håret (Nordland Teater), with Nordland Teater",0,45,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,1991:,0,46,== Discography == | === Collaborations ===,51191611,1991-01-01,1991-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,1992:,0,47,== Discography == | === Collaborations ===,51191611,1992-01-01,1992-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,1992:,0,48,== Discography == | === Collaborations ===,51191611,1992-01-01,1992-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,1993:,0,49,== Discography == | === Collaborations ===,51191611,1993-01-01,1993-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994:,0,50,== Discography == | === Collaborations ===,51191611,1994-01-01,1994-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994:,0,51,== Discography == | === Collaborations ===,51191611,1994-01-01,1994-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994,0,52,== Discography == | === Collaborations ===,51191611,1994-01-01,1994-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994:,0,53,== Discography == | === Collaborations ===,51191611,1994-01-01,1994-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995:,0,54,== Discography == | === Collaborations ===,51191611,1995-01-01,1995-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995:,0,55,== Discography == | === Collaborations ===,51191611,1995-01-01,1995-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995:,0,56,== Discography == | === Collaborations ===,51191611,1995-01-01,1995-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995:,0,57,== Discography == | === Collaborations ===,51191611,1995-01-01,1995-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995:,0,58,== Discography == | === Collaborations ===,51191611,1995-01-01,1995-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995:,0,59,== Discography == | === Collaborations ===,51191611,1995-01-01,1995-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995:,0,60,== Discography == | === Collaborations ===,51191611,1995-01-01,1995-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,61,== Discography == | === Collaborations ===,51191611,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,62,== Discography == | === Collaborations ===,51191611,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,63,== Discography == | === Collaborations ===,51191611,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Homeland (1996), with Line Thorstensen",1,63,== Discography == | === Collaborations ===,51191611,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,64,== Discography == | === Collaborations ===,51191611,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,65,== Discography == | === Collaborations ===,51191611,1996-01-01,1996-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997:,0,66,== Discography == | === Collaborations ===,51191611,1997-01-01,1997-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997:,0,67,== Discography == | === Collaborations ===,51191611,1997-01-01,1997-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997:,0,68,== Discography == | === Collaborations ===,51191611,1997-01-01,1997-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Så Skimrande Var Aldrig Havet (1997), with Elisabeth Andreassen",1,68,== Discography == | === Collaborations ===,51191611,1997-01-01,1997-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997:,0,69,== Discography == | === Collaborations ===,51191611,1997-01-01,1997-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,70,== Discography == | === Collaborations ===,51191611,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,71,== Discography == | === Collaborations ===,51191611,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,72,== Discography == | === Collaborations ===,51191611,1999-01-01,1999-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"2000: 7 (Polydor), with S Club 7",0,73,== Discography == | === Collaborations ===,51191611,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,74,== Discography == | === Collaborations ===,51191611,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,75,== Discography == | === Collaborations ===,51191611,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,76,== Discography == | === Collaborations ===,51191611,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,77,== Discography == | === Collaborations ===,51191611,2000-01-01,2000-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,78,== Discography == | === Collaborations ===,51191611,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,79,== Discography == | === Collaborations ===,51191611,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,80,== Discography == | === Collaborations ===,51191611,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Gull (2001), with Anita Skorgan",1,80,== Discography == | === Collaborations ===,51191611,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"2001: 2 Minutes Too Late (), with Lucy Street",0,81,== Discography == | === Collaborations ===,51191611,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,82,== Discography == | === Collaborations ===,51191611,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,83,== Discography == | === Collaborations ===,51191611,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"2001: 10 Sanger (), with Lars Martin Myhre",0,84,== Discography == | === Collaborations ===,51191611,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"2002: Lovin' is Easy (Polydor), with Hear'Say",0,85,== Discography == | === Collaborations ===,51191611,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"2002: Another Phase (Columbia), with Maria Mena",0,86,== Discography == | === Collaborations ===,51191611,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,87,== Discography == | === Collaborations ===,51191611,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,88,== Discography == | === Collaborations ===,51191611,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,89,== Discography == | === Collaborations ===,51191611,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,90,== Discography == | === Collaborations ===,51191611,2002-01-01,2002-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"2003: Sweet Dreams My L.A. Ex (Polydor), with Rachel Stevens",0,91,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"2003: Maria Arredondo (Universal), with Maria Arredondo",0,92,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"2003: Say It Isn't So (), with Gareth Gates",0,93,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"2003: Give Me A Reason (Polydor), with Triple Eight",0,94,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"2003: Mysteriet (Mysterri) Single (Epic), with Aki Sirkesalo & Lisa Nilsson",0,95,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,96,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,97,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,98,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,99,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"2003: Go Your Own Way (BMG UK & Ireland), with Gareth Gates",0,100,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"2003: Samlade Sånger 1992–2003 (Diesel Music, Sony Music), with Lisa Nilsson",0,101,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
1992–2003,CD,YEAR_REGEX_1,TIME,time_reference,"2003: Samlade Sånger 1992–2003 (Diesel Music, Sony Music), with Lisa Nilsson",0,101,== Discography == | === Collaborations ===,51191611,1992-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003: Lille Bille – Eva Trones Synger Barnesanger,0,102,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,103,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,104,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"2004: Killing Floor (), with Wiggo Johnsen",0,105,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,106,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"2004: Need To Know (), with Anne Hvidsten",0,107,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,108,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"2004: Not Going Under (Universal), with Maria Arredondo",0,109,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,110,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,111,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,112,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,113,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,114,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,115,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,116,== Discography == | === Collaborations ===,51191611,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,117,== Discography == | === Collaborations ===,51191611,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"2005: Apparently Unaffected (), with Maria Mena",0,118,== Discography == | === Collaborations ===,51191611,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,119,== Discography == | === Collaborations ===,51191611,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,120,== Discography == | === Collaborations ===,51191611,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,121,== Discography == | === Collaborations ===,51191611,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"2006: Receita Para A Vida (), with Claudio Latini",0,122,== Discography == | === Collaborations ===,51191611,2006-01-01,2006-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"2007: Tomorrow Only Knows (), with Alejandro Fuentes",0,123,== Discography == | === Collaborations ===,51191611,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,124,== Discography == | === Collaborations ===,51191611,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,125,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,126,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"2008: Cause and Effect (), with Maria Mena",0,127,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,128,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,129,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,130,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,131,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,132,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,133,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"2008: Tiden Går Altfor Fort (), with Kjell Widlund",0,134,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,135,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"2008: Måne Blek (), with Kjetil Saunes",0,136,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,137,== Discography == | === Collaborations ===,51191611,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,138,== Discography == | === Collaborations ===,51191611,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,139,== Discography == | === Collaborations ===,51191611,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,140,== Discography == | === Collaborations ===,51191611,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,141,== Discography == | === Collaborations ===,51191611,2009-01-01,2009-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,142,== Discography == | === Collaborations ===,51191611,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,143,== Discography == | === Collaborations ===,51191611,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Søt musikk (2010), with Inge Ulrik Gundersen",1,143,== Discography == | === Collaborations ===,51191611,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,144,== Discography == | === Collaborations ===,51191611,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,145,== Discography == | === Collaborations ===,51191611,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,146,== Discography == | === Collaborations ===,51191611,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"2010: Waiting for Daylight (), with a1",0,147,== Discography == | === Collaborations ===,51191611,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"2010: 20 – En Jubileumssamling (Sony Music), with Lisa Nilsson",0,148,== Discography == | === Collaborations ===,51191611,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"2010: Have Yourself A Merry Little Christmas (), with Kurt Nilsen",0,149,== Discography == | === Collaborations ===,51191611,2010-01-01,2010-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011,0,150,== Discography == | === Collaborations ===,51191611,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011:,0,151,== Discography == | === Collaborations ===,51191611,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011:,0,152,== Discography == | === Collaborations ===,51191611,2011-01-01,2011-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,153,== Discography == | === Collaborations ===,51191611,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,154,== Discography == | === Collaborations ===,51191611,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,155,== Discography == | === Collaborations ===,51191611,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,156,== Discography == | === Collaborations ===,51191611,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"2012: 1949 EP(), with Sveinar Heskestad",0,157,== Discography == | === Collaborations ===,51191611,2012-01-01,2012-12-31,ML
1949,CD,YEAR_REGEX_1,TIME,time_reference,"2012: 1949 EP(), with Sveinar Heskestad",0,157,== Discography == | === Collaborations ===,51191611,1949-01-01,1949-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013:,0,158,== Discography == | === Collaborations ===,51191611,2013-01-01,2013-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014:,0,159,== Discography == | === Collaborations ===,51191611,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014:,0,160,== Discography == | === Collaborations ===,51191611,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014:,0,161,== Discography == | === Collaborations ===,51191611,2014-01-01,2014-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"2015: Ingen Gör Det Bättre (Diesel Music), with Lisa Nilsson",0,162,== Discography == | === Collaborations ===,51191611,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015:,0,163,== Discography == | === Collaborations ===,51191611,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015:,0,164,== Discography == | === Collaborations ===,51191611,2015-01-01,2015-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,1988:,0,165,== Discography == | === Collaborations ===,51191611,1988-01-01,1988-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,1993:,0,166,== Discography == | === Collaborations ===,51191611,1993-01-01,1993-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,1993:,0,167,== Discography == | === Collaborations ===,51191611,1993-01-01,1993-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994:,0,168,== Discography == | === Collaborations ===,51191611,1994-01-01,1994-12-31,ML
1979–1994,CD,YEAR_REGEX_1,TIME,time_reference,Tiddelibom – Bodø Rockeklubb 1979–1994 (Bodø Rockeklubb),1,168,== Discography == | === Collaborations ===,51191611,1979-01-01,1994-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,169,== Discography == | === Collaborations ===,51191611,2000-01-01,2000-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,170,== Discography == | === Collaborations ===,51191611,2001-01-01,2001-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005: Venn (),0,171,== Discography == | === Collaborations ===,51191611,2005-01-01,2005-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008: Shockadelica – 50th Anniversary Tribute To The Artist Known As Prince (),0,172,== Discography == | === Collaborations ===,51191611,2008-01-01,2008-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,173,== Discography == | === Collaborations ===,51191611,2012-01-01,2012-12-31,ML
