time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
23 June 1981,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Antony Daniel Costa (born 23 June 1981) is an English singer-songwriter and actor.,0,0,,2822871,1981-06-23,1981-06-23,ML
3 September 2011,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,He has a sister Natalie and a brother Louis who appeared on The X Factor on 3 September 2011 and who was also in a group called The Chase  with former S Club 8 member Jay Asforis.,3,2,== Early life ==,2822871,2011-09-03,2011-09-03,ML
2000–2005,CD,YEAR_REGEX_1,TIME,time_reference,2000–2005:,1,5,== Career == | === 2000–2005: Career with Blue ===,2822871,2000-01-01,2005-12-31,ML
26 March 2008,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"His UK tour had eighteen dates, which started on 16 February 2008 at The Brindley, in Runcorn and finished on 26 March 2008 in Barrow in Furness.",3,10,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2008-03-26,2008-03-26,ML
late 2008,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,He modelled for Giorgio Armani in late 2008.,4,10,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2008-01-01,2008-12-31,ML
2006 and 2008,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"Costa has appeared twice on the BBC pop quiz Never Mind the Buzzcocks in 2006 and 2008 Costa played Jack in the 2009/2010 pantomime, Jack and the Beanstalk, in Ipswich.",5,10,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2006-01-01,2008-12-31,ML
the 2009/2010,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Costa has appeared twice on the BBC pop quiz Never Mind the Buzzcocks in 2006 and 2008 Costa played Jack in the 2009/2010 pantomime, Jack and the Beanstalk, in Ipswich.",5,10,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,,,ML
April and July 2010,NNP CC NNP CD,MONTH_REGEX LINKAGE_REGEX MONTH_REGEX YEAR_REGEX_1,TIME MODIFIER TIME TIME,time_reference,"Costa toured with the production Popstar: The Musical, playing the part of Cal between April and July 2010, at a series of theatres, across the UK.",6,10,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2010-04-01,2010-07-31,ML
18 September 2010,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Costa took part in a celebrity version of TV show Total Wipeout which aired on 18 September 2010.,7,10,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2010-09-18,2010-09-18,ML
2011–present,CD,YEAR_REGEX_1,TIME,time_reference,=== 2011–present: Return with Blue =,0,11,== Career == | === 2011–present: Return with Blue ===,2822871,2011-01-01,,ML
the 2011,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"The group represented the United Kingdom at the 2011 Eurovision Song Contest in Düsseldorf, Germany with the song ""I Can"" coming in 11th place with 100 points.",0,12,== Career == | === 2011–present: Return with Blue ===,2822871,2011-01-01,2011-12-31,ML
25 January 2013,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Blue released their fourth studio album, Roulette on 25 January 2013 with ""Hurt Lovers"" as the lead single.",1,12,== Career == | === 2011–present: Return with Blue ===,2822871,2013-01-25,2013-01-25,ML
21 February 2013,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 21 February 2013, it was confirmed that the group would be joining The Big Reunion in which six groups from the past reform for a one-off gig including Liberty X, Atomic Kitten and 5ive.",2,12,== Career == | === 2011–present: Return with Blue ===,2822871,2013-02-21,2013-02-21,ML
May 2013,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"From May 2013, the group will be touring the UK and Ireland with the other groups in The Big Reunion concert series.",3,12,== Career == | === 2011–present: Return with Blue ===,2822871,2013-05-01,2013-05-31,ML
27 March 2013,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 27 March 2013, the group announced they would embark on their first headlining tour later on in the year, their first tour in nearly ten years.",4,12,== Career == | === 2011–present: Return with Blue ===,2822871,2013-03-27,2013-03-27,ML
the year,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"On 27 March 2013, the group announced they would embark on their first headlining tour later on in the year, their first tour in nearly ten years.",4,12,== Career == | === 2011–present: Return with Blue ===,2822871,,,ML
nearly ten years,RB JJ NNS,PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,"On 27 March 2013, the group announced they would embark on their first headlining tour later on in the year, their first tour in nearly ten years.",4,12,== Career == | === 2011–present: Return with Blue ===,2822871,,,ML
April 2016,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In April 2016, Antony will join the cast of the musical Save The Last Dance For Me, playing the part of Milton, touring the UK until October 2016.",5,12,== Career == | === 2011–present: Return with Blue ===,2822871,2016-04-01,2016-04-30,ML
October 2016,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In April 2016, Antony will join the cast of the musical Save The Last Dance For Me, playing the part of Milton, touring the UK until October 2016.",5,12,== Career == | === 2011–present: Return with Blue ===,2822871,2016-10-01,2016-10-31,ML
