time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2008,CD,YEAR_REGEX_1,TIME,time_reference,"In 2008, Darken won an Academy of Country Music award for Musician Of The Year in the ""Specialty Instrument"" category.",0,5,== Biography == | === Awards ===,55670431,2008-01-01,2008-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003: Stacie Orrico - Stacie Orrico (Virgin),0,78,== Discography == | ==== 2003–2004 ====,55670431,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,79,== Discography == | ==== 2003–2004 ====,55670431,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,80,== Discography == | ==== 2003–2004 ====,55670431,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003: 4Him - Visible (Word /Curb/,0,81,== Discography == | ==== 2003–2004 ====,55670431,2003-01-01,2003-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,82,== Discography == | ==== 2003–2004 ====,55670431,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,83,== Discography == | ==== 2003–2004 ====,55670431,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,84,== Discography == | ==== 2003–2004 ====,55670431,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,85,== Discography == | ==== 2003–2004 ====,55670431,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,86,== Discography == | ==== 2003–2004 ====,55670431,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004: Megadeth - The System Has Failed (Sanctuary),0,87,== Discography == | ==== 2003–2004 ====,55670431,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,88,== Discography == | ==== 2003–2004 ====,55670431,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,89,== Discography == | ==== 2003–2004 ====,55670431,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,90,== Discography == | ==== 2003–2004 ====,55670431,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,91,== Discography == | ==== 2003–2004 ====,55670431,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,92,== Discography == | ==== 2003–2004 ====,55670431,2004-01-01,2004-12-31,ML
2005–2006,CD,YEAR_REGEX_1,TIME,time_reference,2005–2006,1,93,== Discography == | ==== 2005–2006 ====,55670431,2005-01-01,2006-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,94,== Discography == | ==== 2005–2006 ====,55670431,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005: Brooks & Dunn - Hillbilly Deluxe (Arista Nashville),0,95,== Discography == | ==== 2005–2006 ====,55670431,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,96,== Discography == | ==== 2005–2006 ====,55670431,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,97,== Discography == | ==== 2005–2006 ====,55670431,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,98,== Discography == | ==== 2005–2006 ====,55670431,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,99,== Discography == | ==== 2005–2006 ====,55670431,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,100,== Discography == | ==== 2005–2006 ====,55670431,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,101,== Discography == | ==== 2005–2006 ====,55670431,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,102,== Discography == | ==== 2005–2006 ====,55670431,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,103,== Discography == | ==== 2005–2006 ====,55670431,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,104,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,105,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,106,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,107,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,108,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,109,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,110,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,111,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,112,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006: Bob Seger - Face the Promise (Capitol),0,113,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006: Taylor Swift - Taylor Swift (Big Machine),0,114,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,115,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,116,== Discography == | ==== 2005–2006 ====,55670431,2006-01-01,2006-12-31,ML
2007–2009,CD,YEAR_REGEX_1,TIME,time_reference,2007–2009,1,117,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2009-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,118,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,119,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007: Brooks & Dunn - Cowboy Town (Arista Nashville),0,120,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,121,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,122,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,123,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,124,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,125,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,126,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,127,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,128,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,129,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,130,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,131,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,132,== Discography == | ==== 2007–2009 ====,55670431,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,133,== Discography == | ==== 2007–2009 ====,55670431,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,134,== Discography == | ==== 2007–2009 ====,55670431,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,135,== Discography == | ==== 2007–2009 ====,55670431,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,136,== Discography == | ==== 2007–2009 ====,55670431,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,137,== Discography == | ==== 2007–2009 ====,55670431,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,138,== Discography == | ==== 2007–2009 ====,55670431,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008: Kellie Pickler - Kellie Pickler (Sony BMG),0,139,== Discography == | ==== 2007–2009 ====,55670431,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,140,== Discography == | ==== 2007–2009 ====,55670431,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,141,== Discography == | ==== 2007–2009 ====,55670431,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,142,== Discography == | ==== 2007–2009 ====,55670431,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,143,== Discography == | ==== 2007–2009 ====,55670431,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,144,== Discography == | ==== 2007–2009 ====,55670431,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,145,== Discography == | ==== 2007–2009 ====,55670431,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,146,== Discography == | ==== 2007–2009 ====,55670431,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009: Taylor Swift - The Taylor Swift Holiday Collection (Big Machine),0,147,== Discography == | ==== 2007–2009 ====,55670431,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,148,== Discography == | ==== 2007–2009 ====,55670431,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,149,== Discography == | ==== 2007–2009 ====,55670431,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,150,== Discography == | ==== 2007–2009 ====,55670431,2009-01-01,2009-12-31,ML
2010–2012,CD,YEAR_REGEX_1,TIME,time_reference,2010–2012,1,151,== Discography == | ==== 2010–2012 ====,55670431,2010-01-01,2012-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,152,== Discography == | ==== 2010–2012 ====,55670431,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,153,== Discography == | ==== 2010–2012 ====,55670431,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,154,== Discography == | ==== 2010–2012 ====,55670431,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,155,== Discography == | ==== 2010–2012 ====,55670431,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010: Toby Keith - Bullets in the Gun (Show Dog Universal),0,156,== Discography == | ==== 2010–2012 ====,55670431,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,157,== Discography == | ==== 2010–2012 ====,55670431,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,158,== Discography == | ==== 2010–2012 ====,55670431,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,159,== Discography == | ==== 2010–2012 ====,55670431,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,160,== Discography == | ==== 2010–2012 ====,55670431,2010-01-01,2010-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011:,0,161,== Discography == | ==== 2010–2012 ====,55670431,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011:,0,162,== Discography == | ==== 2010–2012 ====,55670431,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011:,0,163,== Discography == | ==== 2010–2012 ====,55670431,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011:,0,164,== Discography == | ==== 2010–2012 ====,55670431,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011:,0,165,== Discography == | ==== 2010–2012 ====,55670431,2011-01-01,2011-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,166,== Discography == | ==== 2010–2012 ====,55670431,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,167,== Discography == | ==== 2010–2012 ====,55670431,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,168,== Discography == | ==== 2010–2012 ====,55670431,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,169,== Discography == | ==== 2010–2012 ====,55670431,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,170,== Discography == | ==== 2010–2012 ====,55670431,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,171,== Discography == | ==== 2010–2012 ====,55670431,2012-01-01,2012-12-31,ML
2013–2014,CD,YEAR_REGEX_1,TIME,time_reference,2013–2014,1,172,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2014-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013:,0,173,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013:,0,174,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013:,0,175,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013:,0,176,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013:,0,177,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013: John Fogerty - Wrote a Song for Everyone (Vanguard),0,178,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013: Toby Keith - Drinks After Work (Show Dog Universal),0,179,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013:,0,180,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013: Cassadee Pope - Frame by Frame (Republic Nashville),0,181,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013:,0,182,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2013-12-31,ML
