URI,support,types,entity,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section,entType,wikiPageID
http://dbpedia.org/resource/Richie_Furay,260,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Richie Furay,4,1.0,0.0,The Richie Furay band continued to tour through 2008 and 2009.,14,4,== Life and career ==,person,782651
http://dbpedia.org/resource/Jim_Messina_(musician),217,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Jim Messina,131,0.9677329722623118,0.0333423692057455,"At the Stagecoach Festival in Indio, California in 2009, Furay and the current Poco lineup were joined onstage by original members Jim Messina and George Grantham and former bass player Timothy B. Schmit, thus reuniting the Poco lineup that had achieved the most critical acclaim.",16,4,== Life and career ==,person,782651
http://dbpedia.org/resource/George_Gershwin,4430,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",George,147,0.9047935572117796,0.0578469213511848,"At the Stagecoach Festival in Indio, California in 2009, Furay and the current Poco lineup were joined onstage by original members Jim Messina and George Grantham and former bass player Timothy B. Schmit, thus reuniting the Poco lineup that had achieved the most critical acclaim.",16,4,== Life and career ==,person,782651
http://dbpedia.org/resource/Saint_Timothy,531,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q43115,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Cleric,DBpedia:Agent,DBpedia:Saint",Timothy,186,0.8822124015807384,0.1266719343986694,"At the Stagecoach Festival in Indio, California in 2009, Furay and the current Poco lineup were joined onstage by original members Jim Messina and George Grantham and former bass player Timothy B. Schmit, thus reuniting the Poco lineup that had achieved the most critical acclaim.",16,4,== Life and career ==,person,782651
http://dbpedia.org/resource/Saint_Stephen,1052,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q43115,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Cleric,DBpedia:Agent,DBpedia:Saint",Stephen,78,0.7676984134962058,0.1425894230152962,"On October 23, 2010, he reunited with surviving Buffalo Springfield bandmates Stephen Stills and Neil Young for a set at the 24th annual Bridge School Benefit at Shoreline Amphitheater in Mountain View, California.",17,4,== Life and career ==,person,782651
http://dbpedia.org/resource/Stephen_Stills,1056,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Stills,86,0.9999999999949978,4.984423251438616e-12,"On October 23, 2010, he reunited with surviving Buffalo Springfield bandmates Stephen Stills and Neil Young for a set at the 24th annual Bridge School Benefit at Shoreline Amphitheater in Mountain View, California.",17,4,== Life and career ==,person,782651
http://dbpedia.org/resource/Neil_Young,3867,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Neil Young,97,1.0,1.3145570095351448e-14,"On October 23, 2010, he reunited with surviving Buffalo Springfield bandmates Stephen Stills and Neil Young for a set at the 24th annual Bridge School Benefit at Shoreline Amphitheater in Mountain View, California.",17,4,== Life and career ==,person,782651
http://dbpedia.org/resource/Carla_Olson,108,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Carla Olson,32,1.0,0.0,"Furay appears on the April 2013 Carla Olson album, Have Harmony, Will Travel.",0,5,== Life and career ==,person,782651
http://dbpedia.org/resource/Richie_Furay,260,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Richie Furay,22,1.0,0.0,"On June 13, 2018, the Richie Furay Band began the ""Deliverin' Tour"" at the South Orange Performing Arts Center (SOPAC) in New Jersey.",0,6,== Life and career ==,person,782651
http://dbpedia.org/resource/Chris_Hillman,521,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Hillman,63,0.999999999916696,8.298576635327721e-11,"The first set consisted of Buffalo Springfield, Poco, Souther, Hillman & Furay Band and solo material, followed by a second set in which the classic 1971 Poco live album ""DeLIVErin'"" was performed in its entirety.",1,6,== Life and career ==,person,782651
