paragraph,paragraphIndex,section
"Mie Sonozaki (園崎 未恵, Sonozaki Mie, born February 7, 1973) is a Japanese actress, voice actress and singer from Tokyo, Japan. She is best known for her role as Arle Nadja in the long-running video game series, Puyo Puyo. She is also the official Japanese dubbing roles for Hayley Atwell, Elisha Cuthbert, Kirsten Dunst and many more.
",0,N/A
"== Filmography ==
",1,== Filmography ==
"Super Street Fighter IV (2010) (Crimson Viper)
",63,== Filmography == | === Video games ===
"Marvel vs. Capcom 3: Fate of Two Worlds (2011) (Crimson Viper)
",64,== Filmography == | === Video games ===
"Ace Combat: Assault Horizon (2011, Japanese version) (Janice Rehl)
",65,== Filmography == | === Video games ===
"Sly Cooper Collection (2011) (Carmelita Montoya Fox)
",66,== Filmography == | === Video games ===
"Ultimate Marvel vs. Capcom 3(2011) (Crimson Viper)
",67,== Filmography == | === Video games ===
"Final Fantasy XIII-2 (2011) (Jihl Nabaat)
",68,== Filmography == | === Video games ===
"Deus Ex: Human Revolution (2011) (Megan Reed)
",69,== Filmography == | === Video games ===
"Yakuza 5 (2012) (Mariko)
",70,== Filmography == | === Video games ===
"Bayonetta 2 (2014) (Jeanne)
",71,== Filmography == | === Video games ===
"Hyrule Warriors (2014) (Narration)
",72,== Filmography == | === Video games ===
"Far Cry 4 (2015) (Amita)
",73,== Filmography == | === Video games ===
"Street Fighter V (2016) (Crimson Viper)
",74,== Filmography == | === Video games ===
"Yakuza 6 (2016) (Mariko)
",75,== Filmography == | === Video games ===
"Granblue Fantasy (2017) (Ilsa)
",76,== Filmography == | === Video games ===
"Overwatch (2017) (Moira)
",77,== Filmography == | === Video games ===
"Pokémon Masters (2019) (Cynthia)
",78,== Filmography == | === Video games ===
"Arknights (2019) (FEater)
",79,== Filmography == | === Video games ===
"Another Eden (2019) (Bivette)
",80,== Filmography == | === Video games ===
"Nioh 2 (2020) (Oichi)
",81,== Filmography == | === Video games ===
"The Good Life (2021) (Naomi Hayward, Elizabeth Dickens, Pauline Atwood)
",82,== Filmography == | === Video games ===
"=== Dubbing roles ===
",83,== Filmography == | === Dubbing roles ===
"==== Live-action ====
",84,== Filmography == | ==== Live-action ====
"Hayley Atwell
",85,== Filmography == | ==== Live-action ====
"Captain America: The First Avenger (Peggy Carter)
",86,== Filmography == | ==== Live-action ====
"The Avengers (Peggy Carter)
",87,== Filmography == | ==== Live-action ====
"Captain America: The Winter Soldier (Peggy Carter)
",88,== Filmography == | ==== Live-action ====
"Avengers: Age of Ultron (Peggy Carter)
",89,== Filmography == | ==== Live-action ====
"Ant-Man (Peggy Carter)
",90,== Filmography == | ==== Live-action ====
"Agent Carter (Peggy Carter)
",91,== Filmography == | ==== Live-action ====
"Cinderella (Cinderella's Mother)
",92,== Filmography == | ==== Live-action ====
"Christopher Robin (Evelyn Robin)
",93,== Filmography == | ==== Live-action ====
"Avengers: Endgame (Peggy Carter)
",94,== Filmography == | ==== Live-action ====
"Elisha Cuthbert
",95,== Filmography == | ==== Live-action ====
"Popular Mechanics for Kids (Elisha Cuthbert)
",96,== Filmography == | ==== Live-action ====
"Lucky Girl (Kaitlyn Palmerston)
",97,== Filmography == | ==== Live-action ====
"24 (Kimberly Bauer)
",98,== Filmography == | ==== Live-action ====
"Lucky Girl (Kaitlyn Palmerston)
",99,== Filmography == | ==== Live-action ====
"The Girl Next Door (Danielle)
",100,== Filmography == | ==== Live-action ====
"House of Wax (Carly Jones)
",101,== Filmography == | ==== Live-action ====
"The Quiet (Nina Deer)
",102,== Filmography == | ==== Live-action ====
"Captivity (Jennifer Tree)
",103,== Filmography == | ==== Live-action ====
"Kirsten Dunst
",104,== Filmography == | ==== Live-action ====
"The Hairy Bird (Verena von Stefan)
",105,== Filmography == | ==== Live-action ====
"Elizabethtown (Claire Colburn)
",106,== Filmography == | ==== Live-action ====
"Marie Antoinette (Queen Marie Antoinette of France)
",107,== Filmography == | ==== Live-action ====
"Bachelorette (Regan Crawford)
",108,== Filmography == | ==== Live-action ====
"The Two Faces of January (Colette MacFarland)
",109,== Filmography == | ==== Live-action ====
"Hidden Figures (Vivian Mitchell)
",110,== Filmography == | ==== Live-action ====
"The Beguiled (Edwina Morrow)
",111,== Filmography == | ==== Live-action ====
"The Power of the Dog (Rose Gordon)
",112,== Filmography == | ==== Live-action ====
"Jordana Brewster
",113,== Filmography == | ==== Live-action ====
"Fast & Furious (Mia Toretto-O'Conner)
",114,== Filmography == | ==== Live-action ====
"Fast Five (Mia Toretto-O'Conner)
",115,== Filmography == | ==== Live-action ====
"Fast & Furious 6 (Mia Toretto-O'Conner)
",116,== Filmography == | ==== Live-action ====
"Furious 7 (Mia Toretto-O'Conner)
",117,== Filmography == | ==== Live-action ====
"Home Sweet Hell (Dusty)
",118,== Filmography == | ==== Live-action ====
"F9 (Mia Toretto)
",119,== Filmography == | ==== Live-action ====
"Kelly Reilly
",120,== Filmography == | ==== Live-action ====
"L'Auberge Espagnole (Wendy)
",121,== Filmography == | ==== Live-action ====
"Mrs Henderson Presents (Maureen)
",122,== Filmography == | ==== Live-action ====
"Sherlock Holmes (Mary Morstan)
",123,== Filmography == | ==== Live-action ====
"Sherlock Holmes: A Game of Shadows (Mary Watson)
",124,== Filmography == | ==== Live-action ====
"Heaven Is for Real (Sonja Burpo)
",125,== Filmography == | ==== Live-action ====
"Anne Hathaway
",126,== Filmography == | ==== Live-action ====
"Ella Enchanted (Netflix edition) (Ella of Frell)
",127,== Filmography == | ==== Live-action ====
"Becoming Jane (Jane Austen)
",128,== Filmography == | ==== Live-action ====
"The Dark Knight Rises (Selina Kyle/Catwoman)
",129,== Filmography == | ==== Live-action ====
"Interstellar (Amelia Brand)
",130,== Filmography == | ==== Live-action ====
"The Intern (Jules Ostin)
",131,== Filmography == | ==== Live-action ====
"Rose Byrne
",132,== Filmography == | ==== Live-action ====
"Adam (Beth Buchwald)
",133,== Filmography == | ==== Live-action ====
"Bridesmaids (Helen Harris III)
",134,== Filmography == | ==== Live-action ====
"Insidious (Renai Lambert)
",135,== Filmography == | ==== Live-action ====
"Insidious: Chapter 2 (Renai Lambert)
",136,== Filmography == | ==== Live-action ====
"13 Minutes (Else Härlen (Katharina Schüttler))
",137,== Filmography == | ==== Live-action ====
"500 Days of Summer (Autumn (Minka Kelly))
",138,== Filmography == | ==== Live-action ====
"Across the Universe (Lucy (Evan Rachel Wood))
",139,== Filmography == | ==== Live-action ====
"Adventureland (Em Lewin (Emily) (Kristen Stewart))
",140,== Filmography == | ==== Live-action ====
"The Aftermath (Rachael Morgan (Keira Knightley))
",141,== Filmography == | ==== Live-action ====
"Against the Dark (Dorothy (Jenna Harrison))
",142,== Filmography == | ==== Live-action ====
"American Dreamz (Sally Kendoo (Mandy Moore))
",143,== Filmography == | ==== Live-action ====
"Apple of My Eye (Caroline Andrews (Amy Smart))
",144,== Filmography == | ==== Live-action ====
"Armour of God (May Bannon (Lola Forner))
",145,== Filmography == | ==== Live-action ====
"Black Swan (Elizabeth ""Beth"" MacIntyre / The Dying Swan (Winona Ryder))
",146,== Filmography == | ==== Live-action ====
"Breach (Juliana O'Neill (Caroline Dhavernas))
",147,== Filmography == | ==== Live-action ====
"Brightburn (Tori Breyer (Elizabeth Banks))
",148,== Filmography == | ==== Live-action ====
"Burnt (Helene (Sienna Miller))
",149,== Filmography == | ==== Live-action ====
"The Chaser (Detective Oh Eun-shil (Park Hyo-joo))
",150,== Filmography == | ==== Live-action ====
"The Chorus (Count's Wife (Carole Weiss))
",151,== Filmography == | ==== Live-action ====
"Coherence (Emily (Emily Baldoni))
",152,== Filmography == | ==== Live-action ====
"Criminal Minds (Jennifer 'JJ' Jareau (A. J. Cook))
",153,== Filmography == | ==== Live-action ====
"CSI: NY (Lindsay Monroe-Messer (Anna Belknap))
",154,== Filmography == | ==== Live-action ====
"CZ12 (Coco (Yao Xingtong))
",155,== Filmography == | ==== Live-action ====
"The Deaths of Ian Stone (Jenny Walker (Christina Cole))
",156,== Filmography == | ==== Live-action ====
"Epic Movie (Lucy Pervertski (Jayma Mays))
",157,== Filmography == | ==== Live-action ====
"Flying Swords of Dragon Gate (Ling Yanqiu (Zhou Xun))
",158,== Filmography == | ==== Live-action ====
"G.I. Joe: The Rise of Cobra (Anastasia DeCobray / Baroness (Sienna Miller))
",159,== Filmography == | ==== Live-action ====
"Game of Thrones (Talisa Maegyr (Oona Chaplin))
",160,== Filmography == | ==== Live-action ====
"The Girl on the Train (Rachel Watson (Emily Blunt))
",161,== Filmography == | ==== Live-action ====
"Glass (Dr. Ellie Staple (Sarah Paulson))
",162,== Filmography == | ==== Live-action ====
"A Good Day to Die Hard (Lucy McClane (Mary Elizabeth Winstead))
",163,== Filmography == | ==== Live-action ====
"The Good Lie (Carrie Davis (Reese Witherspoon))
",164,== Filmography == | ==== Live-action ====
"The Great Magician (Liu Yin (Zhou Xun))
",165,== Filmography == | ==== Live-action ====
"Grey's Anatomy (Lexie Grey (Chyler Leigh))
",166,== Filmography == | ==== Live-action ====
"The Handmaid's Tale (Serena Joy Waterford (Yvonne Strahovski))
",167,== Filmography == | ==== Live-action ====
"He's Just Not That Into You (Gigi Phillips (Ginnifer Goodwin))
",168,== Filmography == | ==== Live-action ====
"Her (Amy (Amy Adams))
",169,== Filmography == | ==== Live-action ====
"Honey (Honey Daniels (Jessica Alba))
",170,== Filmography == | ==== Live-action ====
"How Do You Know (Lisa Jorgenson (Reese Witherspoon))
",171,== Filmography == | ==== Live-action ====
"I Feel Pretty (Avery LeClaire (Michelle Williams))
",172,== Filmography == | ==== Live-action ====
"Into the Blue (Amanda Collins (Ashley Scott))
",173,== Filmography == | ==== Live-action ====
"J. Edgar (Helen Gandy (Naomi Watts))
",174,== Filmography == | ==== Live-action ====
"The Jacket (Jackie Price (Keira Knightley))
",175,== Filmography == | ==== Live-action ====
"John Tucker Must Die (Kate Spencer (Brittany Snow))
",176,== Filmography == | ==== Live-action ====
"Joy Ride 2: Dead Ahead (Melissa Scott (Nicki Aycox))
",177,== Filmography == | ==== Live-action ====
"The King's Man (Polly (Gemma Arterton))
",178,== Filmography == | ==== Live-action ====
"Let the Right One In (Oskar Eriksson (Kåre Hedebrant))
",179,== Filmography == | ==== Live-action ====
"Live Free or Die Hard (Lucy McClane (Mary Elizabeth Winstead))
",180,== Filmography == | ==== Live-action ====
"Manchester by the Sea (Randi (Michelle Williams))
",181,== Filmography == | ==== Live-action ====
"The Muppets (Veronica (Rashida Jones))
",182,== Filmography == | ==== Live-action ====
"The Namesake (Maxine Ratcliffe (Jacinda Barrett))
",183,== Filmography == | ==== Live-action ====
"No Time to Die (Madeleine Swann (Léa Seydoux))
",184,== Filmography == | ==== Live-action ====
"Ocean's 8 (Tammy (Sarah Paulson))
",185,== Filmography == | ==== Live-action ====
"Once (Girl (Markéta Irglová))
",186,== Filmography == | ==== Live-action ====
"One Missed Call (Taylor Anthony (Ana Claudia Talancón))
",187,== Filmography == | ==== Live-action ====
"One Tree Hill (Peyton Sawyer (Hilarie Burton))
",188,== Filmography == | ==== Live-action ====
"Orange is the New Black (Piper Chapman (Taylor Schilling))
",189,== Filmography == | ==== Live-action ====
"Oz the Great and Powerful (Glinda (Michelle Williams))
",190,== Filmography == | ==== Live-action ====
"Painted Skin: The Resurrection (Xiao Wei (Zhou Xun))
",191,== Filmography == | ==== Live-action ====
"Priest (Priestess (Maggie Q))
",192,== Filmography == | ==== Live-action ====
"Push (Cassie Holmes (Dakota Fanning))
",193,== Filmography == | ==== Live-action ====
"A Quiet Place (Evelyn Abbott (Emily Blunt))
",194,== Filmography == | ==== Live-action ====
"A Quiet Place Part II (Evelyn Abbott (Emily Blunt))
",195,== Filmography == | ==== Live-action ====
"Race (Leni Riefenstahl (Carice van Houten))
",196,== Filmography == | ==== Live-action ====
"Rémi sans famille (Mrs. Barberin (Ludivine Sagnier))
",197,== Filmography == | ==== Live-action ====
"Salmon Fishing in the Yemen (Harriet Chetwode-Talbot (Emily Blunt))
",198,== Filmography == | ==== Live-action ====
"Scooby-Doo (Daphne Blake (Sarah Michelle Gellar))
",199,== Filmography == | ==== Live-action ====
"Scooby-Doo 2: Monsters Unleashed (Daphne Blake (Sarah Michelle Gellar))
",200,== Filmography == | ==== Live-action ====
"The Secret Life of Bees (Lily Owens (Dakota Fanning))
",201,== Filmography == | ==== Live-action ====
"Shooter (Julie Swagger (Shantel VanSanten))
",202,== Filmography == | ==== Live-action ====
"Skyline (Elaine (Scottie Thompson))
",203,== Filmography == | ==== Live-action ====
"Smallville (Lois Lane (Erica Durance))
",204,== Filmography == | ==== Live-action ====
"Southland Tales (Madeline Frost Santaros (Mandy Moore))
",205,== Filmography == | ==== Live-action ====
"Spectre (Dr. Madeleine Swann (Léa Seydoux))
",206,== Filmography == | ==== Live-action ====
"Stardust (Victoria Forester (Sienna Miller))
",207,== Filmography == | ==== Live-action ====
"Step Up: All In (Andie West (Briana Evigan))
",208,== Filmography == | ==== Live-action ====
"Stranger Things (Joyce Byers (Winona Ryder))
",209,== Filmography == | ==== Live-action ====
"This Is Us (Rebecca Pearson (Mandy Moore))
",210,== Filmography == | ==== Live-action ====
"The Time Traveler's Wife (Clare Abshire-DeTamble (Rachel McAdams))
",211,== Filmography == | ==== Live-action ====
"The Tomorrow War (Colonel Muri Forester (Yvonne Strahovski))
",212,== Filmography == | ==== Live-action ====
"Valentine's Day (Julia Fitzpatrick (Jennifer Garner))
",213,== Filmography == | ==== Live-action ====
"The Village (Ivy Walker (Bryce Dallas Howard))
",214,== Filmography == | ==== Live-action ====
"Walk the Line (Vivian Liberto (Ginnifer Goodwin))
",215,== Filmography == | ==== Live-action ====
"War (Kira Yanagawa (Devon Aoki))
",216,== Filmography == | ==== Live-action ====
"Water for Elephants (Marlena Rosenbluth (Reese Witherspoon))
",217,== Filmography == | ==== Live-action ====
"Wheels on Meals (Sylvia (Lola Forner))
",218,== Filmography == | ==== Live-action ====
"Yesterday (Ellie Appleton (Lily James))
",219,== Filmography == | ==== Live-action ====
"Young Goethe in Love (Lotte Buff (Miriam Stein))
",220,== Filmography == | ==== Live-action ====
"Younger (Liza Miller (Sutton Foster))
",221,== Filmography == | ==== Live-action ====
"==== Animation ====
",222,== Filmography == | ==== Animation ====
"American Dragon: Jake Long (Trixie Carter)
",223,== Filmography == | ==== Animation ====
"The Angry Birds Movie (Matilda)
",224,== Filmography == | ==== Animation ====
"Happy Feet (Gloria)
",225,== Filmography == | ==== Animation ====
"KaBlam! (Thundergirl)
",226,== Filmography == | ==== Animation ====
"Open Season (Giselle)
",227,== Filmography == | ==== Animation ====
"Open Season 2 (Giselle)
",228,== Filmography == | ==== Animation ====
"Open Season 3 (Giselle)
",229,== Filmography == | ==== Animation ====
"Sausage Party (Brenda Bunson)
",230,== Filmography == | ==== Animation ====
"Tangled: The Series (Cassandra)
",231,== Filmography == | ==== Animation ====
"Tinker Bell (Iridessa)
",232,== Filmography == | ==== Animation ====
"Tinker Bell and the Great Fairy Rescue (Iridessa)
",233,== Filmography == | ==== Animation ====
"Tinker Bell and the Lost Treasure (Iridessa)
",234,== Filmography == | ==== Animation ====
"WALL-E (Eve)
",235,== Filmography == | ==== Animation ====
"What If...? (Peggy Carter)
",236,== Filmography == | ==== Animation ====
"== References ==
",237,== References ==
"== External links ==
",238,== External links ==
"Official website (in Japanese)
",239,== External links ==
"Official agency profile (in Japanese)
",240,== External links ==
"Mie Sonozaki at GamePlaza-Haruka Voice Acting Database (in Japanese)
",241,== External links ==
"Mie Sonozaki at Hitoshi Doi's Seiyuu Database
",242,== External links ==
Mie Sonozaki  at Anime News Network's encyclopedia,243,== External links ==
