time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"August 7 , 1996","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Kim Seok-woo (born August 7, 1996), better known by his stage name Rowoon, is a South Korean singer, actor and model.",0,0,,60694427
2019,CD,YEAR_REGEX_1,TIME,time_reference,"He played his first leading role in 2019 MBC's television series, Extraordinary You.",2,0,,60694427
2013–2014,CD,YEAR_REGEX_1,TIME,time_reference,2013–2014:,1,2,== Career == | === 2013–2014: Pre-debut ===,60694427
"May 10 , 2019","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On May 10, 2019, Rowoon was featured in NC.",7,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
January 2020,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In January 2020, Rowoon was selected as the new model for makeup brand KLAVUU.",9,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
April,NNP,MONTH_REGEX,TIME,time_reference,"In April, it was revealed that he would be the voice of Branch in the Korean dub of the animated movie Trolls World Tour.",10,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
Later that month,RB DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"Later that month, Rowoon was selected as the new brand ambassador for Gong Cha Korea.",11,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
"May 25 , 2020","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On May 25, 2020, FNC Entertainment confirmed that Rowoon will star in upcoming JTBC drama She Would Never Know, based on the webtoon of the same name.",12,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
January 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,The drama began airing in January 2021.,13,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
"August 18 , 2020","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On August 18, 2020, it was announced that Rowoon was selected as the new brand ambassador for The North Face White Label 2020 Fall/Winter collection.",14,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
2020 Fall/Winter,CD NNP,YEAR_REGEX_1 SEASON_REGEX,TIME TIME,,"On August 18, 2020, it was announced that Rowoon was selected as the new brand ambassador for The North Face White Label 2020 Fall/Winter collection.",14,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
2021,CD,YEAR_REGEX_1,TIME,time_reference,"In 2021, Rowoon starred as the male lead in the Sageuk drama The King's Affection coming in September 2021",15,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
September 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In 2021, Rowoon starred as the male lead in the Sageuk drama The King's Affection coming in September 2021",15,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
"July 1 , 2021","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On July 1, 2021, Rowoon was selected as the new model for cosmetic brand Estée Lauder.",16,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
late 2021,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In late 2021, Rowoon became an MC for KBS Song Festival along with ASTRO's Cha Eun-woo and Kim Seol-hyun.",17,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
2022,CD,YEAR_REGEX_1,TIME,time_reference,"In 2022, Rowoon returns to the MBC fantasy drama Tomorrow, which is his return to MBC in three years, with Kim Hee-sun ,Lee Soo-hyuk and Yoon Ji-on.",18,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
Tomorrow,NNP,TIMELINE_REGEX,TIME,time_reference,"In 2022, Rowoon returns to the MBC fantasy drama Tomorrow, which is his return to MBC in three years, with Kim Hee-sun ,Lee Soo-hyuk and Yoon Ji-on.",18,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
three years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"In 2022, Rowoon returns to the MBC fantasy drama Tomorrow, which is his return to MBC in three years, with Kim Hee-sun ,Lee Soo-hyuk and Yoon Ji-on.",18,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
