URI,support,types,entity,offset,similarityScore,percentageOfSecondRank,entType,sentence,sentenceIndex,paragraphIndex,section,wikiPageID,timeEntityType
http://dbpedia.org/resource/Los_Angeles,123072.0,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Los Angeles,158.0,0.999980453701378,1.057368108112154e-05,place,"While singing on Dowling Street in Houston's Third Ward, which would become his home base, he was discovered by Lola Anne Cullum of Aladdin Records, based in Los Angeles.",1,4,== Life ==,298563,
http://dbpedia.org/resource/Woodrow_Wilson,6184.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician",Wilson,81.0,0.9589719189033056,0.032192753470584,person,"She convinced Hopkins to travel to Los Angeles, where he accompanied the pianist Wilson Smith.",2,4,== Life ==,298563,
http://dbpedia.org/resource/Los_Angeles,123072.0,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Los Angeles,35.0,0.9999633247161176,1.3241542579864151e-05,place,"She convinced Hopkins to travel to Los Angeles, where he accompanied the pianist Wilson Smith.",2,4,== Life ==,298563,
http://dbpedia.org/resource/Lightnin'_Slim,48.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Lightnin',94.0,0.999951352370342,2.0650461854638383e-05,person,"An Aladdin executive decided the pair needed more dynamism in their names and dubbed Hopkins ""Lightnin'"" and Wilson ""Thunder"".",4,4,== Life ==,298563,
http://dbpedia.org/resource/Woodrow_Wilson,6184.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician",Wilson,109.0,0.9958135308266032,0.0020418213949985,person,"An Aladdin executive decided the pair needed more dynamism in their names and dubbed Hopkins ""Lightnin'"" and Wilson ""Thunder"".",4,4,== Life ==,298563,
http://dbpedia.org/resource/Lightnin'_Slim,48.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Lightnin',94.0,0.999951352370342,2.0650461854638383e-05,person,"An Aladdin executive decided the pair needed more dynamism in their names and dubbed Hopkins ""Lightnin'"" and Wilson ""Thunder"".",4,4,== Life ==,298563,
http://dbpedia.org/resource/Houston,47736.0,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Houston,15.0,0.9977699908653798,0.0012141659048629,place,He returned to Houston and began recording for Gold Star Records.,1,5,== Life ==,298563,
http://dbpedia.org/resource/Texas,138942.0,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion",Texas,56.0,0.999557787066425,0.0003063047522240604,place,"In the late 1940s and 1950s he rarely performed outside Texas, only occasionally traveling to the Midwest and the East for recording sessions and concert appearances.",2,5,== Life ==,298563,
http://dbpedia.org/resource/Midwestern_United_States,6166.0,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement",Midwest,98.0,0.9998566583187578,0.00013872192329239725,place,"In the late 1940s and 1950s he rarely performed outside Texas, only occasionally traveling to the Midwest and the East for recording sessions and concert appearances.",2,5,== Life ==,298563,
http://dbpedia.org/resource/Houston,47736.0,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Houston,51.0,0.9998085635009644,0.00013252425483112863,place,"He performed regularly at nightclubs in and around Houston, particularly on Dowling Street, where he had been discovered by Aladdin.",4,5,== Life ==,298563,
