entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID,timeEntityType
person,http://dbpedia.org/resource/Roger_Bacon,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q4964182,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Philosopher","To commemorate the seven hundredth anniversary of Roger Bacon, Erskine wrote A Pageant of the Thirteenth Century, a biographical play which was produced at Columbia University and published as a book by Columbia University Press in 1914.",22,4,== Career ==,577.0,Roger Bacon,50.0,0.9999919241439374,7.6877874687884e-06,859482,
place,http://dbpedia.org/resource/Erskine,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","To commemorate the seven hundredth anniversary of Roger Bacon, Erskine wrote A Pageant of the Thirteenth Century, a biographical play which was produced at Columbia University and published as a book by Columbia University Press in 1914.",22,4,== Career ==,324.0,Erskine,63.0,0.9138313235537204,0.0554588727167857,859482,
person,http://dbpedia.org/resource/Charles_Ives,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",He was married twice to Pauline Ives (m. 1910–1945) and Helen Worden Erskine (m. 1946–1951).,0,6,== Personal life ==,1064.0,Ives,32.0,0.9596988943504698,0.0419934282705126,859482,
place,http://dbpedia.org/resource/Erskine,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement",He was married twice to Pauline Ives (m. 1910–1945) and Helen Worden Erskine (m. 1946–1951).,0,6,== Personal life ==,324.0,Erskine,71.0,0.9999966509488252,2.020697687843478e-06,859482,
place,http://dbpedia.org/resource/Worden_Park,http://dbpedia.org/ontology/Place,He was married twice to Pauline Ives (m. 1910–1945) and Helen Worden Erskine (m. 1946–1951).,0,6,== Personal life ==,,,,,,859482,
person,http://dbpedia.org/resource/Charles_Ives,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","With his wife Pauline (Ives), he was the grandfather of actress Lindsay Crouse and the great-grandfather of actress Zosia Mamet.",1,6,== Personal life ==,1064.0,Ives,23.0,0.9597954304111728,0.0347144918927478,859482,
person,http://dbpedia.org/resource/Lindsay_Crouse,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","With his wife Pauline (Ives), he was the grandfather of actress Lindsay Crouse and the great-grandfather of actress Zosia Mamet.",1,6,== Personal life ==,121.0,Lindsay Crouse,64.0,1.0,0.0,859482,
person,http://dbpedia.org/resource/Zosia_Mamet,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","With his wife Pauline (Ives), he was the grandfather of actress Lindsay Crouse and the great-grandfather of actress Zosia Mamet.",1,6,== Personal life ==,71.0,Zosia Mamet,116.0,1.0,0.0,859482,
place,http://dbpedia.org/resource/New_York_City,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","He died on June 2, 1951, in New York at the age of 71.",2,6,== Personal life ==,210990.0,New York,28.0,0.9376666997879544,0.0640409864310886,859482,
place,http://dbpedia.org/resource/Erskine,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","Erskine Place, a street in Co-op City in the New York City borough of The Bronx, was named after him.",0,7,== Personal life ==,324.0,Erskine,0.0,0.9441728637452846,0.0260089594385756,859482,
place,"http://dbpedia.org/resource/Co-op_City,_Bronx","Wikidata:Q486972,Schema:Place,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:CityDistrict","Erskine Place, a street in Co-op City in the New York City borough of The Bronx, was named after him.",0,7,== Personal life ==,263.0,Co-op City,27.0,0.99999995385764,0.0,859482,
place,http://dbpedia.org/resource/New_York_City,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","Erskine Place, a street in Co-op City in the New York City borough of The Bronx, was named after him.",0,7,== Personal life ==,210990.0,New York City,45.0,0.9999936928645304,3.158874262503842e-06,859482,
place,http://dbpedia.org/resource/The_Bronx,"Wikidata:Q486972,Schema:Place,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:CityDistrict","Erskine Place, a street in Co-op City in the New York City borough of The Bronx, was named after him.",0,7,== Personal life ==,12648.0,Bronx,74.0,0.9614331413111138,0.0397612692042034,859482,
place,http://dbpedia.org/resource/United_States,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",Leading American novelists (1910),0,12,== Bibliography ==,551746.0,American,8.0,0.9363876831514856,0.0646370643805282,859482,
place,http://dbpedia.org/resource/Erskine,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","Written English, with Helen Erskine (1910; revised edition, 1913)",0,13,== Bibliography ==,324.0,Erskine,28.0,0.7670826376556555,0.2785909249449158,859482,
person,http://dbpedia.org/resource/William_Wordsworth,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician","Poems of Wordsworth, Shelley, and Keats, with W. P. Trent (1914)",0,16,== Bibliography ==,2276.0,Wordsworth,9.0,0.9999999983911608,1.5802737711125455e-09,859482,
person,http://dbpedia.org/resource/Percy_Bysshe_Shelley,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer","Poems of Wordsworth, Shelley, and Keats, with W. P. Trent (1914)",0,16,== Bibliography ==,1915.0,Shelley,21.0,0.9999999945881086,2.1420214702523283e-09,859482,
place,http://dbpedia.org/resource/River_Trent,"Wikidata:Q47521,Wikidata:Q4022,Schema:RiverBodyOfWater,Schema:Place,Schema:BodyOfWater,DBpedia:Stream,DBpedia:Place,DBpedia:NaturalPlace,DBpedia:Location,DBpedia:BodyOfWater,DBpedia:River","Poems of Wordsworth, Shelley, and Keats, with W. P. Trent (1914)",0,16,== Bibliography ==,1460.0,Trent,52.0,0.6790673227617869,0.2511750453457298,859482,
person,http://dbpedia.org/resource/Lafcadio_Hearn,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer","Interpretations of Literature, by Lafcadio Hearn (edited and with an introduction by Erskine) (1915)",0,19,== Bibliography ==,282.0,Lafcadio Hearn,34.0,1.0,0.0,859482,
place,http://dbpedia.org/resource/Erskine,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","Interpretations of Literature, by Lafcadio Hearn (edited and with an introduction by Erskine) (1915)",0,19,== Bibliography ==,324.0,Erskine,85.0,0.8384444455499195,0.1386951858391809,859482,
person,http://dbpedia.org/resource/Lafcadio_Hearn,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer","Appreciations of Poetry, by Lafcadio Hearn (edited and with an introduction by Erskine) (1916)",0,20,== Bibliography ==,282.0,Lafcadio Hearn,28.0,1.0,0.0,859482,
place,http://dbpedia.org/resource/Erskine,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","Appreciations of Poetry, by Lafcadio Hearn (edited and with an introduction by Erskine) (1916)",0,20,== Bibliography ==,324.0,Erskine,79.0,0.961936622553766,0.0276813310675126,859482,
person,http://dbpedia.org/resource/Lafcadio_Hearn,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer","Life and Literature, by Lafcadio Hearn (edited and with an introduction by Erskine)(1917)",0,21,== Bibliography ==,282.0,Lafcadio Hearn,24.0,1.0,0.0,859482,
place,http://dbpedia.org/resource/Erskine,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","Life and Literature, by Lafcadio Hearn (edited and with an introduction by Erskine)(1917)",0,21,== Bibliography ==,324.0,Erskine,75.0,0.9404489125106538,0.0235448574529794,859482,
place,http://dbpedia.org/resource/Cambridge,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Short History of American Literature; Based Upon the Cambridge History of American Literature (1922),0,24,== Bibliography ==,19646.0,Cambridge,53.0,0.5584216393250667,0.7873643185360235,859482,
person,http://dbpedia.org/resource/American_literature,http://dbpedia.org/ontology/Person,Short History of American Literature; Based Upon the Cambridge History of American Literature (1922),0,24,== Bibliography ==,,,,,,859482,
