types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Syrian_occupation_of_Lebanon,Syrian occupation,144,19,1.0,0.0,2,7,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/House103544360,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/Housing103546340,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/Mansion103719053,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/Palace103878066,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/WikicatPalacesInLebanon,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/President_of_India,presidential ceremony,3487,152,0.9999999999875512,0.0,0,53,== Honors and awards == | === Honors ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/President_of_India,presidential ceremony,3487,152,0.9999999999875512,0.0,0,53,== Honors and awards == | === Honors ===
http://dbpedia.org/ontology/OfficeHolder,http://dbpedia.org/resource/President_of_India,presidential ceremony,3487,152,0.9999999999875512,0.0,0,53,== Honors and awards == | === Honors ===
