types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/ComputerCircuit103084420,http://dbpedia.org/resource/MOSIS,Mosis,35,15,0.9999999999994884,0.0,0,245,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/MOSIS,Mosis,35,15,0.9999999999994884,0.0,0,245,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/ElectricalDevice103269401,http://dbpedia.org/resource/MOSIS,Mosis,35,15,0.9999999999994884,0.0,0,245,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/MOSIS,Mosis,35,15,0.9999999999994884,0.0,0,245,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/IntegratedCircuit103577090,http://dbpedia.org/resource/MOSIS,Mosis,35,15,0.9999999999994884,0.0,0,245,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/MOSIS,Mosis,35,15,0.9999999999994884,0.0,0,245,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/MOSIS,Mosis,35,15,0.9999999999994884,0.0,0,245,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/MOSIS,Mosis,35,15,0.9999999999994884,0.0,0,245,== Works == | === Vocal works ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatAustrianFederalRailwaysSteamLocomotives,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatPolishStateRailwaysSteamLocomotives,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatDeutscheReichsbahn-GesellschaftLocomotives,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatLocomotivesOfPrussia,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatLocomotivesOfWürttemberg,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Container103094503,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Conveyance103100490,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Locomotive103684823,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Self-propelledVehicle104170037,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/SteamLocomotive104310018,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Tramway104469813,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Vehicle104524313,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WheeledVehicle104576211,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Wikicat2-10-0Locomotives,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatFreightLocomotives,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatSteamLocomotivesOfFrance,http://dbpedia.org/resource/Prussian_G_12,G 12,34,8,0.9999999999999716,0.0,0,260,== Works == | === Vocal works ===
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Il_pastor_fido,Il pastor fido,44,26,0.9999999093446986,9.06552992905386e-08,0,263,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatItalianPlays,http://dbpedia.org/resource/Il_pastor_fido,Il pastor fido,44,26,0.9999999093446986,9.06552992905386e-08,0,263,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatPlaysBasedOnGreekAndRomanWorks,http://dbpedia.org/resource/Il_pastor_fido,Il pastor fido,44,26,0.9999999093446986,9.06552992905386e-08,0,263,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Il_pastor_fido,Il pastor fido,44,26,0.9999999093446986,9.06552992905386e-08,0,263,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Il_pastor_fido,Il pastor fido,44,26,0.9999999093446986,9.06552992905386e-08,0,263,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Il_pastor_fido,Il pastor fido,44,26,0.9999999093446986,9.06552992905386e-08,0,263,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Il_pastor_fido,Il pastor fido,44,26,0.9999999093446986,9.06552992905386e-08,0,263,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/Il_pastor_fido,Il pastor fido,44,26,0.9999999093446986,9.06552992905386e-08,0,263,== Works == | === Vocal works ===
