types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/LiquidBodySubstance105397468,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Theory105989479,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Thinking105770926,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Typology101013971,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Process105701363,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/WikicatEmotions,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/WikicatBodyFluids,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
