types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Lexicographer110256080,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Linguist110264437,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Philologist110423225,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Scientist110560637,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Specialist110631941,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/WikicatEncyclopedists,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/WikicatFrenchEditors,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/WikicatFrenchEducationists,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/WikicatFrenchEncyclopedists,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/WikicatFrenchLexicographers,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/WikicatFrenchNon-fictionWriters,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/WikicatFrenchPeople,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/WikicatFrenchWriters,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
