types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Maker110284064,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Manufacturer110292316,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Pianist110430665,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Songwriter110624540,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatEurodiscoMusicians,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatSwedishComposers,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatSwedishMusicalTheatreComposers,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatSwedishMusicians,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatSwedishPopPianists,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatSwedishRecordProducers,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatSwedishSingers,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatSwedishSongwriters,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
