types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Helen_Glatz,Helen Glatz,5,102,1.0,0.0,2,4,== Biography == | === Early life ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lawrence_Batley,Lawrence Batley,15,282,1.0,0.0,0,18,== Biography == | === Legacy ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Lawrence_Batley,Lawrence Batley,15,282,1.0,0.0,0,18,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Lawrence_Batley,Lawrence Batley,15,282,1.0,0.0,0,18,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Lawrence_Batley,Lawrence Batley,15,282,1.0,0.0,0,18,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Lawrence_Batley,Lawrence Batley,15,282,1.0,0.0,0,18,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Lawrence_Batley,Lawrence Batley,15,282,1.0,0.0,0,18,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Lawrence_Batley,Lawrence Batley,15,282,1.0,0.0,0,18,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Lawrence_Batley,Lawrence Batley,15,282,1.0,0.0,0,18,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Lawrence_Batley,Lawrence Batley,15,282,1.0,0.0,0,18,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Lawrence_Batley,Lawrence Batley,15,282,1.0,0.0,0,18,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Lawrence_Batley,Lawrence Batley,15,282,1.0,0.0,0,18,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/WikicatPeopleFromHuddersfield,http://dbpedia.org/resource/Lawrence_Batley,Lawrence Batley,15,282,1.0,0.0,0,18,== Biography == | === Legacy ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Golddiggers,The Golddiggers,24,0,1.0,0.0,0,23,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/WikicatAmericanVocalGroups,http://dbpedia.org/resource/The_Golddiggers,The Golddiggers,24,0,1.0,0.0,0,23,== Discography == | === Solo albums ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/The_Golddiggers,The Golddiggers,24,0,1.0,0.0,0,23,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Golddiggers,The Golddiggers,24,0,1.0,0.0,0,23,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/The_Golddiggers,The Golddiggers,24,0,1.0,0.0,0,23,== Discography == | === Solo albums ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Woof_(label),Woof Records,30,218,0.99999999557582,0.0,0,49,== Discography == | === Band and collaborative albums ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Woof_(label),Woof Records,30,218,0.99999999557582,0.0,0,49,== Discography == | === Band and collaborative albums ===
http://dbpedia.org/class/yago/WikicatBritishRecordLabels,http://dbpedia.org/resource/Woof_(label),Woof Records,30,218,0.99999999557582,0.0,0,49,== Discography == | === Band and collaborative albums ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Woof_(label),Woof Records,30,218,0.99999999557582,0.0,0,49,== Discography == | === Band and collaborative albums ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Woof_(label),Woof Records,30,218,0.99999999557582,0.0,0,49,== Discography == | === Band and collaborative albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Woof_(label),Woof Records,30,218,0.99999999557582,0.0,0,49,== Discography == | === Band and collaborative albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Woof_(label),Woof Records,30,218,0.99999999557582,0.0,0,49,== Discography == | === Band and collaborative albums ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Woof_(label),Woof Records,30,218,0.99999999557582,0.0,0,49,== Discography == | === Band and collaborative albums ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Woof_(label),Woof Records,30,218,0.99999999557582,0.0,0,49,== Discography == | === Band and collaborative albums ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Woof_(label),Woof Records,30,218,0.99999999557582,0.0,0,49,== Discography == | === Band and collaborative albums ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Woof_(label),Woof Records,30,218,0.99999999557582,0.0,0,49,== Discography == | === Band and collaborative albums ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Woof_(label),Woof Records,30,218,0.99999999557582,0.0,0,49,== Discography == | === Band and collaborative albums ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Creative_Works_Records,Creative Works Records,24,243,0.9999999999999432,0.0,0,50,== Discography == | === Band and collaborative albums ===
