types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Sport,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/EndProduct103287178,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/Movie106613686,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/Oeuvre103841417,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
