types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatPhysicalPhenomena,http://dbpedia.org/resource/Kondo_effect,Kondo,65,0,0.6495139336600816,0.5393726436873942,0,3,== Biography == | === Early life ===
http://umbel.org/umbel/rc/SoftwareObject,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/ComputerGame100458890,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Game100430606,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Wikicat1990VideoGames,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatFlightSimulationVideoGames,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatNintendo3DSGames,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatNintendo64Games,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatNintendoGames,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatParachutingVideoGames,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatSuperNESGames,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatSuperNintendoEntertainmentSystemGames,http://dbpedia.org/resource/Pilotwings,Pilotwings,63,102,1.0,2.7470947682531604e-15,21,6,== Biography == | === Career ===
