types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Psychopathology,Psychopathology,726,147,0.9999999897331976,0.0,20,12,== Biography == | === King Missile ===
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Psychopathology,Psychopathology,726,147,0.9999999897331976,0.0,20,12,== Biography == | === King Missile ===
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Pickaxe,Pickaxe,283,214,0.9999999964211952,0.0,0,20,== Biography == | === Dominant themes of work ===
http://dbpedia.org/class/yago/WikicatBaronetcies,http://dbpedia.org/resource/Boileau_baronets,Boileau,11,51,0.923857540979085,0.0697676505879795,3,25,== Biography == | === Stage name ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Boileau_baronets,Boileau,11,51,0.923857540979085,0.0697676505879795,3,25,== Biography == | === Stage name ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Boileau_baronets,Boileau,11,51,0.923857540979085,0.0697676505879795,3,25,== Biography == | === Stage name ===
http://dbpedia.org/class/yago/Baronetcy114432623,http://dbpedia.org/resource/Boileau_baronets,Boileau,11,51,0.923857540979085,0.0697676505879795,3,25,== Biography == | === Stage name ===
http://dbpedia.org/class/yago/Rank114429985,http://dbpedia.org/resource/Boileau_baronets,Boileau,11,51,0.923857540979085,0.0697676505879795,3,25,== Biography == | === Stage name ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Boileau_baronets,Boileau,11,51,0.923857540979085,0.0697676505879795,3,25,== Biography == | === Stage name ===
http://dbpedia.org/class/yago/Status113945919,http://dbpedia.org/resource/Boileau_baronets,Boileau,11,51,0.923857540979085,0.0697676505879795,3,25,== Biography == | === Stage name ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Francis_Richard_Hall,Francis Hall,26,29,0.9999964688480634,3.530867534397239e-06,0,32,== Biography == | === Family ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Francis_Richard_Hall,Francis Hall,26,29,0.9999964688480634,3.530867534397239e-06,0,32,== Biography == | === Family ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/WikicatAmericanMaleWriters,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/WikicatAmericanPoets,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/WikicatAmericanRecordProducers,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/WikicatPeopleFromManhattan,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/Maker110284064,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/Manufacturer110292316,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Faceboy,Faceboy,16,59,0.9999999999992326,0.0,0,32,== Biography == | === Family ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Postmodern_literature,postmodern,317,136,0.6559538011920045,0.5180582936929963,1,34,== Biography == | === References in popular culture ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Postmodern_literature,postmodern,317,136,0.6559538011920045,0.5180582936929963,1,34,== Biography == | === References in popular culture ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Postmodern_literature,postmodern,317,136,0.6559538011920045,0.5180582936929963,1,34,== Biography == | === References in popular culture ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Postmodern_literature,postmodern,317,136,0.6559538011920045,0.5180582936929963,1,34,== Biography == | === References in popular culture ===
http://dbpedia.org/class/yago/WikicatLiteraryMovements,http://dbpedia.org/resource/Postmodern_literature,postmodern,317,136,0.6559538011920045,0.5180582936929963,1,34,== Biography == | === References in popular culture ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Postmodern_literature,postmodern,317,136,0.6559538011920045,0.5180582936929963,1,34,== Biography == | === References in popular culture ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Postmodern_literature,postmodern,317,136,0.6559538011920045,0.5180582936929963,1,34,== Biography == | === References in popular culture ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Postmodern_literature,postmodern,317,136,0.6559538011920045,0.5180582936929963,1,34,== Biography == | === References in popular culture ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Postmodern_literature,postmodern,317,136,0.6559538011920045,0.5180582936929963,1,34,== Biography == | === References in popular culture ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Postmodern_literature,postmodern,317,136,0.6559538011920045,0.5180582936929963,1,34,== Biography == | === References in popular culture ===
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/Postmodern_literature,postmodern,317,136,0.6559538011920045,0.5180582936929963,1,34,== Biography == | === References in popular culture ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Postmodern_literature,postmodern,317,136,0.6559538011920045,0.5180582936929963,1,34,== Biography == | === References in popular culture ===
