types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Philosopher110423589,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/ReligiousPerson109628382,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatHindiPoets,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatHinduSaints,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatIndianPeople,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatIndianPhilosophers,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatIndianPoets,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/ontology/Philosopher,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Saint110546850,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Wikicat15th-centuryIndianPeople,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Wikicat15th-centuryPhilosophers,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Wikicat16th-centuryPhilosophers,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatPeopleFromVaranasi,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://umbel.org/umbel/rc/Artist,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://umbel.org/umbel/rc/PersonWithOccupation,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://umbel.org/umbel/rc/Writer,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
