types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Soloist110623650,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Teacher110694258,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatEnglishBalletDancers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatFrenchBalletDancers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatGermanBallerinas,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatNewYorkCityBalletDancers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatNewYorkCityBalletDiamondProjectChoreographers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatNewYorkCityBalletPrincipalDancers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatNewYorkCityBalletSoloists,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatPacificNorthwestBalletPrincipalDancers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatSpanishBalletDancers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatUkrainianBallerinas,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
