types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Dancing100428270,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Discipline105996646,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Display106887726,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/HumanisticDiscipline106153846,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/KnowledgeDomain105999266,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Opera107026352,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Performance106891493,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/PerformingArts106157326,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Premiere106893285,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Presentation106891022,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Production107006951,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/StageDancing100528397,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Wikicat1909Operas,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Wikicat1914BalletPremieres,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Wikicat20th-centuryOperas,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/WikicatOperasBasedOnWorksByAleksandrPushkin,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/WikicatOperasByNikolaiRimsky-Korsakov,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
