types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Politician110450303,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Reformer110515194,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Scientist110560637,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/SocialScientist110619642,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Sociologist110620758,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/WikicatFeminists,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/WikicatGermanDemocraticPartyPoliticians,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/WikicatGermanFeminists,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/WikicatGermanSociologists,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
