types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/HockeyTeam,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatBaysOfDevon,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatBaysOfDorset,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatBaysOfEngland,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Bay109215664,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/BodyOfWater109225146,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Ocean109376198,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Region108630039,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Thing100002452,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatNaturalRegionsOfEngland,http://dbpedia.org/resource/Lyme_Bay,Lyme Bay,107,21,0.99999999999973,0.0,0,22,== Discography == | === Guest appearances ===
