types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Missouri_Tigers_men's_basketball,Missouri,567,30,0.7255225678189847,0.3770970559539714,0,5,== Career == | === 1936–44 ===
http://dbpedia.org/class/yago/WikicatAmericanJazzSingers,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/WikicatVee-JayRecordsArtists,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Just_Got_Lucky,Just Got Lucky,13,0,0.998705846694495,0.001295830308579,0,68,== Discography == | === As sideman ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/Just_Got_Lucky,Just Got Lucky,13,0,0.998705846694495,0.001295830308579,0,68,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Just_Got_Lucky,Just Got Lucky,13,0,0.998705846694495,0.001295830308579,0,68,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Just_Got_Lucky,Just Got Lucky,13,0,0.998705846694495,0.001295830308579,0,68,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Just_Got_Lucky,Just Got Lucky,13,0,0.998705846694495,0.001295830308579,0,68,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Just_Got_Lucky,Just Got Lucky,13,0,0.998705846694495,0.001295830308579,0,68,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Just_Got_Lucky,Just Got Lucky,13,0,0.998705846694495,0.001295830308579,0,68,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Just_Got_Lucky,Just Got Lucky,13,0,0.998705846694495,0.001295830308579,0,68,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Wikicat1983Singles,http://dbpedia.org/resource/Just_Got_Lucky,Just Got Lucky,13,0,0.998705846694495,0.001295830308579,0,68,== Discography == | === As sideman ===
