types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatSwissSingers,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatTibetan-languageSingers,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatTibetanMusicians,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatTibetanPeople,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatTibetanWomen,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatWomen,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatWorldMusicSingers,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
