types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Improvement100248977,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/WikicatAmericanInventions,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/WikicatBallGames,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/ontology/Food,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/WikicatChildren'sGames,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/AthleticGame100463246,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/BallGame100471437,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/FieldGame100467719,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Game100455599,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Invention105633385,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/OutdoorGame100464651,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Sport100523513,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/TeamSport100887544,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/WikicatTeamSports,http://dbpedia.org/resource/Wiffle_ball,Wiffle ball,80,10,1.0,0.0,19,9,== Biography == | === Dunhill Records ===
