types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Organist110382825,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Player110439851,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Wikicat16th-centuryComposers,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Wikicat16th-centuryEnglishPeople,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Wikicat16th-centuryMusicians,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Wikicat17th-centuryEnglishPeople,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Wikicat17th-centuryMusicians,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/WikicatEnglishComposers,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
