types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatTreatiesOfIceland,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfIreland,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfIsrael,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfItaly,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfIvoryCoast,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfJamaica,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfJapan,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfJordan,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfKazakhstan,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfKuwait,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfLatvia,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfLebanon,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfLesotho,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfLiberia,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfLuxembourg,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfMadagascar,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfMalawi,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfMali,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfMalta,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfMauritania,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfMauritius,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfMexico,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfMoldova,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfMonaco,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfMongolia,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfMontenegro,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfMorocco,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfNauru,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfNepal,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfNewZealand,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfNicaragua,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfNiger,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfNigeria,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfNorthKorea,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfNorway,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfOman,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfPakistan,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfPalau,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfPanama,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfParaguay,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfQatar,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfRwanda,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSanMarino,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSenegal,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSerbiaAndMontenegro,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSeychelles,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSingapore,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSlovakia,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSlovenia,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSouthKorea,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSuriname,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSwaziland,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSweden,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSwitzerland,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfSyria,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfThailand,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheBahamas,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheCookIslands,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheCzechRepublic,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheDominionOfCeylon,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheEstadoNovo(Portugal),http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheEthiopianEmpire,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheFederationOfMalaya,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheFrenchFourthRepublic,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheHungarianPeople'sRepublic,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheKingdomOfAfghanistan,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheKingdomOfEgypt,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheKingdomOfGreece,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
http://dbpedia.org/class/yago/WikicatTreatiesOfTheKingdomOfIraq,http://dbpedia.org/resource/Freedoms_of_the_air,open skies,188,6,0.9999999739582964,0.0,1,20,== Selected discography == | === Luther Grosvenor ===
