types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/WikicatHistoriansOfEconomicThought,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Scientist110560637,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/SocialScientist110619642,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Sociologist110620758,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/WikicatAcademicsOfTheUniversityOfCambridge,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/WikicatAcademicsOfTheUniversityOfEdinburgh,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/WikicatAcademicsOfTheVictoriaUniversityOfManchester,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/WikicatAlumniOfTheLondonSchoolOfEconomics,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
