types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Revolutionist110527334,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Socialist110618848,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/WikicatFrenchAnarchists,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/WikicatFrenchPoliticalPhilosophers,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/WikicatRevolutionaries,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/WikicatSwissAnarchists,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/WikicatSwissPeople,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/WikicatSwissWriters,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
