types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/Actor109765278,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/Wikicat20th-centuryActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/Wikicat20th-centuryEnglishMaleActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatEnglishActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatEnglishFilmActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatEnglishMaleFilmActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatEnglishMaleStageActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatEnglishMaleTelevisionActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatEnglishMaleVoiceActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatPeopleFromCheltenham,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatStageActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
