types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Pianist110430665,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Student110665698,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Traveler109629752,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Wikicat18th-centuryClassicalComposers,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Wikicat18th-centuryComposers,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Wikicat18th-centuryGermanPeople,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatGermanClassicalComposers,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatGermanComposers,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatGermanExpatriatesInEngland,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatGermanMusicians,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatGermanPianists,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatOperaComposers,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
