types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/PopularMusic107059255,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/TorchSong107053884,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Wikicat2009Films,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatFilmsBasedOnSongs,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatFolkSongs,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatFrenchFolkSongs,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatFrenchSongs,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatTorchSongs,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/WikicatAlphabets,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Algorithm105847438,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Alphabet106497459,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/CharacterSet106488880,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Database106637824,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Information106634376,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/List106481320,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Orthography106351202,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Procedure101023820,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Rule105846932,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/Script106351613,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/SortingAlgorithm105847658,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
http://dbpedia.org/class/yago/WikicatSortingAlgorithms,http://dbpedia.org/resource/Alphabetical_order,Alphabetical order,532,1,0.9999999999923616,0.0,0,37,== Discography == | === Songs ===
