types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAmigaGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://umbel.org/umbel/rc/ComputerGameProgram,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://umbel.org/umbel/rc/SoftwareObject,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatMacOSGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatMobileGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatSegaGameGearGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/ComputerGame100458890,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/Game100430606,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/Wikicat1986VideoGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatGameBoyAdvanceGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatGameBoyColorGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatGameBoyGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatNintendoDSGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatNintendoEntertainmentSystemGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatSuperNESGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatSuperNintendoEntertainmentSystemGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatUbisoftEntertainmentGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
