types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/WikicatPeopleFromConnecticut,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/WikicatSongwritersFromConnecticut,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/WikicatUndergroundRailroadPeople,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Wikicat3rd-centuryBCGreekPeople,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Wikicat3rd-centuryBCPoets,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Wikicat3rd-centuryBCWomen,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Wikicat3rd-centuryBCWomenWriters,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/WikicatAncientGreekElegiacPoets,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/WikicatAncientGreekEpicPoets,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/WikicatAncientGreekLyricPoets,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/WikicatAncientGreekWomenWriters,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/WikicatGreekWomenPoets,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/WikicatWomen,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Moero,Moero,6,52,0.99999904450158,0.0,4,13,== Career == | === 2004–2006 ===
