types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/Area108497294,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/Capital108518505,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/Center108523483,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/City108524735,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/Municipality108626283,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/ProvincialCapital108695198,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/Seat108647945,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/class/yago/UrbanArea108675967,http://dbpedia.org/resource/Ilagan,Ilagan,213,183,0.9999999835525274,1.0330876875812581e-08,2,7,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Canon_(fiction),fan theory,1221,141,0.99999987258719,0.0,2,8,== Career == | ==== 1994–1998: Rivermaya ====
http://dbpedia.org/ontology/ChemicalCompound,http://dbpedia.org/resource/Canon_(fiction),fan theory,1221,141,0.99999987258719,0.0,2,8,== Career == | ==== 1994–1998: Rivermaya ====
