types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/HumanRight105176846,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/WikicatHumanRights,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/WikicatMassacres,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Right105174653,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Saying107151380,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Slaughter100223983,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Speech107109196,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Termination100209943,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Transgression100745005,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/WarCrime100782518,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/WikicatCrimes,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/WikicatEuphemisms,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/WikicatWarCrimes,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Wrongdoing100732746,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
