types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/WikicatMythologicalQueens,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/Aristocrat109807754,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/FemaleAristocrat110083823,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/Hero110325013,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/Queen110499355,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/Ruler110541229,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/Warrior110768585,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/WikicatSwedishQueens,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Dragaredokko,Dragaredokko,3,0,0.7523396668447232,0.0,0,29,== Selected works == | === Stage ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Dragaredokko,Dragaredokko,3,0,0.7523396668447232,0.0,0,29,== Selected works == | === Stage ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Dragaredokko,Dragaredokko,3,0,0.7523396668447232,0.0,0,29,== Selected works == | === Stage ===
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/Dragaredokko,Dragaredokko,3,0,0.7523396668447232,0.0,0,29,== Selected works == | === Stage ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Dragaredokko,Dragaredokko,3,0,0.7523396668447232,0.0,0,29,== Selected works == | === Stage ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Dragaredokko,Dragaredokko,3,0,0.7523396668447232,0.0,0,29,== Selected works == | === Stage ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Dragaredokko,Dragaredokko,3,0,0.7523396668447232,0.0,0,29,== Selected works == | === Stage ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Dragaredokko,Dragaredokko,3,0,0.7523396668447232,0.0,0,29,== Selected works == | === Stage ===
http://dbpedia.org/class/yago/Opera107026352,http://dbpedia.org/resource/Dragaredokko,Dragaredokko,3,0,0.7523396668447232,0.0,0,29,== Selected works == | === Stage ===
http://dbpedia.org/class/yago/Wikicat1940Operas,http://dbpedia.org/resource/Dragaredokko,Dragaredokko,3,0,0.7523396668447232,0.0,0,29,== Selected works == | === Stage ===
http://dbpedia.org/class/yago/WikicatNorwegian-languageOperas,http://dbpedia.org/resource/Dragaredokko,Dragaredokko,3,0,0.7523396668447232,0.0,0,29,== Selected works == | === Stage ===
http://dbpedia.org/class/yago/WikicatOperas,http://dbpedia.org/resource/Dragaredokko,Dragaredokko,3,0,0.7523396668447232,0.0,0,29,== Selected works == | === Stage ===
