types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Nik_Kozub,Nik Kozub,12,45,1.0,0.0,1,7,== Career == | === Veal ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/John_Bottomley,John Bottomley,10,143,1.0,0.0,0,18,== Career == | === Session and touring work for other artists ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/John_Bottomley,John Bottomley,10,143,1.0,0.0,0,18,== Career == | === Session and touring work for other artists ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/John_Bottomley,John Bottomley,10,143,1.0,0.0,0,18,== Career == | === Session and touring work for other artists ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/John_Bottomley,John Bottomley,10,143,1.0,0.0,0,18,== Career == | === Session and touring work for other artists ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/John_Bottomley,John Bottomley,10,143,1.0,0.0,0,18,== Career == | === Session and touring work for other artists ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/John_Bottomley,John Bottomley,10,143,1.0,0.0,0,18,== Career == | === Session and touring work for other artists ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/John_Bottomley,John Bottomley,10,143,1.0,0.0,0,18,== Career == | === Session and touring work for other artists ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/John_Bottomley,John Bottomley,10,143,1.0,0.0,0,18,== Career == | === Session and touring work for other artists ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/John_Bottomley,John Bottomley,10,143,1.0,0.0,0,18,== Career == | === Session and touring work for other artists ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/John_Bottomley,John Bottomley,10,143,1.0,0.0,0,18,== Career == | === Session and touring work for other artists ===
