types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Violinist110754578,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Wikicat18th-centuryCzechPeople,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatGermanClassicalComposers,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatGermanClassicalViolinists,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatGermanComposers,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatGermanViolinists,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatPeopleFromBenátkyNadJizerou,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
