types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/Politician110450303,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/Serviceman110582746,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/Traveler109629752,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/Wikicat19th-centuryGermanPeople,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatGermanExpatriatesInSpain,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatGermanPeopleOfAustrianDescent,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatGermanPeopleOfCzechDescent,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatGermanPoliticians,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatPeopleFromHradecNadMoravicí,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
