types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Cricketer,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/ontology/RouteOfTransportation,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatClassicalSitesInJerusalem,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatMedievalSitesInJerusalem,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Passage103895293,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Passageway103895585,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Tunnel104497962,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Way104564698,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatTunnels,http://dbpedia.org/resource/Western_Wall_Tunnel,Western Wall Tunnel,53,58,1.0,0.0,4,43,== Personal life == | === Religion ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/75th_Golden_Globe_Awards,75th Golden Globe Awards,94,69,1.0,0.0,2,53,== Personal life == | === Rape allegation ===
http://dbpedia.org/ontology/Website,http://dbpedia.org/resource/Anonymous_blog,anonymous blog,59,168,1.0,0.0,2,53,== Personal life == | === Rape allegation ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Anonymous_blog,anonymous blog,59,168,1.0,0.0,2,53,== Personal life == | === Rape allegation ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Anonymous_blog,anonymous blog,59,168,1.0,0.0,2,53,== Personal life == | === Rape allegation ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Anonymous_blog,anonymous blog,59,168,1.0,0.0,2,53,== Personal life == | === Rape allegation ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Anonymous_blog,anonymous blog,59,168,1.0,0.0,2,53,== Personal life == | === Rape allegation ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Anonymous_blog,anonymous blog,59,168,1.0,0.0,2,53,== Personal life == | === Rape allegation ===
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Anonymous_blog,anonymous blog,59,168,1.0,0.0,2,53,== Personal life == | === Rape allegation ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Anonymous_blog,anonymous blog,59,168,1.0,0.0,2,53,== Personal life == | === Rape allegation ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Anonymous_blog,anonymous blog,59,168,1.0,0.0,2,53,== Personal life == | === Rape allegation ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Anonymous_blog,anonymous blog,59,168,1.0,0.0,2,53,== Personal life == | === Rape allegation ===
http://dbpedia.org/class/yago/WikicatNon-fictionGenres,http://dbpedia.org/resource/Anonymous_blog,anonymous blog,59,168,1.0,0.0,2,53,== Personal life == | === Rape allegation ===
