types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/WikicatNuJazzMusicians,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/WikicatAwardsEstablishedIn2005,http://dbpedia.org/resource/MTV_Europe_Music_Award_for_Best_Adria_Act,Best Adriatic Act,5,40,1.0,0.0,11,9,== History == | === 2000s ===
http://dbpedia.org/class/yago/WikicatMTVEuropeMusicAwards,http://dbpedia.org/resource/MTV_Europe_Music_Award_for_Best_Adria_Act,Best Adriatic Act,5,40,1.0,0.0,11,9,== History == | === 2000s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/MTV_Europe_Music_Award_for_Best_Adria_Act,Best Adriatic Act,5,40,1.0,0.0,11,9,== History == | === 2000s ===
http://dbpedia.org/class/yago/Award106696483,http://dbpedia.org/resource/MTV_Europe_Music_Award_for_Best_Adria_Act,Best Adriatic Act,5,40,1.0,0.0,11,9,== History == | === 2000s ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/MTV_Europe_Music_Award_for_Best_Adria_Act,Best Adriatic Act,5,40,1.0,0.0,11,9,== History == | === 2000s ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/MTV_Europe_Music_Award_for_Best_Adria_Act,Best Adriatic Act,5,40,1.0,0.0,11,9,== History == | === 2000s ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/MTV_Europe_Music_Award_for_Best_Adria_Act,Best Adriatic Act,5,40,1.0,0.0,11,9,== History == | === 2000s ===
