types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Ending106308765,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Introduction100238022,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Morpheme106306233,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Program106748466,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Statement106722453,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/TelevisionProgram106620579,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Wikicat1950BritishTelevisionProgrammeDebuts,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Wikicat1970BritishTelevisionProgrammeEndings,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Wikicat2002BritishTelevisionProgrammeDebuts,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Wikicat2008BritishTelevisionProgrammeEndings,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/WikicatTelevisionProgramsFeaturingPuppetry,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
