types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Assistant109815790,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Contestant109613191,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Model110324560,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Presenter110466387,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatPeopleFromGwangju,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatSouthKoreanActresses,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatSouthKoreanDanceMusicians,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatSouthKoreanFemaleModels,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatSouthKoreanFemaleSingers,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatSouthKoreanModels,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatSouthKoreanRadioPresenters,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatSouthKoreanTelevisionActors,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatSouthKoreanTelevisionPresenters,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatSungshinWomen'sUniversityAlumni,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
