types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Cigar_box,cigar box,83,49,0.9787402476282318,0.0217215470839156,6,4,== Life and career == | === Early years ===
http://dbpedia.org/class/yago/Dramatist110030277,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/Editor110044879,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/Educator110045713,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/Evaluator110066732,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
"http://dbpedia.org/class/yago/WikicatPeopleFromCumberlandCounty,NewJersey",http://dbpedia.org/resource/Gilbert_Seldes,Gilbert Seldes,59,76,1.0,0.0,12,11,== Life and career == | === 1930s ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/WikicatAmericanTheatreManagersAndProducers,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/Administrator109770949,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/Director110014939,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/Head110162991,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Lawrence_Lane,Lawrence Lane,3,140,0.9999578174773036,4.218404074338516e-05,6,14,== Life and career == | === 1940s ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Subscript_and_superscript,superscript,300,24,0.9941458711764064,0.0058885769870508,2,31,== Discography == | === Selected singles ===
