types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Performance106891493,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Program106748466,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Statement106722453,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Tradition105809745,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/WikicatSongContests,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatPeopleFromRudolstadt,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/Novelist110363573,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatGerman-languageWriters,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatGermanNovelists,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatGermanPoets,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatGermanWriters,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatPeopleFromKarlsruhe,http://dbpedia.org/resource/Wolf_Wondratschek,Wolf Wondratschek,15,94,1.0,0.0,1,12,== Life and career == | === Solo career ===
