types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Comedy107015510,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Drama106376154,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Ending106308765,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Entertainment100429048,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Introduction100238022,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Morpheme106306233,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Show100520257,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/SituationComedy107017733,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Wikicat1993AmericanTelevisionSeriesDebuts,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Wikicat1994AmericanTelevisionSeriesEndings,http://dbpedia.org/resource/The_Second_Half,The Second Half,15,0,0.999999999831246,0.0,1,19,== Achievements == | === Discography ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/WikicatZimbabweanMusicians,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Siyaya,Siyaya,15,0,0.9999999948177029,0.0,1,20,== Achievements == | === Discography ===
